Time (s),W,X,Y,Z
0.001039505,-0.295342,-0.1815389,0.0408762,-0.9352933
0.033212185,-0.2953645,-0.1814055,0.0408568,-0.935313
0.067858696,-0.2954606,-0.1814156,0.04068427,-0.9352882
0.100030899,-0.2956563,-0.1814579,0.04060957,-0.9352213
0.132199764,-0.2956333,-0.1814715,0.04069944,-0.935222
0.166846275,-0.2955536,-0.1814003,0.04077277,-0.9352579
0.199018478,-0.2953615,-0.181419,0.04088357,-0.9353101
0.233665943,-0.2949297,-0.1814913,0.04106104,-0.9354245
0.265837669,-0.2946569,-0.1815155,0.04099353,-0.9355087
0.300485134,-0.2945195,-0.1814687,0.04091458,-0.9355646
0.332653522,-0.294572,-0.1813836,0.04087696,-0.9355662
0.367300987,-0.294532,-0.1811689,0.04092864,-0.9356181
0.399472713,-0.2946517,-0.1810133,0.04072681,-0.9356194
0.434119701,-0.2945915,-0.1811474,0.04131288,-0.9355868
0.466292381,-0.2945835,-0.181118,0.04130103,-0.9355954
0.500938892,-0.2946768,-0.181084,0.04103041,-0.9355845
0.533107281,-0.2943837,-0.1811412,0.04108424,-0.9356633
0.567754745,-0.2942583,-0.1811784,0.04108014,-0.9356957
0.599927425,-0.2941709,-0.1811952,0.04126831,-0.9357117
0.634573936,-0.2940999,-0.1810951,0.04136037,-0.9357493
0.666746139,-0.2940792,-0.1810499,0.04121373,-0.9357711
0.698918819,-0.2939566,-0.1810957,0.04132079,-0.935796
0.733561516,-0.2939086,-0.181071,0.04134415,-0.9358148
0.765733719,-0.2939299,-0.1809517,0.04126287,-0.9358348
0.800381184,-0.2939439,-0.1809693,0.04128333,-0.9358261
0.832552910,-0.29379,-0.1811453,0.04156971,-0.9358277
0.867201805,-0.2935458,-0.1812223,0.04170381,-0.9358834
0.899372578,-0.2935196,-0.1811616,0.04153467,-0.9359109
0.934016228,-0.2936445,-0.1810827,0.04134429,-0.9358956
0.966187954,-0.2938401,-0.1810068,0.04125265,-0.9358528
1.000834942,-0.2938789,-0.1809738,0.04155819,-0.9358335
1.033007622,-0.2936627,-0.1809802,0.0418716,-0.9358861
1.067654610,-0.2935622,-0.1809336,0.04188479,-0.935926
