Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.832552910,43.876,32.556
1.832349300,43.878,32.556
2.834620476,43.92,32.558
3.834416866,43.904,32.56
4.834213257,43.964,32.56
5.834010124,43.956,32.562
6.833806992,43.974,32.564
7.833604813,43.968,32.566
8.833469868,43.97,32.566
9.833267212,44.01,32.568
10.833065510,44.024,32.57
12.832662582,44.03,32.574
13.832623482,44.034,32.574
14.832422256,44.012,32.576
15.832221508,44.032,32.576
16.834495068,44.042,32.576
17.834293842,44.022,32.578
18.834093571,44.01,32.58
19.833892822,44.008,32.58
20.833692551,44.024,32.582
21.833491325,44.056,32.582
22.833291054,44.05,32.584
23.833116531,44.066,32.584
24.832916260,44.064,32.584
25.832715988,44.04,32.586
26.832515717,44.012,32.586
27.832524776,44.014,32.586
28.832324982,44.038,32.588
29.832124710,44.052,32.586
30.834399700,44.074,32.588
31.834199429,44.064,32.588
32.833999634,44.008,32.588
33.833834171,44.102,32.59
34.833634376,44.058,32.59
35.833434582,44.056,32.59
36.833235741,44.116,32.592
37.833035946,44.086,32.592
38.833039761,44.07,32.592
39.832840919,44.074,32.592
40.832642555,44.086,32.594
41.832443237,44.078,32.594
42.832244873,44.102,32.596
43.832046509,44.096,32.598
44.834322929,44.104,32.598
45.834152698,44.098,32.598
46.833954334,44.118,32.6
47.833764076,44.076,32.598
