Time (s),W,X,Y,Z
0.013408184,0.3058402,-0.5708,-0.634453,-0.4180267
0.048167229,0.3057156,-0.5710324,-0.6344898,-0.4177443
0.080444336,0.305721,-0.5711456,-0.6344547,-0.4176392
0.115204334,0.3058315,-0.5710226,-0.6344606,-0.4177173
0.147477627,0.3059749,-0.5708526,-0.6345135,-0.4177641
0.179754257,0.3060379,-0.5708629,-0.6345298,-0.4176791
0.214513779,0.3061876,-0.5712345,-0.634324,-0.4173741
0.246790886,0.3060455,-0.5712349,-0.6345067,-0.4171997
0.281550884,0.3060259,-0.5713568,-0.6344882,-0.4170756
0.313827992,0.3062053,-0.5716596,-0.6342015,-0.4169648
0.348583698,0.3061528,-0.5716478,-0.6342358,-0.4169677
0.380861282,0.3060549,-0.5717255,-0.6343226,-0.4168007
0.413137436,0.3059773,-0.5720114,-0.6343042,-0.4164935
0.447897434,0.3054655,-0.5718957,-0.6348881,-0.416138
0.480174542,0.3047864,-0.5718185,-0.6355941,-0.4156643
0.514934540,0.3041413,-0.5718042,-0.6361168,-0.4153567
0.547207356,0.3037727,-0.5718896,-0.636381,-0.415104
0.581967354,0.3034253,-0.5717833,-0.6367146,-0.4149929
0.614243984,0.3032303,-0.5715272,-0.6369422,-0.4151389
0.646521092,0.3034663,-0.5715969,-0.6366538,-0.4153132
0.681281090,0.3035824,-0.5713593,-0.6366515,-0.4155583
0.713558197,0.3033822,-0.5711228,-0.6369112,-0.4156319
0.748313904,0.3033774,-0.571326,-0.6368516,-0.4154473
0.780590534,0.3032576,-0.5714068,-0.6369544,-0.4152662
0.815350056,0.3030707,-0.5713705,-0.6371422,-0.4151644
0.847627640,0.3029272,-0.5713416,-0.6372409,-0.4151573
0.879904747,0.3028607,-0.5713123,-0.6372347,-0.4152556
0.914664268,0.302727,-0.5712133,-0.6373204,-0.4153579
0.946937084,0.3025146,-0.5709931,-0.6375398,-0.4154785
0.981696606,0.3024693,-0.570923,-0.6375681,-0.4155645
1.013973713,0.3024226,-0.5708738,-0.6376521,-0.4155371
1.048733711,0.302227,-0.5707821,-0.6378119,-0.4155602
1.081010819,0.302118,-0.5710012,-0.6377536,-0.4154281
1.113287449,0.3019235,-0.5712853,-0.6377723,-0.4151497
1.148043156,0.3016407,-0.5714471,-0.6379325,-0.4148866
1.180320263,0.3014388,-0.5714067,-0.6380935,-0.4148414
1.215080261,0.3014911,-0.571456,-0.6380321,-0.41483
1.247357369,0.3017584,-0.571783,-0.6377335,-0.4146443
1.282117367,0.3016815,-0.5715933,-0.6378881,-0.4147238
1.314393997,0.3015832,-0.57151,-0.637995,-0.4147455
1.346666813,0.3014305,-0.5715193,-0.6381435,-0.4146152
1.381426811,0.3013618,-0.571696,-0.6381431,-0.4144224
1.413703919,0.3014247,-0.5719624,-0.6379645,-0.4142841
1.448463917,0.3015767,-0.5724062,-0.6376101,-0.4141057
1.480740547,0.3016355,-0.5726391,-0.6374157,-0.4140404
1.513017655,0.3017239,-0.5728351,-0.6372282,-0.4139935
1.547773361,0.301853,-0.5729856,-0.6370914,-0.4139016
1.580050469,0.3017945,-0.5728723,-0.6372427,-0.4138682
1.614810467,0.3017831,-0.5729004,-0.6372594,-0.4138118
1.647086620,0.3017552,-0.5730809,-0.6371983,-0.4136764
1.681846619,0.3015778,-0.5733634,-0.6372567,-0.4133241
1.714123726,0.3012618,-0.5732557,-0.6375653,-0.4132279
1.746397019,0.3009527,-0.5728776,-0.6379817,-0.4133349
1.781157017,0.3008515,-0.5726186,-0.6381708,-0.4134754
1.813433170,0.300789,-0.5723657,-0.6383481,-0.4135976
1.848193169,0.3006714,-0.5721179,-0.6385663,-0.4136892
1.880470276,0.3005286,-0.5718956,-0.6387802,-0.41377
1.915230274,0.3004592,-0.5718091,-0.6388993,-0.4137561
1.947503567,0.3005114,-0.571844,-0.6388476,-0.4137496
1.979779720,0.3006903,-0.5719905,-0.6386537,-0.4137165
2.014539719,0.3007743,-0.5720166,-0.6386144,-0.41368
2.046816826,0.3007526,-0.5720069,-0.6387144,-0.4135547
2.081576824,0.3008323,-0.5721737,-0.6386365,-0.4133864
2.113853931,0.3008996,-0.5721341,-0.6386843,-0.4133181
2.148609638,0.3009016,-0.5720478,-0.6387361,-0.4133565
2.180886269,0.3008005,-0.5720371,-0.6387953,-0.4133533
2.213163376,0.3006898,-0.5720864,-0.6388809,-0.4132333
2.247923374,0.3005215,-0.572147,-0.6390201,-0.4130565
2.280200481,0.3004136,-0.5721859,-0.6391312,-0.4129093
2.314960003,0.3003695,-0.5720639,-0.6392646,-0.4129038
2.347232819,0.3004302,-0.5718924,-0.6393818,-0.4129158
2.381992340,0.3005312,-0.5717075,-0.6394416,-0.4130058
2.414269924,0.3005277,-0.5716122,-0.6395367,-0.412993
2.446547032,0.3004032,-0.5715418,-0.6397315,-0.4128788
2.481306553,0.3002216,-0.5714384,-0.6399477,-0.4128193
2.513583183,0.3001964,-0.5716568,-0.6397768,-0.4128
2.548338890,0.2999572,-0.5717028,-0.6397997,-0.412875
2.580616474,0.2994429,-0.5717184,-0.6399984,-0.4129185
2.615375996,0.299108,-0.5721665,-0.6399547,-0.4126081
2.647653103,0.2991243,-0.5725121,-0.6398665,-0.4122537
2.679929733,0.2992596,-0.5727495,-0.6398684,-0.4118225
2.714689732,0.299378,-0.5728491,-0.6398697,-0.411596
2.746962547,0.2995424,-0.5728567,-0.6397811,-0.4116036
2.781722546,0.2997467,-0.5727955,-0.6396735,-0.411707
2.813999653,0.2998336,-0.5725468,-0.6395658,-0.4121567
2.848759651,0.3000191,-0.5724812,-0.6391528,-0.4127531
2.881036282,0.3002384,-0.5725145,-0.6386861,-0.4132698
2.913313389,0.3003712,-0.5724214,-0.6384244,-0.413706
2.948069096,0.3002915,-0.5726943,-0.6382139,-0.4137113
2.980346203,0.299839,-0.57313,-0.6383809,-0.4131783
3.015106201,0.2991115,-0.5734926,-0.6389398,-0.4123374
3.047382832,0.2984826,-0.5736212,-0.639477,-0.411781
3.079659939,0.298095,-0.5736221,-0.6398143,-0.4115364
3.114419460,0.2981022,-0.5735816,-0.6398201,-0.4115787
3.146692753,0.2981157,-0.5733486,-0.6398828,-0.411796
3.181452751,0.2982419,-0.5731784,-0.6398832,-0.4119411
3.213728905,0.2983761,-0.573122,-0.6397906,-0.4120662
3.248488903,0.2986907,-0.5732465,-0.639446,-0.4122
3.280766010,0.2990093,-0.5732275,-0.6391369,-0.4124748
3.313043118,0.2992456,-0.5731153,-0.6390314,-0.4126226
3.347799301,0.2998482,-0.5734796,-0.638721,-0.4121593
3.380075455,0.3000294,-0.5736406,-0.6385378,-0.4120875
3.414835453,0.3000205,-0.5734921,-0.6384099,-0.4124984
3.447112560,0.3001218,-0.5735005,-0.6380609,-0.4129528
3.481872559,0.3000346,-0.5739547,-0.6376364,-0.4130409
3.514149666,0.2997024,-0.5747853,-0.637341,-0.4125828
3.546453476,0.2994382,-0.5756177,-0.6372048,-0.4118239
3.581213474,0.2994499,-0.5758784,-0.6375016,-0.4109904
3.613490582,0.2994413,-0.5757195,-0.6381273,-0.4102476
3.648250103,0.2994984,-0.5754293,-0.6387472,-0.4096481
3.680527687,0.299236,-0.5751079,-0.6392967,-0.4094338
3.715286732,0.2990521,-0.5747383,-0.6395396,-0.4097079
3.747560024,0.2992313,-0.5748636,-0.6392032,-0.4099262
3.779837131,0.2995989,-0.5749393,-0.6388993,-0.4100253
3.814596653,0.2998843,-0.5749734,-0.6389993,-0.4096127
3.846874237,0.3000634,-0.5746268,-0.6394233,-0.409306
3.881633759,0.2990848,-0.5746934,-0.6404842,-0.4082687
3.913910389,0.2986374,-0.5747905,-0.6409022,-0.4078037
3.948666096,0.298214,-0.5746943,-0.6419223,-0.4066427
3.980943203,0.2984063,-0.5746712,-0.6419435,-0.4065009
4.013220310,0.2990125,-0.574521,-0.6414209,-0.4070924
4.047980309,0.3001473,-0.5737314,-0.6405198,-0.4087861
4.080256939,0.3018812,-0.5724548,-0.6392962,-0.4112074
4.115016937,0.304198,-0.5710395,-0.637589,-0.4141079
4.147289753,0.3058919,-0.5702078,-0.6366656,-0.4154248
4.182049751,0.3072928,-0.5693038,-0.6366626,-0.4156353
4.214326859,0.3085611,-0.5684186,-0.6366572,-0.4159154
4.246603489,0.3089499,-0.5679929,-0.6370249,-0.4156452
4.281363010,0.3089799,-0.5677107,-0.6375201,-0.415249
4.313640595,0.3084969,-0.5678583,-0.6380911,-0.4145287
4.348396301,0.3081465,-0.5682595,-0.638159,-0.4141348
4.380673409,0.3086253,-0.5683346,-0.6380078,-0.4139082
4.412950039,0.3094791,-0.5678806,-0.637881,-0.4140891
4.447709560,0.3110311,-0.5668105,-0.6378717,-0.4144066
4.479986668,0.3128063,-0.5659639,-0.6378991,-0.4141853
4.514746666,0.312944,-0.5658263,-0.6396545,-0.4115538
4.547019959,0.3107985,-0.566496,-0.6428874,-0.4071978
4.581779957,0.3066996,-0.5684508,-0.6469586,-0.4010876
4.614056111,0.3033183,-0.570421,-0.6504382,-0.395191
4.646333218,0.2990056,-0.5727836,-0.6548929,-0.3876309
4.681093216,0.2921236,-0.5760194,-0.6613817,-0.3769183
4.713370323,0.2827076,-0.5800698,-0.6694034,-0.363486
4.748126030,0.2680854,-0.586437,-0.6806267,-0.3429239
4.780402660,0.2493935,-0.5952202,-0.6929431,-0.3161856
4.815162659,0.2206559,-0.6069886,-0.7094302,-0.276066
4.847439766,0.1900038,-0.6159507,-0.7257421,-0.2333013
4.879716873,0.1629208,-0.6210939,-0.7393408,-0.1941697
4.914476871,0.1407613,-0.6237242,-0.7494555,-0.1615506
4.946749210,0.1258031,-0.6242569,-0.7561527,-0.1390601
4.981509209,0.115292,-0.6242247,-0.7608102,-0.1218478
5.013786316,0.1087699,-0.6242291,-0.7634897,-0.1105357
5.048752785,0.1038599,-0.6240352,-0.765587,-0.1014761
5.081029892,0.1005782,-0.6238747,-0.766912,-0.09559239
5.113306999,0.09694761,-0.6242818,-0.7676541,-0.09059922
5.148063183,0.09211635,-0.6249866,-0.768328,-0.08488832
5.180340290,0.08676968,-0.6256116,-0.7691106,-0.07859767
5.215099335,0.08037321,-0.6264578,-0.7698583,-0.07096916
5.247376442,0.07332033,-0.62714,-0.7707511,-0.06236939
5.282136440,0.06337968,-0.6273646,-0.7723555,-0.04991325
5.314413548,0.0523814,-0.6275813,-0.7738167,-0.03511957
5.346686840,0.04005635,-0.6275649,-0.7751501,-0.01810836
5.381446362,0.02555856,-0.6272798,-0.7762036,0.001562058
5.413722992,0.01194713,-0.6264443,-0.7769434,0.02028373
5.448482990,-0.002579489,-0.624065,-0.7781423,0.04072379
5.480760098,-0.01682639,-0.6200698,-0.7798266,0.06106149
5.515519619,-0.03299142,-0.6152607,-0.7809134,0.08466294
5.547792912,-0.04793096,-0.6103075,-0.7814499,0.1057893
5.580069542,-0.05899593,-0.6041377,-0.7830978,0.1221589
5.614829540,-0.06668407,-0.5967541,-0.7858452,0.1360616
5.647106648,-0.07201073,-0.5895211,-0.7885769,0.1485043
5.681866169,-0.07995405,-0.5820203,-0.7898114,0.1663896
5.714143276,-0.08942001,-0.5768037,-0.7887838,0.1837101
5.748899460,-0.09875023,-0.5696575,-0.7879903,0.2035625
5.781175613,-0.1065171,-0.5600517,-0.7882189,0.2243546
5.813453197,-0.1158102,-0.5481323,-0.7879468,0.2488097
5.848212719,-0.1271661,-0.5327569,-0.7868828,0.278284
5.880489826,-0.1373616,-0.5177145,-0.7851197,0.3054802
5.915249825,-0.1484849,-0.5009534,-0.7823363,0.3340292
5.947522163,-0.1578961,-0.4843227,-0.7789854,0.3609844
5.979799747,-0.1666661,-0.4646957,-0.7746958,0.3908379
6.014559269,-0.1779012,-0.4399869,-0.7674202,0.4271492
6.046836376,-0.188315,-0.4140578,-0.7569109,0.4656254
