Time (s),W,X,Y,Z
0.003971100,0.5058426,0.6043237,0.4946909,-0.3616971
0.039032936,0.5058939,0.6042118,0.4947075,-0.3617893
0.071590424,0.5058192,0.6041497,0.4948101,-0.3618573
0.104148388,0.5057755,0.6042035,0.4948081,-0.3618312
0.139210224,0.5056372,0.6042051,0.4948615,-0.361949
0.171763897,0.5055275,0.6041487,0.4949169,-0.3621205
0.204321861,0.5055375,0.6040931,0.4949047,-0.362216
0.239384174,0.5054973,0.6039638,0.4949784,-0.3623868
0.271941662,0.5054373,0.6038466,0.4950992,-0.3625011
0.304499149,0.5053838,0.6037639,0.4952196,-0.3625487
0.337057114,0.5053576,0.6037158,0.4953088,-0.3625437
0.372115612,0.505306,0.6036803,0.4953844,-0.362571
0.404672623,0.5052814,0.60365,0.4954427,-0.3625765
0.437230587,0.5052252,0.6037048,0.4954558,-0.3625458
0.472292900,0.5051376,0.6038389,0.4954143,-0.3625009
0.504850865,0.5052072,0.6039628,0.4953204,-0.3623257
0.537407875,0.5053614,0.6038998,0.4952475,-0.3623156
0.572466374,0.5055282,0.6038267,0.4951122,-0.3623899
0.605024338,0.5055993,0.6037903,0.4950524,-0.3624326
0.637581349,0.5055776,0.6037048,0.4951599,-0.3624583
0.672643662,0.5054979,0.6036342,0.4952954,-0.3625022
0.705201626,0.5053503,0.6036022,0.4954155,-0.3625973
0.737759590,0.5053295,0.6036149,0.4954197,-0.3625992
0.770312786,0.5053901,0.6036311,0.4953332,-0.3626061
0.805375099,0.5054882,0.6036792,0.495228,-0.3625326
0.837933063,0.5055804,0.6037197,0.4951566,-0.3624345
0.870490551,0.5056726,0.6036848,0.4951457,-0.3623789
0.905552387,0.5057006,0.603601,0.4952145,-0.3623852
0.938110352,0.5057158,0.6035829,0.4952627,-0.3623282
0.970664024,0.5056337,0.6035772,0.4953649,-0.3623125
1.005725861,0.5054533,0.603527,0.4955311,-0.3624206
1.038283825,0.5054951,0.6036039,0.495508,-0.3622659
1.070841312,0.5056508,0.6034604,0.4955234,-0.3622665
1.105903149,0.5057804,0.6031805,0.495574,-0.3624827
1.138461113,0.5059863,0.6032232,0.4953443,-0.362438
1.171014786,0.5060179,0.6032423,0.4953143,-0.3624031
1.206077576,0.5059181,0.6032264,0.4954403,-0.3623969
1.238634586,0.5059586,0.6033811,0.4953064,-0.3622658
1.271192551,0.5059127,0.603401,0.4952902,-0.3623188
1.303750038,0.5058681,0.6032694,0.4953604,-0.3625043
1.338812828,0.5059977,0.6033485,0.4951749,-0.3624453
1.371366024,0.5060166,0.6034215,0.4951105,-0.3623851
1.403923512,0.5059997,0.6034524,0.4951709,-0.3622747
1.438986302,0.5060511,0.6034639,0.4952275,-0.3621062
1.471543789,0.5060918,0.6034576,0.4952569,-0.36202
1.504100800,0.5061402,0.6034633,0.4952311,-0.3619779
1.539163590,0.5061918,0.6036147,0.4950939,-0.3618409
1.571717262,0.5061264,0.603622,0.4951207,-0.3618833
1.604275227,0.5060818,0.6035191,0.4952256,-0.3619743
1.639337063,0.5061544,0.6033483,0.4952656,-0.3621024
1.671894550,0.5061775,0.6031517,0.4953237,-0.3623182
1.704452515,0.5061386,0.6029754,0.4954666,-0.3624707
1.737010479,0.5060533,0.6029289,0.4955997,-0.3624851
1.772068024,0.5060002,0.6029255,0.4956587,-0.3624843
1.804625988,0.5059529,0.6029482,0.4956625,-0.362507
1.837183952,0.5058897,0.6028931,0.4957021,-0.362633
