Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.459967136,55.89453,90.28125,3.8075,257.5,0
1.338985920,55.88281,90.375,3.814375,252.5,0
2.394121170,55.87109,90.1875,3.8125,267.8125,0
3.448565006,55.85938,90.28125,3.810625,259.375,0
4.503110886,55.84375,90.375,3.810625,257.8125,0
5.382475853,55.83203,90.28125,3.811875,265,0
6.437252045,55.83203,90.28125,3.81,259.375,0
7.491904736,55.82031,90.28125,3.81125,264.0625,0
8.371271610,55.80859,90.375,3.8125,262.1875,0
9.425693512,55.79688,90.5625,3.81125,274.6875,0
10.480617523,55.78516,90.46875,3.811875,263.75,0
11.359550476,55.78516,90.28125,3.81125,254.6875,0
12.414679527,55.77344,90.46875,3.809375,253.125,0
13.469480038,55.76172,90.46875,3.81,275.3125,0
14.348334313,55.74609,90.46875,3.81125,262.5,0
15.403176308,55.73438,90.28125,3.810625,260.3125,0
16.457949162,55.72266,90.1875,3.81,256.25,0
17.337380409,55.72266,90.46875,3.81125,265.625,0
18.391870499,55.71094,90.5625,3.81125,264.6875,0
19.446337700,55.69922,90.46875,3.810625,265.625,0
20.501245022,55.6875,90.5625,3.811875,263.125,0
21.380286217,55.67578,90.65625,3.809375,256.25,0
22.434924126,55.66406,90.5625,3.81125,270.3125,0
23.489987850,55.66406,90.375,3.813125,268.75,0
24.368679524,55.64844,90.28125,3.81,265,0
25.423598290,55.63672,90.28125,3.810625,256.25,0
26.478339672,55.625,90.1875,3.806875,272.1875,0
27.357213020,55.61328,90,3.81,266.875,0
28.412166596,55.60156,90,3.811875,261.875,0
29.466778755,55.58984,89.90625,3.809375,257.8125,0
30.345880985,55.58984,89.71875,3.81,259.6875,0
31.400587559,55.57813,89.90625,3.81125,265.625,0
32.455971241,55.56641,89.625,3.811875,275.3125,0
33.334569454,55.55078,89.8125,3.809375,259.0625,0
34.389096260,55.53906,89.90625,3.808125,258.75,0
35.443967342,55.52734,89.71875,3.810625,266.875,0
36.498977661,55.52734,89.625,3.813125,264.0625,0
37.377736569,55.51563,89.71875,3.810625,260.9375,0
38.432543278,55.50391,89.625,3.81,275,0
39.487472057,55.49219,89.4375,3.81,266.5625,0
40.366415501,55.48047,89.34375,3.81,271.5625,0
41.422181606,55.46875,89.34375,3.809375,266.5625,0
42.476235867,55.46875,89.34375,3.809375,270.625,0
43.355079651,55.45313,89.4375,3.809375,259.375,0
44.409973145,55.44141,89.625,3.809375,248.75,0
45.464693546,55.42969,89.71875,3.806875,260.9375,0
46.343916416,55.41797,89.53125,3.810625,263.75,0
47.398917198,55.40625,89.625,3.80875,270,0
48.453155995,55.40625,89.71875,3.80875,258.125,0
