Time (s),Power (dBm),Percentage (%)
0.007533550,-59,82
0.507665157,-59,82
1.007501125,-59,82
1.507676125,-59,82
2.007485390,-59,82
2.507598877,-59,82
3.007462502,-59,82
3.507641792,-59,82
4.007444859,-55,90
4.507599831,-57,86
5.007419586,-63,74
5.507733822,-67,66
6.007498741,-64,72
6.507647038,-51,98
7.007491112,-53,94
7.507634640,-51,98
8.007448196,-59,82
8.507659435,-67,66
9.007421970,-59,82
9.507592678,-57,86
10.007411480,-67,66
10.507732868,-65,70
11.007400513,-59,82
11.507669926,-53,94
12.007802963,-57,86
12.507888794,-62,76
13.007645130,-51,98
13.507971764,-49,100
14.007781506,-67,66
14.507809639,-59,82
15.007793903,-51,98
15.507891178,-53,94
16.007656097,-60,80
16.507901669,-55,90
17.007745743,-59,82
17.507717133,-58,84
18.007698059,-62,76
18.507859707,-55,90
19.007543087,-67,66
19.507749081,-55,90
20.007518768,-59,82
20.507648468,-53,94
21.007481575,-59,82
21.507646561,-57,86
22.007524967,-57,86
22.507621765,-57,86
23.007439137,-63,74
23.507585526,-65,70
24.007438183,-57,86
24.507712841,-49,100
25.007597923,-53,94
25.507735729,-57,86
26.007522106,-49,100
26.507699490,-60,80
27.007544518,-55,90
27.507676602,-69,62
28.007555962,-57,86
28.507651806,-51,98
29.007534981,-62,76
29.507663727,-59,82
30.007508755,-49,100
30.507605553,-59,82
31.007485867,-55,90
31.507606030,-51,98
32.007445335,-55,90
32.507578373,-51,98
33.007271767,-49,100
33.507423878,-49,100
34.007260323,-57,86
34.507442951,-61,78
35.007209778,-53,94
35.507368565,-53,94
36.007218838,-53,94
36.507350922,-47,100
37.007206917,-53,94
37.507522583,-55,90
38.007372856,-53,94
38.507422924,-49,100
39.007307053,-47,100
39.507503986,-51,98
40.007252693,-55,90
40.507533550,-59,82
41.007578373,-62,76
41.507743359,-65,70
42.007552624,-59,82
42.507686138,-55,90
43.007565022,-57,86
43.507661343,-57,86
44.007506847,-57,86
44.507688522,-65,70
45.007487774,-55,90
45.507690430,-60,80
46.007482052,-57,86
46.507541657,-55,90
47.007355213,-60,80
47.507504463,-55,90
48.007386684,-51,98
48.507525444,-57,86
49.007298946,-57,86
