Time (s),W,X,Y,Z
0.006278515,-0.3964387,-0.5853537,-0.5927016,0.3814837
0.038839340,-0.3971367,-0.5852353,-0.5919554,0.3820976
0.073905468,-0.3980941,-0.584986,-0.5909603,0.3830223
0.106466293,-0.398783,-0.5846852,-0.5902541,0.3838529
0.139028072,-0.3991435,-0.584564,-0.589927,0.3841657
0.171589374,-0.3990418,-0.5846423,-0.589943,0.3841277
0.206655025,-0.3988509,-0.5848162,-0.5899913,0.3839868
0.239216804,-0.3989359,-0.5848606,-0.5897593,0.3841872
0.271778107,-0.3990453,-0.5849041,-0.5894725,0.3844477
0.306843757,-0.399367,-0.5849086,-0.5893941,0.384227
0.339405060,-0.3996855,-0.5849066,-0.5896361,0.3835268
0.371966839,-0.4000548,-0.5848401,-0.5902259,0.3823339
0.407032490,-0.4011132,-0.5849411,-0.5903156,0.3809294
0.439593792,-0.4011549,-0.5856397,-0.5901071,0.3801345
0.472155571,-0.4009323,-0.5861604,-0.5902792,0.3792985
0.507221699,-0.4019713,-0.5856296,-0.5904876,0.3786941
0.539782524,-0.4030066,-0.5849465,-0.589965,0.3794634
0.572343826,-0.404262,-0.5841396,-0.5899043,0.379465
0.604905605,-0.4069176,-0.5836359,-0.5896389,0.3778105
0.639971256,-0.4089352,-0.5838745,-0.5881868,0.3775268
0.672532558,-0.4099698,-0.5845705,-0.5873163,0.3766822
0.705094337,-0.4090608,-0.5860817,-0.5880684,0.3741401
0.740159988,-0.4053552,-0.5894564,-0.5897546,0.3701969
0.772721291,-0.399285,-0.5939885,-0.5927018,0.3648031
0.805282593,-0.3915587,-0.5991355,-0.5964615,0.3585803
0.840348721,-0.3829775,-0.6045348,-0.6002238,0.3524556
0.872910023,-0.3742492,-0.6095996,-0.6031752,0.3480419
0.905471325,-0.3653905,-0.6144044,-0.6053953,0.3451397
0.940537453,-0.3568428,-0.6179849,-0.606796,0.3452305
0.973098755,-0.3515628,-0.6204847,-0.6078608,0.3442894
1.005660057,-0.3474309,-0.6218697,-0.609187,0.3436403
1.038220882,-0.3420585,-0.6230348,-0.6100267,0.3454255
1.073287487,-0.3387629,-0.6225049,-0.6100681,0.3495311
1.105848789,-0.3364806,-0.6217776,-0.6098829,0.3533329
1.138410091,-0.3345075,-0.6208555,-0.6108654,0.3551259
1.173476219,-0.329926,-0.6205353,-0.6136493,0.3551717
1.206037521,-0.3245086,-0.6211942,-0.6173108,0.3526571
1.238598823,-0.3194275,-0.621947,-0.6189331,0.3531254
1.273664951,-0.3168071,-0.6210079,-0.6184857,0.3578903
1.306226253,-0.3195903,-0.6181349,-0.6162803,0.3641395
1.338787556,-0.327127,-0.6135415,-0.6125038,0.3715121
1.373853206,-0.3389958,-0.6071925,-0.6060266,0.3817835
1.406414986,-0.3499801,-0.6006989,-0.6016697,0.3889678
1.438976288,-0.3577027,-0.5955598,-0.5964811,0.3977377
1.471537113,-0.3631233,-0.5906189,-0.5918378,0.4070213
1.506603718,-0.3703184,-0.5848375,-0.5884365,0.4137626
1.539165020,-0.3785796,-0.5790015,-0.5849248,0.4194347
1.571725845,-0.386214,-0.5734788,-0.5803781,0.4263213
1.606791973,-0.3909917,-0.5679145,-0.5770785,0.433828
1.639353752,-0.3909401,-0.5673384,-0.5748416,0.4375817
1.671914577,-0.3844029,-0.5713121,-0.575587,0.4372234
1.706980705,-0.373524,-0.579577,-0.5803678,0.4293845
1.739542484,-0.3617134,-0.5876993,-0.5874433,0.4187016
1.772103310,-0.3527222,-0.5929413,-0.5948106,0.4084554
1.807169437,-0.3475032,-0.5966376,-0.6026441,0.3958699
1.839731216,-0.3447652,-0.5991322,-0.6084449,0.3854868
1.872292519,-0.3460887,-0.5997787,-0.6103666,0.3802215
1.904853344,-0.3490298,-0.5998753,-0.6102617,0.3775397
1.939919472,-0.3545738,-0.5970091,-0.6078962,0.3807198
1.972481251,-0.3602445,-0.5958114,-0.6057844,0.3806382
2.005042076,-0.3694169,-0.5900211,-0.6034086,0.3846194
2.040108204,-0.380503,-0.5818285,-0.602348,0.3879403
2.072669983,-0.3878286,-0.5774386,-0.6061367,0.3812868
2.105230808,-0.3950995,-0.5734871,-0.6130365,0.3685415
2.140296936,-0.4045735,-0.5701641,-0.6181483,0.3546176
2.172857761,-0.4116339,-0.5667947,-0.6193555,0.3497539
2.205419540,-0.4165438,-0.5656931,-0.6190355,0.3462737
2.240485668,-0.4164169,-0.5691841,-0.6163694,0.3454605
2.273046493,-0.411513,-0.5742337,-0.612499,0.3498363
2.305608272,-0.4046822,-0.5799069,-0.609245,0.3541023
2.340674400,-0.4034117,-0.5811142,-0.6049402,0.3608883
2.373235226,-0.4084327,-0.5787591,-0.5987256,0.3692912
2.405797005,-0.4155711,-0.5749841,-0.5918852,0.378145
2.438358307,-0.4234875,-0.5710676,-0.5851796,0.3856586
2.473423958,-0.4290622,-0.5684639,-0.5797539,0.3914941
2.505986214,-0.429796,-0.5684536,-0.5780645,0.3931985
2.538547039,-0.4275428,-0.570564,-0.5789953,0.3912236
2.573613167,-0.4256053,-0.572567,-0.5807763,0.3877549
2.606173992,-0.42551,-0.5734069,-0.5820265,0.3847319
2.638735771,-0.42593,-0.5738335,-0.582759,0.3825158
2.673801899,-0.4257099,-0.5746671,-0.5831137,0.3809658
2.706362724,-0.42496,-0.575728,-0.5830483,0.3803008
2.738924503,-0.4247232,-0.5765297,-0.5823112,0.3804801
2.773990631,-0.4256749,-0.5764321,-0.5808409,0.3818096
2.806551456,-0.4272571,-0.5757877,-0.5791002,0.3836544
2.839113235,-0.4289387,-0.575021,-0.5774015,0.385484
2.871674538,-0.430456,-0.5746397,-0.5758902,0.38662
2.906740189,-0.4313734,-0.5748325,-0.5749664,0.386686
2.939301491,-0.4315099,-0.5755069,-0.574901,0.3856261
2.971863270,-0.4311931,-0.5763523,-0.5752571,0.3841844
3.006928921,-0.4308473,-0.5772061,-0.575521,0.382893
3.039490223,-0.4307448,-0.5779071,-0.5753731,0.3821725
3.072052002,-0.4307238,-0.5784165,-0.5750538,0.3819061
3.107117653,-0.4307468,-0.5788581,-0.5745829,0.3819199
3.139678955,-0.4309269,-0.5792311,-0.5739973,0.3820316
3.172240734,-0.4311237,-0.5794259,-0.573488,0.3822789
3.207306862,-0.4315009,-0.5795013,-0.5729718,0.3825132
3.239867687,-0.4319099,-0.5795153,-0.5725209,0.3827051
3.272429466,-0.4322075,-0.5795613,-0.5722488,0.3827069
3.304990768,-0.4322989,-0.5797958,-0.5720678,0.3825187
3.340056419,-0.4323896,-0.58021,-0.5717322,0.3822897
3.372617721,-0.4326324,-0.5803488,-0.5713312,0.3824042
3.405179500,-0.4332018,-0.5803108,-0.5706989,0.382761
3.440245151,-0.4338864,-0.5803268,-0.5698709,0.3831947
3.472806454,-0.4342523,-0.5803729,-0.5693268,0.3835192
3.505368233,-0.4342453,-0.5805416,-0.5691195,0.3835795
3.540433884,-0.4341868,-0.5807382,-0.5691818,0.3832555
3.572995186,-0.4343009,-0.5812225,-0.5689822,0.3826878
3.605556965,-0.4343202,-0.5817848,-0.5687588,0.3821435
3.640622616,-0.4342336,-0.5823646,-0.5685291,0.3817002
3.673183918,-0.4342979,-0.5828764,-0.5681203,0.3814543
3.705745697,-0.4343608,-0.5831882,-0.5677165,0.3815076
3.738306999,-0.4344611,-0.583297,-0.5674206,0.3816669
3.773372650,-0.4349901,-0.5833073,-0.5669864,0.3816938
3.805933952,-0.4356722,-0.5832114,-0.5665537,0.3817053
3.838495731,-0.4363265,-0.5832232,-0.5661173,0.3815871
3.873561382,-0.4367018,-0.583416,-0.5658001,0.3813337
3.906122684,-0.4366046,-0.583838,-0.5656871,0.3809666
3.938684463,-0.4361878,-0.5843475,-0.5657991,0.3804961
3.973750114,-0.4360046,-0.5845612,-0.5660409,0.3800178
4.073938847,-0.4365437,-0.584823,-0.566157,0.3788215
