Time (s),W,X,Y,Z
0.010242462,0.79472,-0.4330625,0.4212987,0.003459441
0.042414188,0.7944816,-0.4330507,0.4217625,0.003172203
0.077061653,0.7943688,-0.4327153,0.4223187,0.003194183
0.109233856,0.7947925,-0.4314321,0.4228321,0.003441107
0.141406536,0.7952931,-0.4299745,0.4233731,0.003692941
0.176054001,0.795617,-0.4287995,0.4239554,0.003739452
0.208226204,0.7962518,-0.4272754,0.4243023,0.003746489
0.242873668,0.7968956,-0.4257311,0.4246447,0.003849072
0.275046348,0.7970529,-0.4253479,0.424731,0.004158671
0.309693336,0.7965161,-0.4261267,0.4249575,0.004116104
0.341866016,0.7963682,-0.4265653,0.424783,0.005159561
0.376513004,0.7972339,-0.4255591,0.4241335,0.007490077
0.408685684,0.7978306,-0.4246622,0.4238608,0.00990525
0.443332672,0.7988265,-0.4221556,0.424412,0.0127638
0.475505352,0.8008393,-0.4165818,0.4260111,0.01606805
0.510152817,0.8032663,-0.4102377,0.4274425,0.01971931
0.542325020,0.8049712,-0.4053175,0.428799,0.02232156
0.576972484,0.8080398,-0.3986191,0.4291628,0.02493094
0.609144688,0.8099294,-0.3953475,0.428791,0.02192693
0.643792152,0.8133491,-0.393118,0.424603,0.01617212
0.675964832,0.8183584,-0.3886079,0.4192452,0.01160051
0.708137035,0.8233457,-0.3850967,0.4127757,0.006801119
0.742784500,0.8233916,-0.3884666,0.409546,-0.004464917
0.774957180,0.8171305,-0.4049916,0.4056785,-0.01822561
0.809604168,0.8086622,-0.4225399,0.4036925,-0.03442899
0.841775894,0.7940312,-0.4481122,0.4029616,-0.05440039
0.876423836,0.7927721,-0.4497051,0.4022251,-0.0641894
0.908596039,0.7991603,-0.4344946,0.4048331,-0.07276737
0.943243027,0.8045275,-0.4182886,0.4088126,-0.08526571
0.975415707,0.8094472,-0.4026046,0.4134762,-0.09148771
1.010062695,0.8081483,-0.3968812,0.4198358,-0.09872846
1.042235374,0.7840363,-0.4320561,0.4258859,-0.1177426
1.076882362,0.731976,-0.5048564,0.4311526,-0.1416544
1.109055042,0.6688163,-0.579026,0.4337615,-0.1609099
1.143702507,0.6601574,-0.5848489,0.4462553,-0.1400992
1.175874710,0.6579846,-0.5813327,0.457476,-0.1282651
1.208047390,0.6818113,-0.548887,0.4690181,-0.1024992
1.242694378,0.6985633,-0.5143841,0.4854345,-0.09164815
1.274867058,0.7082632,-0.4926361,0.4953424,-0.08328551
1.309514522,0.7162815,-0.4673841,0.5087976,-0.0790285
1.341686725,0.7214384,-0.4528499,0.5152137,-0.07507413
1.376334190,0.7166076,-0.4563253,0.5191775,-0.07296006
1.408506870,0.703033,-0.477392,0.5182461,-0.07674725
1.443153858,0.6917815,-0.4986811,0.5134648,-0.07574374
1.475326538,0.6912798,-0.5091412,0.5049368,-0.06763178
1.509973526,0.6965374,-0.5169741,0.4909258,-0.05650705
1.542146206,0.6947485,-0.5336192,0.4756262,-0.054612
1.576793194,0.7043803,-0.5322087,0.4636799,-0.04723332
1.608965874,0.7213786,-0.5151731,0.4578884,-0.03428565
1.643613338,0.7338427,-0.5002317,0.4549157,-0.03037184
1.675785541,0.7354195,-0.497901,0.4544605,-0.03668857
1.710433006,0.7320978,-0.5025236,0.4538653,-0.04622477
1.742605209,0.7275035,-0.5074238,0.4554234,-0.04976892
1.774777412,0.7163742,-0.5189435,0.4594545,-0.05508951
1.809425354,0.7039767,-0.5304903,0.4646372,-0.06112829
1.841597080,0.7002621,-0.5309464,0.4696013,-0.06189548
1.876244068,0.7033063,-0.5255734,0.4715074,-0.05866297
1.908416748,0.7063497,-0.5231555,0.4699266,-0.05634893
1.943064213,0.7065979,-0.5237663,0.4687163,-0.05762696
1.975236416,0.7062638,-0.523397,0.4691122,-0.06171267
2.009883881,0.7104153,-0.5162997,0.4702914,-0.06479412
2.042056561,0.7214808,-0.5040205,0.4671305,-0.06201287
2.076703548,0.7362237,-0.4848891,0.4653715,-0.05398447
2.108876228,0.7483022,-0.4689408,0.4631435,-0.04758283
2.143523216,0.7529423,-0.4630018,0.4620099,-0.043378
2.175695896,0.7527769,-0.464579,0.4609763,-0.04027149
2.210342884,0.7508126,-0.4678074,0.4611147,-0.03791323
2.242515564,0.7538913,-0.4644187,0.4598579,-0.03348832
2.274688244,0.7601628,-0.4568105,0.4574119,-0.02963968
2.309335232,0.7628586,-0.4540149,0.4558198,-0.02781112
2.341507912,0.7615807,-0.4558594,0.456063,-0.02865848
2.376154899,0.7602737,-0.4568923,0.45717,-0.02927051
2.408327579,0.7600434,-0.4569105,0.4574873,-0.02999801
2.442975044,0.7596183,-0.4580398,0.4569459,-0.03174297
2.475147247,0.7597819,-0.4583854,0.4562662,-0.03260419
2.509794712,0.7608255,-0.4573393,0.4556082,-0.0321586
2.541967392,0.7608139,-0.4572937,0.4556884,-0.03194628
2.576614380,0.7590393,-0.4595592,0.4563236,-0.03257405
2.608787060,0.7569642,-0.4624035,0.4568588,-0.03310369
2.643434048,0.7552704,-0.4649448,0.4570817,-0.03311791
2.675606728,0.75529,-0.4650404,0.457014,-0.032252
2.710253715,0.756424,-0.463378,0.4568972,-0.03124326
