Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.350358486,43.38281,72.46875,3.7325,252.1875,0
1.404957771,43.38281,72.46875,3.7325,258.125,0
2.459860802,43.37109,72.375,3.731875,260,0
3.338846683,43.35938,72.375,3.730625,262.5,0
4.393710136,43.34375,72.375,3.7325,256.875,0
5.448345661,43.33203,72.375,3.731875,262.5,0
6.327471256,43.33203,72.46875,3.73125,257.1875,0
7.382544041,43.32031,72.28125,3.73125,265.3125,0
8.436898231,43.30859,72.28125,3.730625,263.75,0
9.315902233,43.29688,72.1875,3.731875,255.9375,0
10.370860576,43.28516,72.375,3.72875,269.0625,0
11.425628185,43.28516,72.28125,3.731875,261.875,0
13.359441280,43.26172,72.375,3.73125,261.5625,0
14.414035320,43.24609,72.1875,3.731875,256.5625,0
15.293178081,43.23438,72.28125,3.730625,273.75,0
16.347880363,43.23438,72.28125,3.73125,265.9375,0
17.402646541,43.22266,72.28125,3.730625,256.875,0
18.457593918,43.21094,72.28125,3.730625,257.1875,0
19.336495399,43.19922,72.28125,3.731875,271.875,0
20.391304970,43.1875,72.09375,3.73125,259.0625,0
21.446171284,43.17578,72.375,3.72875,260.9375,0
22.325123787,43.17578,72.375,3.7325,261.5625,0
23.379832268,43.16406,72.09375,3.72875,276.875,0
24.434587479,43.14844,72.09375,3.73,267.5,0
25.313589573,43.13672,72.1875,3.724375,250,0
26.368417740,43.125,72.1875,3.7325,256.25,0
27.423267364,43.125,72,3.730625,252.8125,0
28.302146435,43.11328,72,3.73,259.6875,0
29.357064247,43.10156,71.90625,3.730625,263.4375,0
30.411777496,43.08984,71.90625,3.73125,258.75,0
31.466525555,43.07813,71.8125,3.730625,255.3125,0
32.345532894,43.07813,71.90625,3.729375,258.125,0
33.400339603,43.06641,71.90625,3.733125,249.375,0
34.455223083,43.05078,71.625,3.726875,266.5625,0
35.334132194,43.03906,71.71875,3.72875,261.875,0
36.389009476,43.02734,71.8125,3.73,260.9375,0
37.443692684,43.01563,71.90625,3.72875,277.1875,0
38.322828770,43.01563,71.90625,3.7275,252.8125,0
39.377608776,43.00391,71.8125,3.729375,318.4375,0
40.432263851,42.99219,71.8125,3.73,268.125,0
41.311549663,42.98047,71.71875,3.73,262.5,0
42.366104603,42.96875,71.71875,3.730625,261.875,0
