Time (s),Power (dBm),Percentage (%)
0.281228066,-57,86
0.780850887,-58,84
1.281197071,-59,82
1.780876160,-59,82
2.281100273,-59,82
2.781046867,-59,82
3.281023979,-59,82
3.781054974,-59,82
4.281173229,-59,82
4.780858040,-59,82
5.281282902,-59,82
5.780904293,-53,94
6.281177998,-57,86
6.781152725,-57,86
7.281083107,-57,86
7.781093597,-47,100
8.281153202,-47,100
8.780858040,-57,86
9.281200409,-60,80
9.780884743,-55,90
10.281024933,-53,94
10.781065941,-51,98
11.280982494,-60,80
11.780992985,-61,78
12.280979633,-55,90
12.780960083,-49,100
13.281134605,-47,100
13.780724525,-47,100
14.280848503,-47,100
14.780933380,-47,100
15.280874252,-51,98
15.780929089,-51,98
16.280972481,-51,98
16.780983448,-59,82
17.281203747,-51,98
17.780806065,-53,94
18.281173706,-59,82
18.781086445,-47,100
19.281002045,-51,98
19.781356335,-63,74
20.281381607,-51,98
20.781352043,-57,86
21.281452179,-53,94
21.781163692,-49,100
22.281490326,-53,94
22.781255245,-61,78
23.281271458,-55,90
23.781307697,-51,98
24.281276703,-55,90
24.781170845,-59,82
25.281436443,-62,76
25.781046390,-61,78
26.281389713,-62,76
26.781085491,-62,76
27.281330109,-62,76
27.781243324,-62,76
28.281197071,-67,66
28.781022072,-57,86
29.281339645,-53,94
29.780992985,-49,100
30.281163216,-60,80
30.780925274,-60,80
31.281227112,-60,80
31.780972481,-55,90
32.281070232,-51,98
32.780860901,-53,94
33.281123638,-53,94
33.780846596,-53,94
34.281191349,-53,94
34.780856132,-59,82
