Time (s),W,X,Y,Z
0.001267910,-0.4997182,-0.1013737,0.1849325,-0.8381126
0.033440590,-0.4998416,-0.1014785,0.1850055,-0.8380102
0.068087578,-0.500067,-0.1011494,0.1847782,-0.8379657
0.100260258,-0.5000793,-0.1005556,0.1844793,-0.8380957
0.134907246,-0.5002545,-0.09944824,0.1833728,-0.8383661
0.167076111,-0.5010866,-0.09838334,0.1811935,-0.8384685
0.201723099,-0.5019506,-0.0980292,0.1792771,-0.8384053
0.233895779,-0.5023755,-0.09864383,0.1786358,-0.8382156
0.268543720,-0.5021728,-0.100915,0.1802337,-0.8377244
0.300715923,-0.5013614,-0.103805,0.1838297,-0.8370757
0.335363388,-0.5001331,-0.1055249,0.1869531,-0.8369036
0.367531777,-0.4991488,-0.1063671,0.1885262,-0.8370317
0.399704456,-0.4983334,-0.1068325,0.1896074,-0.8372141
0.434351444,-0.4980952,-0.1066785,0.1894393,-0.8374135
0.466524124,-0.4982758,-0.10622,0.1889081,-0.8374844
0.501171589,-0.4984001,-0.1057429,0.1885327,-0.8375552
0.533343792,-0.4984737,-0.1051222,0.1879829,-0.8377132
0.567986965,-0.498795,-0.1043964,0.1869146,-0.8378518
0.600159645,-0.4991454,-0.1038678,0.1860742,-0.837896
0.634807587,-0.4993263,-0.1035072,0.1852861,-0.8380073
0.666980266,-0.4992862,-0.1036202,0.1850673,-0.8380657
0.701627254,-0.4990713,-0.1042728,0.1856823,-0.8379766
0.733799934,-0.4985757,-0.1048821,0.186939,-0.8379161
0.768443108,-0.4982541,-0.104932,0.1876573,-0.8379406
0.800615787,-0.4984581,-0.1043005,0.1870035,-0.8380443
0.835262775,-0.4988175,-0.1033098,0.1856668,-0.8382505
0.867435455,-0.499196,-0.1027858,0.1849514,-0.8382477
0.902082443,-0.4993755,-0.1027022,0.1850951,-0.8381193
0.934255123,-0.4996207,-0.1026472,0.1850843,-0.8379823
0.966423511,-0.4998525,-0.102477,0.1848646,-0.8379134
1.001071453,-0.5000241,-0.1022612,0.184677,-0.8378788
1.033244133,-0.5002476,-0.1019923,0.1842408,-0.8378741
1.067891121,-0.5002229,-0.1021766,0.1844066,-0.8378298
1.100063801,-0.4999223,-0.1025778,0.1851662,-0.8377928
1.134711266,-0.4998058,-0.1026647,0.1854638,-0.8377857
1.166879654,-0.4999892,-0.102406,0.1850414,-0.8378013
1.201526642,-0.5002946,-0.1022182,0.1845739,-0.8377452
1.233699322,-0.5003477,-0.1022409,0.184659,-0.837692
1.268346310,-0.500364,-0.1023528,0.1848339,-0.83763
1.300518990,-0.5002921,-0.102483,0.1851923,-0.8375778
1.335166931,-0.5002068,-0.1024009,0.1852152,-0.8376338
1.367335320,-0.5002331,-0.1022643,0.184954,-0.8376923
1.401982784,-0.5001457,-0.1023885,0.1851958,-0.837676
1.434155464,-0.4999287,-0.1024084,0.1854826,-0.8377396
1.466327667,-0.4999478,-0.1023196,0.1854051,-0.8377563
1.500975132,-0.5000848,-0.1021586,0.1852827,-0.8377213
1.533147335,-0.500286,-0.1019861,0.1850743,-0.8376681
1.567790985,-0.500341,-0.1017938,0.1850191,-0.8376709
1.599963188,-0.500371,-0.1017545,0.1848438,-0.8376965
1.634610653,-0.5003886,-0.1019857,0.1851148,-0.837598
1.666782856,-0.5001779,-0.1022685,0.1855613,-0.8375905
1.701430798,-0.5002587,-0.102089,0.1852795,-0.8376265
1.733603477,-0.5004429,-0.1017243,0.1848242,-0.8376615
1.768246651,-0.500697,-0.1017408,0.1847915,-0.8375148
1.800419331,-0.5007295,-0.1018581,0.1849287,-0.8374508
1.835066318,-0.5005267,-0.1019178,0.1851753,-0.8375103
1.867238998,-0.5005211,-0.1020587,0.1853315,-0.8374621
1.901885986,-0.5004359,-0.1021378,0.1853642,-0.8374961
1.934058666,-0.5003877,-0.1023777,0.1854435,-0.8374781
1.968702793,-0.5003287,-0.1027526,0.1860206,-0.8373393
2.000874996,-0.5003151,-0.1028235,0.1860747,-0.8373268
2.033047676,-0.5004603,-0.1027473,0.1857218,-0.8373277
2.067695141,-0.5005274,-0.1027674,0.1856146,-0.8373088
2.099867344,-0.5004367,-0.1028044,0.185824,-0.8373121
2.134514809,-0.5003793,-0.1027552,0.1857029,-0.8373793
2.166683197,-0.5003471,-0.1030624,0.185821,-0.8373345
2.201330662,-0.5003637,-0.1034914,0.1861851,-0.8371908
2.233502865,-0.5004883,-0.1036695,0.186265,-0.8370765
2.268150330,-0.5005877,-0.1034512,0.185946,-0.837115
2.300322533,-0.5006367,-0.1031864,0.1856259,-0.8371894
2.334970474,-0.5005338,-0.1031429,0.1856432,-0.8372526
2.367139340,-0.500711,-0.1031914,0.1855566,-0.8371598
2.401786327,-0.5007473,-0.1034971,0.1860456,-0.8369918
2.433959007,-0.5006956,-0.1034375,0.1861646,-0.8370036
2.468605995,-0.5005825,-0.1031447,0.1857157,-0.8372072
2.500779152,-0.5005714,-0.1031841,0.1856597,-0.8372214
2.532951355,-0.5005613,-0.1032644,0.1857717,-0.8371925
2.567594528,-0.5006264,-0.1033254,0.1858581,-0.8371269
2.599767208,-0.5007036,-0.1033799,0.1857762,-0.8370922
2.634414196,-0.5007982,-0.1033377,0.185727,-0.8370517
2.666586876,-0.5009107,-0.1035147,0.1860661,-0.8368873
2.701234817,-0.501002,-0.1034728,0.1860539,-0.8368405
2.733407021,-0.5010747,-0.1033071,0.1857266,-0.8368902
2.768050194,-0.5012409,-0.1035634,0.1858214,-0.8367379
2.800222874,-0.5012822,-0.1038228,0.1861251,-0.8366135
