Time (s),Power (dBm),Percentage (%)
0.470026016,-49,100
0.970258236,-49,100
1.469937324,-49,100
1.970257282,-49,100
2.470027923,-49,100
2.970095158,-49,100
3.470033169,-49,100
3.970164776,-49,100
4.470011234,-53,94
4.970176220,-59,82
5.470112324,-49,100
5.970245361,-60,80
6.470124721,-60,80
6.970276356,-60,80
7.470083237,-57,86
7.970268726,-56,88
8.470063686,-53,94
8.970294476,-55,90
9.470041275,-63,74
9.970109940,-64,72
10.469879627,-63,74
10.970077515,-59,82
11.469881058,-67,66
11.970047951,-59,82
12.469851971,-59,82
12.970044136,-57,86
13.469834328,-49,100
13.969996452,-65,70
14.469831467,-59,82
14.970163822,-49,100
15.469829082,-55,90
15.970110416,-55,90
16.470118999,-55,90
16.970165730,-57,86
17.469920635,-53,94
17.970143318,-57,86
18.470146179,-58,84
18.970283031,-51,98
19.470067024,-53,94
19.970294476,-59,82
20.470098972,-62,76
20.970168114,-57,86
21.469995022,-57,86
21.970255375,-59,82
22.469974041,-53,94
22.970212460,-53,94
23.470043182,-59,82
23.970111370,-55,90
24.469892025,-59,82
24.970040321,-63,74
25.469895840,-59,82
25.970057487,-55,90
26.469810009,-55,90
26.969990253,-53,94
27.469820976,-53,94
27.969994545,-64,72
28.469814300,-55,90
28.969944954,-59,82
29.469823837,-59,82
29.970186710,-57,86
30.469965935,-57,86
30.970203400,-63,74
31.469959736,-55,90
31.970016479,-57,86
32.469998836,-51,98
32.969983101,-51,98
33.469974995,-51,98
33.970112801,-65,70
34.469786167,-59,82
34.970122814,-63,74
