Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.001267910,-1.371653,-0.1914608,-0.3538111,-0.005596505,-0.42299,0.8988419,-8.294472,32.45984,-30.92442,1008.145
0.033440590,0.7784118,0.1636492,0.3203461,-0.009939637,-0.4171209,0.9018228,-8.288435,32.84665,-30.48,1008.145
0.068087578,1.94559,0.4595743,0.1977721,-0.02651432,-0.4073516,0.899166,-8.671896,33.22747,-30.92621,1008.145
0.100260258,3.542781,0.8146844,0.136485,-0.02362859,-0.4204609,0.900477,-8.671896,33.22747,-30.92621,1008.145
0.134907246,8.272923,0.4003893,0.8719293,-0.009849625,-0.4296119,0.918589,-8.677674,33.22179,-31.37249,1008.145
0.167076111,7.167175,-0.7833109,1.546087,-0.007305846,-0.3976141,0.915455,-8.671896,33.22747,-30.92621,1008.147
0.201723099,3.665641,-1.375161,0.7493553,-0.002363461,-0.3550274,0.902264,-8.671896,33.22747,-30.92621,1008.147
0.233895779,-4.996047,-1.730271,-1.518265,-0.008112012,-0.3399101,0.9077442,-8.300249,32.45415,-31.3707,1008.147
0.268543720,-15.0092,-1.967011,-2.314996,0.004008922,-0.3656716,0.9107928,-8.672411,32.46521,-30.92249,1008.147
0.300715923,-15.68494,-1.138421,-1.702126,-0.0158802,-0.4210373,0.893652,-8.672411,32.46521,-30.92249,1008.147
0.335363388,-6.654668,-0.3690159,-1.518265,-0.02473738,-0.4437881,0.895957,-9.050608,32.08944,-30.91869,1008.147
0.367531777,-4.996047,-0.664941,-1.579552,-0.01888355,-0.4520398,0.8996904,-9.044315,32.85739,-30.47614,1008.151
0.399704456,-0.8187789,-0.664941,-0.9666814,-0.01604731,-0.4506871,0.8881071,-9.044315,32.85739,-30.47614,1008.152
0.434351444,2.375603,0.1636492,0.1977721,-0.006200217,-0.4235764,0.8853467,-9.038537,32.86308,-30.02985,1008.152
0.466524124,2.129881,0.6963143,0.8106423,-0.01142366,-0.4200333,0.9008486,-9.42174,33.62503,-30.47792,1008.151
0.501171589,2.00702,0.5779443,0.4429201,-0.008534119,-0.4283035,0.9002715,-9.42174,33.62503,-30.47792,1008.151
0.533343792,4.402806,0.2820193,0.3816331,-0.01439373,-0.4263434,0.8988964,-8.672153,32.84634,-30.92435,1008.149
0.567986965,3.972794,0.4003893,0.6267812,-0.006483332,-0.4171012,0.9066107,-9.044058,33.23852,-30.478,1008.149
0.600159645,3.174198,-0.0139058,0.6880682,-0.003574159,-0.4118136,0.9018071,-9.044058,33.23852,-30.478,1008.149
0.634807587,1.454146,0.04527921,-0.1699501,-0.007858555,-0.4025062,0.9101179,-9.433554,33.23252,-31.36862,1008.143
0.666980266,-1.494514,-0.6057559,-0.7215333,-0.005965964,-0.3962835,0.9000295,-9.049836,33.23284,-30.92428,1008.143
0.701627254,-4.811756,-0.1914608,-0.9053944,-0.008976554,-0.4045647,0.8942053,-9.049836,33.23284,-30.92428,1008.147
0.733799934,-3.8903,0.1636492,-0.4763852,-0.0139601,-0.4365503,0.8973622,-9.055871,32.84602,-31.3687,1008.147
