Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.7233071,0.1500642,0.1255396,0.004877259,0.1839459,0.9913969,-20.44895,11.89156,-42.01934,1008.03
0.032776356,-1.71724,0.09097147,0.06445057,0.002491776,0.1648881,0.9851736,-20.4476,11.9026,-41.21128,1008.03
0.068074703,0.8297123,-0.08630657,-0.1799055,0.004450066,0.1590935,0.9899913,-20.44011,11.5441,-40.77044,1008.03
0.100851059,3.06606,-0.4999554,-0.3020835,0.004428995,0.1703822,1.00249,-20.44011,11.5441,-40.77044,1008.028
0.133628368,3.687268,-2.390921,-0.1799055,-0.01354831,0.1735912,0.9953071,-20.07062,11.16776,-41.57324,1008.028
0.166404724,2.941818,-1.91818,0.2477176,-0.001425593,0.1784858,0.9841996,-20.07665,11.53814,-41.14386,1008.026
0.199181557,-1.158153,0.4455276,0.1866286,0.007285972,0.1892231,0.9769423,-20.07665,11.53814,-41.14386,1008.024
0.234479427,-5.071762,2.454679,-0.1799055,0.005802595,0.2019272,0.9846286,-20.07676,11.53729,-41.20602,1008.024
0.267256737,-7.929317,2.868328,0.1255396,-0.002451845,0.2018616,0.9851296,-20.44083,11.53816,-41.20555,1008.023
0.300033093,-12.58838,2.986513,0.06445057,-0.0009307964,0.1771191,0.9971973,-20.44083,11.53816,-41.20555,1008.023
0.332809925,-12.6505,2.277401,-0.2409945,0.006923127,0.1431524,1.005894,-20.44146,11.53307,-41.5785,1008.021
0.368107796,-7.308109,0.6228056,-0.4853506,0.007926205,0.1285061,0.9996564,-20.09028,12.26616,-41.21748,1008.019
0.400885105,-3.394501,0.3864349,0.003361554,0.009375812,0.1299224,0.9914677,-20.09028,12.26616,-41.21748,1008.019
0.433661461,-3.270259,1.213732,0.3088066,0.002580086,0.1293954,0.9938914,-19.7262,12.26529,-41.21795,1008.017
0.466438293,2.320611,-0.2635846,0.1255396,-0.002247912,0.1181701,0.9963265,-20.09028,12.26616,-41.21748,1008.017
0.499215126,6.047858,-0.3226773,0.06445057,-0.002342889,0.15861,0.9986727,-20.09028,12.26616,-41.21748,1008.017
0.534513473,3.06606,-1.149975,0.3698956,-0.002347762,0.1595439,0.9928949,-19.72548,12.27123,-40.78284,1008.017
0.567289829,3.563026,-0.9726968,0.2477176,0.005412888,0.1625074,0.9895025,-19.73296,12.62973,-41.22368,1008.022
0.600066662,0.7054707,0.1500642,0.003361554,-0.0004097836,0.1620187,0.9962561,-20.09631,12.63654,-40.7881,1008.022
0.632843017,1.513041,0.2682495,-0.1188165,-0.009138039,0.1560713,0.9919535,-20.09631,12.63654,-40.7881,1008.022
0.668141842,-2.089964,1.331918,-0.1188165,-0.0009208996,0.173233,0.9986473,-20.09028,12.26616,-41.21748,1008.022
0.700918198,-3.580863,0.4455276,0.1866286,0.01079701,0.1465538,1.000104,-20.45498,12.26194,-41.58996,1008.022
0.733695030,0.2706253,-0.2044919,-0.2409945,-0.001324006,0.1381496,0.9967756,-20.45498,12.26194,-41.58996,1008.022
0.766471386,3.625147,-0.7954187,-0.1799055,-0.004719907,0.1341279,0.9828302,-20.45436,12.26703,-41.21701,1008.022
0.799248695,3.376664,-0.4999554,0.1866286,-0.002819109,0.154206,0.9962736,-20.08414,11.89663,-41.5847,1008.022
0.834546566,5.48877,-1.090882,-0.05772746,-0.002836039,0.1615181,0.9972253,-20.08414,11.89663,-41.5847,1008.02
0.867323399,3.687268,-0.9726968,-0.1188165,0.005381645,0.1756571,0.9894828,-20.08341,11.90257,-41.14959,1008.02
0.900099754,1.761524,-0.6772334,0.1866286,0.001040981,0.1629479,0.9880681,-20.09028,12.26616,-41.21748,1008.02
0.932877064,2.755456,-0.3226773,0.2477176,0.006394864,0.158139,0.9904694,-20.09028,12.26616,-41.21748,1008.02
0.968174934,2.25849,0.09097147,0.3698956,0.006364841,0.1728234,1.001037,-20.44832,11.89665,-41.64639,1008.022
1.000951767,1.823645,-0.38177,0.1255396,-0.006253895,0.1677608,0.9885595,-20.08352,11.90172,-41.21175,1008.022
