Time (s),W,X,Y,Z
0.004676342,0.6475512,0.2244419,-0.7093087,-0.1543113
0.037235260,0.6493865,0.2265948,-0.7054676,-0.1609196
0.072295666,0.6402717,0.2465186,-0.7077445,-0.1581329
0.104855537,0.638881,0.2470784,-0.7074938,-0.1639008
0.137414932,0.6435018,0.2323533,-0.7105148,-0.1539927
0.172479153,0.6453841,0.217936,-0.7164063,-0.1391871
0.205039024,0.6455556,0.2169362,-0.7180977,-0.1309962
0.237598896,0.647065,0.2230512,-0.7138394,-0.1364411
0.272658825,0.6473116,0.2274467,-0.7121961,-0.1366026
0.305218220,0.6440749,0.2287115,-0.7157012,-0.1313702
0.337778092,0.6434155,0.2295033,-0.7162604,-0.1301679
0.372841835,0.6427308,0.2315515,-0.7163424,-0.1294686
0.405401707,0.6417159,0.2326569,-0.7170719,-0.1284796
0.437961578,0.6412453,0.2332888,-0.7174209,-0.1277327
0.473021507,0.640723,0.2338457,-0.7178383,-0.1269886
0.505581379,0.6404568,0.2341801,-0.7180977,-0.1262468
0.538141251,0.6403053,0.2346798,-0.7181477,-0.1258017
0.570701122,0.6403058,0.2350659,-0.7180812,-0.1254575
0.605764866,0.6405672,0.2350659,-0.7179434,-0.1249097
0.638324737,0.6408299,0.2350149,-0.7178024,-0.124468
0.670880318,0.6410635,0.2350752,-0.7176779,-0.1238687
0.705944061,0.6411278,0.2353964,-0.7176443,-0.1231173
0.738503933,0.6411712,0.2356544,-0.7176739,-0.1222223
0.771063805,0.6413208,0.2357882,-0.7176313,-0.1214268
0.806127548,0.6415676,0.2358781,-0.7175411,-0.1204775
0.838687420,0.6419333,0.2357204,-0.7174102,-0.1196147
0.871243000,0.6423043,0.2355424,-0.7172657,-0.1188382
0.906306744,0.6426581,0.2354958,-0.7170616,-0.1182479
0.938866615,0.6428811,0.2355604,-0.7169175,-0.11778
0.971426487,0.6429874,0.2355856,-0.7168842,-0.1173521
1.003985882,0.6429502,0.2359795,-0.7168153,-0.1171841
1.039050102,0.6427414,0.2365045,-0.7168463,-0.1170822
1.071606159,0.6426447,0.2369626,-0.7167935,-0.1170096
1.104165077,0.6425936,0.2372994,-0.7167708,-0.116747
1.139229775,0.6427198,0.2374282,-0.7166879,-0.1162973
1.171789646,0.6429158,0.2374502,-0.7165876,-0.1157863
1.204348564,0.6431472,0.2373374,-0.7165071,-0.1152295
1.239413261,0.6433774,0.237321,-0.7163987,-0.1146514
1.271968842,0.6435179,0.2373669,-0.7163279,-0.1142087
1.304528713,0.6435845,0.2375559,-0.7162355,-0.1140189
1.339592457,0.6435572,0.2379583,-0.7161343,-0.1139714
1.372152329,0.6435785,0.2380593,-0.7161042,-0.1138282
1.404712200,0.643592,0.2382429,-0.7160396,-0.1137747
1.437271118,0.6435561,0.238442,-0.7159939,-0.1138479
1.472331524,0.6435412,0.2387096,-0.7159085,-0.1139075
1.504891396,0.6435309,0.2388085,-0.7159141,-0.1137237
1.537450791,0.6435767,0.2388321,-0.715905,-0.1134726
1.572515011,0.6436517,0.2389286,-0.715841,-0.113248
1.605074406,0.643718,0.2390254,-0.7157825,-0.1130354
1.637634277,0.6437892,0.2391759,-0.7157026,-0.1128184
1.672694683,0.6438566,0.2391951,-0.7156658,-0.112626
1.705254555,0.6438905,0.2393138,-0.7156051,-0.1125656
1.737813473,0.643885,0.2395821,-0.7155218,-0.1125563
1.772878170,0.6439171,0.2397524,-0.715439,-0.1125353
1.805438042,0.6439562,0.2397527,-0.7154439,-0.1122789
1.837996960,0.6440366,0.2398281,-0.7153606,-0.1121885
1.870552540,0.6440471,0.240108,-0.7152515,-0.112225
1.905617237,0.6440822,0.2402481,-0.7151794,-0.1121818
1.938176155,0.644075,0.2404537,-0.7151025,-0.1122749
1.970736027,0.6440781,0.2406742,-0.7150117,-0.1123625
2.005799770,0.6440074,0.2409407,-0.7149683,-0.1124724
2.038359642,0.6440138,0.2409805,-0.7149518,-0.1124553
2.070915699,0.6439719,0.2410363,-0.7149632,-0.1125039
2.105979443,0.6439178,0.2411476,-0.7149574,-0.1126116
2.138539314,0.6438139,0.24136,-0.7149615,-0.1127239
2.171099186,0.6437445,0.2415186,-0.7149553,-0.1128192
2.206162930,0.6437326,0.2417571,-0.7148666,-0.1129385
2.238773823,0.6437493,0.2417955,-0.7148495,-0.1128704
2.271329880,0.6438389,0.2418353,-0.7147712,-0.1127692
2.303888798,0.6438654,0.2420686,-0.7146703,-0.1127571
2.338953495,0.6440214,0.2419937,-0.7146038,-0.1124481
2.371513367,0.6441501,0.2420192,-0.7145094,-0.1122555
2.404072285,0.6442327,0.2420446,-0.7144428,-0.1121506
2.439136982,0.6442508,0.2420536,-0.714425,-0.1121408
2.471692085,0.6441334,0.2422249,-0.7144241,-0.1124503
2.504251957,0.6437991,0.2426434,-0.7144735,-0.1131461
2.539316177,0.6432994,0.2434937,-0.7144802,-0.1141154
2.571875572,0.6429778,0.2438066,-0.7145734,-0.1146754
2.604435444,0.6428453,0.2438012,-0.7146747,-0.1147984
2.639499664,0.6427078,0.2440061,-0.7147141,-0.1148879
2.672054768,0.6427398,0.2440014,-0.7147254,-0.114648
2.704614639,0.64288,0.2438453,-0.7147086,-0.1142983
2.739733219,0.6430894,0.2436481,-0.7146499,-0.1139073
2.772292137,0.643204,0.2433909,-0.7146757,-0.1136482
2.804852009,0.643221,0.2433468,-0.7146643,-0.1137173
2.837411880,0.643037,0.2435974,-0.7146685,-0.114195
2.872471809,0.6427398,0.2439452,-0.7147346,-0.1147103
2.905031681,0.6424777,0.24445,-0.7147014,-0.1153096
2.937591076,0.642295,0.2447569,-0.7147011,-0.1156769
2.972655296,0.6422783,0.2447928,-0.7147073,-0.1156556
3.005214691,0.6422172,0.2449068,-0.714718,-0.1156874
3.037774563,0.6421028,0.2450638,-0.7147661,-0.1156932
3.072834492,0.6418902,0.2454159,-0.7147998,-0.1159176
3.105394363,0.6416229,0.2456948,-0.7148982,-0.1161995
3.137953281,0.6411959,0.2459915,-0.7150863,-0.1167701
3.173017979,0.6402403,0.2470648,-0.7153154,-0.1183336
3.205577850,0.6389591,0.2485317,-0.7156136,-0.1203669
3.238136768,0.6374961,0.2499615,-0.7160295,-0.1226682
3.270692825,0.6361557,0.2515357,-0.7162504,-0.1250946
3.305757046,0.6350595,0.2529325,-0.7163805,-0.1270873
3.338316441,0.6345118,0.2534026,-0.716549,-0.1279337
3.370876312,0.6344992,0.253097,-0.7166961,-0.1277766
3.405940533,0.6348272,0.2526083,-0.716718,-0.1269906
3.438499928,0.6354085,0.2518816,-0.7166646,-0.1258225
3.471055508,0.6361115,0.2509902,-0.7165977,-0.1244247
3.506119251,0.6370236,0.2499389,-0.7164232,-0.1228695
3.538679123,0.6377863,0.2492205,-0.716202,-0.1216556
3.571238995,0.6384585,0.2485435,-0.7160162,-0.1206033
3.606302738,0.6389817,0.2479339,-0.7158838,-0.1198714
3.638862610,0.6391374,0.2477075,-0.7158657,-0.1196171
3.671418190,0.6390517,0.2477487,-0.7158853,-0.1198722
3.703977585,0.6388311,0.248051,-0.7158643,-0.120547
3.739041805,0.6384223,0.2484776,-0.71593,-0.1214403
3.771601200,0.6379755,0.2489787,-0.7160046,-0.12232
3.804161072,0.6375691,0.2494321,-0.7160643,-0.1231612
3.839225292,0.6372231,0.2500513,-0.716012,-0.1239985
3.871780395,0.637128,0.2501284,-0.7160451,-0.12414
3.904340267,0.6371212,0.2501673,-0.7160401,-0.124125
3.939404964,0.6372533,0.2500652,-0.7160093,-0.1238313
3.971963882,0.637445,0.2498695,-0.7159923,-0.1233361
4.004523754,0.6376261,0.2497399,-0.7159398,-0.122967
4.039587498,0.6378004,0.2496219,-0.7158781,-0.1226616
4.072143555,0.6378776,0.2495953,-0.7158236,-0.1226316
4.104703426,0.6379413,0.2495573,-0.7157772,-0.1226482
4.137262344,0.6379073,0.249597,-0.7157676,-0.1228014
4.172327042,0.637854,0.2497082,-0.7157344,-0.1230441
4.204886913,0.6377906,0.2497249,-0.7157611,-0.1231839
4.237445831,0.637759,0.2496831,-0.7158075,-0.1231622
4.272506237,0.63775,0.2497805,-0.7157765,-0.1231926
4.305065632,0.6378028,0.2496958,-0.7157894,-0.1230157
4.337625027,0.6379003,0.2495578,-0.7157943,-0.1227608
4.372689724,0.6380041,0.2495384,-0.7157363,-0.1225997
4.405248642,0.6381219,0.2494248,-0.7157037,-0.1224071
4.437808514,0.6382117,0.2493201,-0.7156879,-0.122245
4.472868443,0.6382705,0.2493154,-0.7156404,-0.1222252
4.505428314,0.6382844,0.2492975,-0.715633,-0.1222332
4.537988186,0.6382782,0.2493578,-0.7156047,-0.1223073
4.573051930,0.638276,0.2493771,-0.7156063,-0.1222704
4.605611801,0.6382574,0.2494785,-0.7155871,-0.1222728
4.638171673,0.638256,0.2495262,-0.7155749,-0.1222545
4.670726776,0.6383264,0.249383,-0.7155796,-0.1221524
4.705790996,0.638384,0.2493492,-0.7155444,-0.1221255
4.738350391,0.6384116,0.2492757,-0.7155449,-0.1221285
4.770910263,0.6384007,0.2492846,-0.7155522,-0.122125
4.805974483,0.6383669,0.249394,-0.7155411,-0.1221439
4.838533878,0.6383429,0.2494366,-0.7155483,-0.1221393
4.871089458,0.63835,0.249408,-0.71556,-0.1220927
4.906153202,0.6383631,0.2493712,-0.7155806,-0.1219779
4.938713074,0.6384299,0.2492557,-0.7155761,-0.1218914
4.971272945,0.6384448,0.2492794,-0.7155503,-0.1219158
5.006336689,0.6384811,0.2492162,-0.7155554,-0.1218256
5.038896561,0.6385063,0.2491911,-0.715552,-0.1217645
5.071452141,0.638548,0.2492064,-0.7155073,-0.1217763
5.104011536,0.6385688,0.2492063,-0.7154862,-0.1217922
5.139075756,0.6385744,0.2492075,-0.7154886,-0.1217466
5.171635151,0.638584,0.2491459,-0.7155155,-0.1216632
5.204195023,0.6385788,0.24925,-0.7154787,-0.1216942
5.239259243,0.6386372,0.2491983,-0.7154577,-0.1216164
5.271814346,0.6386681,0.2492229,-0.715427,-0.121585
5.304374218,0.6387336,0.2490998,-0.7154248,-0.1215061
5.339437962,0.6387578,0.2490524,-0.7154267,-0.1214643
5.371997833,0.6387978,0.2490263,-0.715426,-0.1213123
5.404557705,0.6388776,0.2489885,-0.7153893,-0.1211863
5.439621449,0.6390012,0.2488818,-0.7153554,-0.1209528
5.472177506,0.639155,0.2487252,-0.7153185,-0.1206805
5.504736424,0.6392023,0.2488672,-0.7152306,-0.1206575
5.537296295,0.6392677,0.2488685,-0.7151829,-0.1205914
5.572360993,0.6393183,0.2487421,-0.7152005,-0.1204798
5.604919911,0.6392689,0.2488801,-0.7151778,-0.1205922
5.637479782,0.6392235,0.2489118,-0.7151979,-0.1206483
5.672539711,0.6392297,0.2488457,-0.7152206,-0.1206166
5.705099583,0.6392228,0.2488718,-0.7152199,-0.1206038
5.737774372,0.63924,0.2489596,-0.7151663,-0.12065
5.772838116,0.6392766,0.2490244,-0.7151178,-0.1206098
5.805397987,0.6393567,0.2489785,-0.7150767,-0.1205221
5.837957382,0.6393381,0.24906,-0.7150628,-0.1205349
5.873017788,0.6393494,0.2491316,-0.7150142,-0.1206156
5.905577660,0.639311,0.2491647,-0.7150162,-0.1207389
5.938136578,0.6393062,0.2491464,-0.7150331,-0.1207021
5.970696449,0.6393313,0.2490096,-0.7150775,-0.120588
6.005760193,0.6393768,0.2489484,-0.7150622,-0.1205645
6.038320065,0.6394021,0.2490483,-0.715005,-0.1205629
6.070876122,0.639396,0.2492175,-0.714927,-0.1207084
6.105939865,0.6393886,0.2493137,-0.7148892,-0.1207729
6.138499737,0.6393858,0.2493419,-0.7148761,-0.1208067
6.171058655,0.6393768,0.2494123,-0.7148428,-0.1209053
6.206123352,0.6393031,0.2496944,-0.7147625,-0.1211882
6.238682270,0.6393054,0.2496749,-0.7147592,-0.1212357
6.271238327,0.6393659,0.2494664,-0.7148083,-0.1210561
6.306302548,0.6393752,0.2494856,-0.7147954,-0.1210438
6.338861942,0.6394196,0.2493801,-0.7148191,-0.1208861
6.371421337,0.6394604,0.2491571,-0.7149019,-0.1206411
6.403980732,0.639494,0.2490285,-0.7149315,-0.1205518
6.439044952,0.6394939,0.2489874,-0.714951,-0.1205225
6.471601009,0.6394911,0.2489775,-0.7149451,-0.1205918
6.504159927,0.6394866,0.2489227,-0.71497,-0.1205814
6.539224625,0.6394951,0.2489963,-0.7149295,-0.1206257
6.571783543,0.6394629,0.2491209,-0.7148942,-0.1207471
6.604343414,0.6394914,0.2491007,-0.7148852,-0.1206921
6.639408111,0.6395176,0.2490669,-0.7148827,-0.1206368
6.671963215,0.6394916,0.2490932,-0.7148984,-0.120627
6.704523086,0.639531,0.2490532,-0.7148861,-0.1205739
6.739586830,0.6395876,0.2489663,-0.7148798,-0.1204909
6.772146702,0.6396422,0.2488675,-0.7148851,-0.1203728
6.804705620,0.6397097,0.248657,-0.7149332,-0.1201644
6.839770317,0.6397589,0.2485884,-0.7149253,-0.1200902
6.872325897,0.6397855,0.2486039,-0.7149132,-0.1199897
6.904885292,0.639841,0.2484514,-0.7149474,-0.1198047
6.937445164,0.6398615,0.2484951,-0.7149162,-0.1197917
6.972508907,0.6398941,0.2484424,-0.714915,-0.1197332
7.005068779,0.6399315,0.2483733,-0.7149089,-0.1197133
7.037628174,0.6399428,0.2483315,-0.7149122,-0.1197196
7.072688103,0.6399399,0.2482345,-0.7149547,-0.1196828
7.105247974,0.6399427,0.2482323,-0.7149603,-0.1196393
7.137807369,0.6399407,0.2482834,-0.7149459,-0.1196293
7.172871590,0.6399742,0.2482986,-0.7149128,-0.1196174
7.205430985,0.6399729,0.2483131,-0.7149149,-0.1195808
7.237990379,0.6399652,0.2483885,-0.7148839,-0.1196518
