Time (s),Humidity (%)
0.414393425,14.62695
1.414991856,14.62695
2.415590286,15.34863
3.413822174,14.65039
4.414419651,14.14844
5.415017605,14.91895
6.415615559,15.00488
7.413729668,15.68945
8.414326668,14.78418
9.414924145,14.72266
10.415520191,15.21191
11.413634300,16.16504
12.414230347,15.05273
13.414826870,15.26074
14.415432453,15.32129
15.413821697,15.3457
16.414418221,15.06445
17.415014744,15.35742
18.415610790,14.63574
19.413723946,15.58984
20.414320469,15.60254
21.414916992,15.2959
22.415699959,15.61426
23.413813114,15.23535
24.414409638,14.5625
25.415006161,14.64746
26.415601730,14.62305
27.413715363,15.24707
28.414399624,15.1123
29.414996147,15.32031
30.415592194,14.85547
31.413705826,14.78223
32.414302349,14.9043
33.414898396,14.86816
34.415494919,15.05176
35.413608074,14.91699
36.414204598,14.83105
37.414801121,13.9502
38.415397167,15.01465
39.413624287,15.22168
40.414220810,15.6377
41.414816380,15.44238
42.415412426,14.16992
43.413524628,14.31641
44.414120674,14.7207
45.414716244,13.85156
46.415311337,14.14551
47.413512230,14.14551
48.414108276,14.57324
49.414703846,14.18262
50.415298939,15.39258
51.413412094,14.78125
52.414075375,14.63477
53.414670467,14.9043
54.415425301,14.5
55.413538456,15.00195
56.414134026,14.12109
57.414729118,14.73242
58.415325165,14.1084
59.413437367,15.41797
60.414095879,15.01367
61.414729595,14.83008
62.415490151,14.45117
63.413602352,15.51563
64.414266110,14.96484
65.414861202,14.92871
66.415457249,13.3623
67.413569450,14.54883
68.414164543,14.31641
69.414760113,14.63477
70.415356159,14.68359
71.413585186,14.9043
72.414180279,14.95313
73.414775848,14.79395
74.415371895,14.09668
75.413484573,14.80566
76.414080620,14.21875
77.414676190,14.34082
78.415272236,14.8916
79.413384914,14.5127
80.413980007,14.03516
81.414576054,14.57324
82.415171623,14.65918
83.413409233,14.25586
84.414005280,15.0752
85.414600372,14.70801
86.415195465,15.54004
87.413355827,14.84277
