Time (s),W,X,Y,Z
0.014650345,-0.3108763,-0.6240553,0.4047909,0.5887979
0.046928883,-0.31088,-0.6240356,0.4048913,0.5887477
0.081685066,-0.3108794,-0.6240126,0.4049496,0.5887325
0.113963604,-0.310867,-0.6240016,0.4049439,0.5887546
0.148724079,-0.3108459,-0.6240431,0.4048854,0.5887619
0.181002617,-0.3107631,-0.6240952,0.4048296,0.5887888
0.213280678,-0.3107095,-0.624144,0.4047676,0.5888079
0.248041630,-0.3104822,-0.6243014,0.4045753,0.5888929
0.280315399,-0.3104013,-0.6243749,0.404484,0.5889205
0.315076828,-0.3103581,-0.6244061,0.4044629,0.5889247
0.347354412,-0.310189,-0.6244922,0.4044005,0.5889654
0.382114887,-0.3101174,-0.6245087,0.4043545,0.5890173
0.414393425,-0.3098566,-0.6246166,0.4041177,0.5892026
0.446671486,-0.3098633,-0.6245587,0.4041496,0.5892384
0.481428623,-0.3098508,-0.6245525,0.4041146,0.5892754
0.513706207,-0.3097922,-0.6246202,0.4039955,0.5893164
0.548467636,-0.3099215,-0.6245867,0.4039921,0.5892863
0.580745220,-0.3100197,-0.6245698,0.4039789,0.5892614
0.615506649,-0.3100533,-0.6245189,0.4039754,0.5893003
0.647784233,-0.3100998,-0.6244619,0.4039543,0.5893505
0.680058002,-0.3100041,-0.6244619,0.4038609,0.5894648
0.714819431,-0.3097594,-0.6245356,0.4037144,0.5896157
0.747097015,-0.3095949,-0.6245097,0.4037021,0.5897381
0.781858444,-0.3092117,-0.62457,0.4036119,0.5899369
0.814136028,-0.3086275,-0.6247288,0.4033019,0.5902866
0.848897457,-0.3081117,-0.6249121,0.402959,0.5905961
0.881171226,-0.3080322,-0.6248899,0.4028716,0.5907207
0.913449287,-0.3080496,-0.6248686,0.4028943,0.5907185
0.948210239,-0.3081827,-0.6248068,0.4029951,0.5906458
0.980488300,-0.3083643,-0.6247759,0.4030564,0.590542
1.015249252,-0.3085112,-0.6248273,0.4030444,0.5904191
1.047527313,-0.3087315,-0.6248054,0.4031538,0.5902524
1.082284451,-0.309011,-0.6247404,0.4032986,0.5900759
1.114562035,-0.309137,-0.6247506,0.4033122,0.5899898
1.146840096,-0.3091633,-0.6247908,0.4032629,0.5899671
1.181601048,-0.3092752,-0.6247528,0.403303,0.5899212
1.213879108,-0.3093772,-0.6247234,0.4033662,0.5898558
1.248640060,-0.3093831,-0.6247024,0.4034626,0.589809
1.280913830,-0.309314,-0.624733,0.4034269,0.5898373
1.315675259,-0.3091775,-0.6248007,0.4033098,0.5899172
1.347952843,-0.3091734,-0.6247832,0.4033845,0.5898867
1.380231381,-0.309247,-0.6247658,0.4034312,0.5898347
1.414991856,-0.3093272,-0.6247597,0.4034342,0.5897971
1.447269917,-0.3095041,-0.6246844,0.4035178,0.5897269
1.482027054,-0.3095285,-0.6247047,0.4035134,0.5896955
1.514304638,-0.309501,-0.6247259,0.4034833,0.5897081
1.546583176,-0.3094059,-0.6247751,0.4034828,0.5897062
1.581343651,-0.309296,-0.624794,0.4034434,0.5897708
1.613622188,-0.3091828,-0.6248163,0.4034111,0.5898286
1.648382664,-0.3091371,-0.6248103,0.4034169,0.5898549
1.680657387,-0.3091003,-0.6247991,0.4034244,0.5898808
1.715417862,-0.309211,-0.6247266,0.4035127,0.5898393
1.747695446,-0.3092285,-0.6247225,0.4035268,0.5898248
1.779973984,-0.3091496,-0.6247786,0.4034469,0.5898616
1.814734459,-0.3090405,-0.6248497,0.403349,0.5899103
1.847012997,-0.3089674,-0.6249242,0.4032143,0.5899616
1.881769657,-0.3090852,-0.6248758,0.4033051,0.5898892
1.914048195,-0.3091975,-0.6248454,0.4033999,0.5897977
1.948808670,-0.309215,-0.6248496,0.403396,0.5897867
1.981087208,-0.3091534,-0.6248979,0.4034178,0.5897531
2.013364792,-0.3090852,-0.6249141,0.4033866,0.589793
2.048125267,-0.3088349,-0.6250072,0.4033525,0.5898488
2.080399990,-0.3087196,-0.6250345,0.4033211,0.5899016
2.115160465,-0.3086646,-0.6250351,0.4033394,0.5899171
2.147439003,-0.3088679,-0.6249298,0.4035316,0.5897908
2.182199478,-0.3090183,-0.6248814,0.4036353,0.5896925
2.214478016,-0.3090554,-0.6249019,0.4036161,0.5896643
2.246756077,-0.3090691,-0.6249294,0.403579,0.5896534
2.281512261,-0.308961,-0.6249959,0.4035628,0.5896507
2.313790798,-0.308891,-0.6250073,0.4035833,0.5896614
2.348551273,-0.3089043,-0.6249371,0.4036448,0.5896867
2.380829811,-0.3088878,-0.6248677,0.4037279,0.5897118
2.415590286,-0.3088279,-0.6248652,0.403715,0.5897549
2.447868347,-0.3087001,-0.6249142,0.4036933,0.5897847
2.480142593,-0.3085469,-0.6250164,0.4035565,0.5898502
2.514903069,-0.3086409,-0.6249678,0.4036266,0.5898045
2.547181606,-0.3088185,-0.6248845,0.4038126,0.5896724
2.581942081,-0.3088892,-0.6248649,0.4038657,0.5896199
2.614220619,-0.308932,-0.6248319,0.4039557,0.5895708
2.648981094,-0.3089138,-0.6248291,0.4039717,0.5895723
2.681254864,-0.308817,-0.6248525,0.4039014,0.5896462
2.713533401,-0.3088534,-0.6248028,0.4039724,0.5896313
2.748293877,-0.3088464,-0.6247838,0.4039944,0.5896401
2.780572414,-0.3088502,-0.6247648,0.4040021,0.5896528
2.815332890,-0.30875,-0.6248285,0.4038497,0.5897424
2.847610950,-0.3087356,-0.6248428,0.4037915,0.5897745
2.879885197,-0.3088701,-0.6247531,0.4039275,0.5897061
2.914645672,-0.3088134,-0.6247869,0.4038649,0.5897428
2.946924210,-0.3087176,-0.6248524,0.4037753,0.5897849
2.981684685,-0.3088123,-0.624796,0.4038344,0.5897546
3.013963223,-0.3089874,-0.624694,0.4039823,0.5896694
3.048723698,-0.308974,-0.6247087,0.4040095,0.5896425
3.080997944,-0.3088657,-0.6247763,0.4039116,0.5896946
3.113276482,-0.3091179,-0.6246016,0.404199,0.5895506
3.148153305,-0.3092184,-0.624486,0.4043917,0.5894882
3.180431366,-0.3093642,-0.624385,0.4044985,0.5894454
3.215192318,-0.309352,-0.6243858,0.4044856,0.5894599
3.247470379,-0.3093471,-0.6244078,0.4044716,0.5894487
3.282227516,-0.309494,-0.6243529,0.4045227,0.5893945
3.314505100,-0.3096325,-0.6242851,0.4044691,0.5894306
3.346783161,-0.309432,-0.6243628,0.4043484,0.5895364
3.381544113,-0.3094163,-0.6242943,0.4043057,0.5896462
3.413822174,-0.309174,-0.624319,0.4043199,0.5897377
3.448583126,-0.3088642,-0.6244034,0.4043227,0.5898086
3.515618324,-0.3081358,-0.6245613,0.4044172,0.5899575
3.547895908,-0.3076423,-0.6247382,0.4039227,0.5903665
3.580173969,-0.3076291,-0.6247884,0.4037872,0.590413
3.614934921,-0.3078271,-0.6247979,0.4036667,0.5903821
3.647212982,-0.3084009,-0.6246971,0.4037579,0.5901266
3.681970119,-0.3088596,-0.6246563,0.4038681,0.5898547
3.714248180,-0.3090158,-0.6246898,0.4038799,0.5897295
3.749009132,-0.3091623,-0.6246208,0.4040213,0.5896287
3.781287193,-0.3088358,-0.6247973,0.4038295,0.5897442
3.813564777,-0.3085162,-0.6249763,0.4035383,0.5899212
3.848326206,-0.308542,-0.6250065,0.4034394,0.5899434
3.880599976,-0.3085229,-0.6250563,0.4033817,0.5899399
3.915360928,-0.3085856,-0.6250991,0.4034008,0.5898488
3.947638988,-0.308661,-0.6251081,0.4035365,0.5897069
3.982399464,-0.3085987,-0.6251569,0.4035023,0.5897112
4.014678001,-0.3085202,-0.6252081,0.4034701,0.5897201
4.046955585,-0.3083714,-0.625304,0.4033507,0.5897778
4.081712246,-0.3083084,-0.6253272,0.4033037,0.5898184
4.113990784,-0.3083121,-0.6253147,0.4033611,0.5897904
4.148751259,-0.3080519,-0.6254427,0.4031954,0.5899038
4.181029797,-0.3079117,-0.6254902,0.4031096,0.5899853
4.213307381,-0.3077252,-0.6255856,0.4029998,0.5900564
4.248067856,-0.3074418,-0.6257237,0.4027575,0.5902232
4.280342579,-0.3075786,-0.6256649,0.4027983,0.5901866
4.315103054,-0.3074767,-0.6257727,0.4028714,0.5900753
4.347381592,-0.3078824,-0.6256284,0.4029606,0.589956
4.382142067,-0.3079123,-0.6256546,0.4031376,0.5897917
4.414419651,-0.3075411,-0.6258866,0.4029559,0.5898632
4.446698189,-0.3073498,-0.6260148,0.4028598,0.5898927
4.481454849,-0.3072218,-0.6260051,0.4028349,0.5899867
4.513732910,-0.30688,-0.6261948,0.4025054,0.590188
4.548493862,-0.306936,-0.6262743,0.4025324,0.590056
4.580771923,-0.3071783,-0.6262374,0.4026468,0.589891
4.615532875,-0.3075727,-0.6261749,0.4029883,0.5895187
4.647810936,-0.3073494,-0.6264348,0.4030452,0.58932
4.680084705,-0.3072322,-0.6265642,0.4030389,0.5892479
4.714845657,-0.3070155,-0.6267111,0.4031473,0.5891305
4.747123718,-0.3066897,-0.626843,0.4032467,0.5890918
4.781884670,-0.3065424,-0.6268231,0.40341,0.5890778
4.814162731,-0.3060885,-0.6271498,0.4037272,0.5887488
4.848923683,-0.3062655,-0.6272684,0.4040123,0.5883347
4.881197453,-0.305841,-0.6277071,0.4038705,0.588185
4.913475513,-0.3055593,-0.6278813,0.4043652,0.5878053
4.948236465,-0.3058605,-0.6279506,0.4048072,0.5872701
