Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.014650345,-0.5419509,0.00963214,0.08218081,-1.000323,0.08923954,-0.1137427,28.52981,-19.99119,-5.83478,1008.354
0.046928883,-0.1081353,-0.1664762,-0.0397006,-1.003705,0.08630827,-0.1190699,28.15571,-20.35735,-6.260375,1008.354
0.081685066,-0.35603,0.06833492,0.3259436,-1.000311,0.0834242,-0.116193,28.15571,-20.35735,-6.260375,1008.354
0.113963604,0.2637066,-0.225179,0.02124011,-1.006121,0.08581907,-0.118584,28.14372,-20.36299,-6.696102,1008.354
0.148724079,-0.35603,0.1857405,-0.1006413,-1.000321,0.08777956,-0.1161682,28.4567,-19.63164,-6.274203,1008.35
0.181002617,0.1397593,-0.225179,0.2650029,-0.9998254,0.08392261,-0.1123237,28.50518,-19.63794,-6.710849,1008.35
0.213280678,0.07778566,0.1857405,-0.1006413,-1.000793,0.08294217,-0.1152278,28.50518,-19.63794,-6.710849,1008.35
0.248041630,-0.04616167,-0.1664762,0.02124011,-0.9969293,0.08390961,-0.1186147,29.18159,-19.2751,-6.28985,1008.348
0.280315399,-0.04616167,0.00963214,0.2040622,-1.005638,0.08679649,-0.1161623,28.8208,-20.36466,-6.270487,1008.348
0.315076828,-0.7278719,0.00963214,0.08218081,-1.001283,0.085846,-0.1147268,28.8208,-20.36466,-6.270487,1008.348
0.347354412,0.1397593,-0.1664762,0.1431215,-0.9993466,0.08585972,-0.1123137,28.43576,-20.37114,-7.074179,1008.35
0.382114887,-0.170109,0.1857405,0.3259436,-1.00418,0.08292102,-0.1186047,28.81948,-19.63563,-6.279718,1008.344
0.414393425,-0.9757665,-0.2838818,0.2650029,-1.002243,0.08196361,-0.117164,28.81948,-19.63563,-6.279718,1008.344
0.446671486,0.01581199,0.1270377,0.1431215,-0.9998309,0.08487736,-0.1161857,28.15571,-20.35735,-6.260375,1008.344
0.481428623,-0.6039246,-0.04907064,0.02124011,-1.000319,0.08778939,-0.1132675,28.44604,-20.36631,-6.700698,1008.344
0.513706207,-0.170109,-0.04907064,-0.1006413,-1.004191,0.08678425,-0.1209999,28.44604,-20.36631,-6.700698,1008.342
0.548467636,0.573575,0.06833492,-0.0397006,-0.998855,0.08198475,-0.1137871,28.0826,-19.99781,-6.699799,1008.342
0.580745220,0.201733,-0.4012873,-0.1006413,-1.007567,0.08339199,-0.1195616,28.51716,-19.63231,-6.275123,1008.344
0.615506649,-0.1081353,-0.1664762,0.2040622,-0.9978984,0.08780776,-0.1098885,28.51716,-19.63231,-6.275123,1008.344
0.647784233,-0.35603,-0.5186929,0.02124011,-1.001292,0.08923022,-0.1156744,28.45736,-19.99616,-6.269588,1008.344
0.680058002,-0.6658983,0.00963214,0.2650029,-1.00079,0.08148547,-0.1166864,27.77962,-19.62997,-6.699819,1008.344
0.714819431,-0.35603,-0.3425845,0.3868843,-1.001775,0.08776394,-0.1195492,27.77962,-19.62997,-6.699819,1008.344
0.747097015,-0.4180036,-0.225179,0.5087658,-1.001773,0.08826098,-0.1156789,28.44538,-20.00179,-6.705314,1008.342
0.781858444,-1.71945,0.06833492,0.6306472,-1.000805,0.08973026,-0.1113217,29.54569,-20.00813,-6.286134,1008.342
0.814136028,-4.75616,-0.3425845,0.1431215,-1.006146,0.09744481,-0.1151338,29.54569,-20.00813,-6.286134,1008.342
0.848897457,-1.71945,0.06833492,0.3259436,-1.0037,0.08486467,-0.1166609,28.8208,-20.36466,-6.270487,1008.342
0.881171226,-0.8518192,-0.225179,0.2040622,-1.003216,0.08681978,-0.111333,28.08326,-20.36232,-6.695183,1008.343
0.913449287,0.1397593,0.00963214,0.02124011,-1.000805,0.08826538,-0.1151975,28.08326,-20.36232,-6.695183,1008.345
0.948210239,0.6975223,-0.4012873,0.02124011,-0.9993502,0.08828755,-0.1098827,28.4567,-19.63164,-6.274203,1008.345
0.980488300,0.6355487,0.2444432,-0.2225227,-1.000328,0.0892166,-0.1205109,28.44471,-19.63728,-6.70993,1008.345
1.015249252,0.9454169,0.00963214,-0.588167,-0.9993494,0.08487056,-0.118604,28.44471,-19.63728,-6.70993,1008.347
1.047527313,0.8834432,0.00963214,-0.2225227,-1.00323,0.08969551,-0.1195351,28.4567,-19.63164,-6.274203,1008.349
1.082284451,0.8214696,0.06833492,-0.3444041,-0.9993516,0.08730494,-0.1142392,28.44604,-20.36631,-6.700698,1008.343
1.114562035,0.201733,-0.04907064,-0.2834634,-1.00226,0.09020021,-0.1142165,28.44604,-20.36631,-6.700698,1008.343
1.146840096,0.2637066,0.1270377,-0.1006413,-1.003705,0.08777316,-0.115194,28.50584,-20.00246,-6.706234,1008.343
1.181601048,0.8214696,-0.4012873,-0.0397006,-1.006135,0.09260553,-0.1151613,28.4567,-19.63164,-6.274203,1008.343
1.213879108,0.1397593,-0.04907064,-0.161582,-1.001287,0.08827382,-0.1122958,28.15505,-19.99284,-6.264991,1008.344
1.248640060,0.2637066,-0.3425845,0.1431215,-1.003219,0.08631784,-0.1166537,28.15505,-19.99284,-6.264991,1008.344
1.280913830,-0.7278719,0.1857405,0.2040622,-1.001769,0.08583315,-0.1181099,28.1424,-19.63396,-6.705334,1008.342
1.315675259,-0.2320827,-0.1077734,-0.161582,-1.002735,0.08388156,-0.1219864,28.8208,-20.36466,-6.270487,1008.342
1.347952843,-0.1081353,-0.225179,-0.0397006,-1.003717,0.08967774,-0.1243685,28.8208,-20.36466,-6.270487,1008.342
1.380231381,0.201733,0.06833492,-0.1006413,-0.9993432,0.08440793,-0.1123219,28.81948,-19.63563,-6.279718,1008.344
1.414991856,0.387654,-0.1077734,-0.1006413,-1.002743,0.08922116,-0.1171216,28.15505,-19.99284,-6.264991,1008.344
1.447269917,0.3256803,-0.04907064,-0.1006413,-1.002253,0.08533964,-0.1205288,28.15505,-19.99284,-6.264991,1008.346
1.482027054,0.201733,-0.2838818,-0.0397006,-1.002737,0.08778247,-0.1132623,28.44538,-20.00179,-6.705314,1008.341
1.514304638,-0.04616167,-0.04907064,0.02124011,-1.003704,0.08729087,-0.1147134,28.51716,-19.63231,-6.275123,1008.341
1.546583176,-0.35603,0.06833492,0.08218081,-1.005157,0.085812,-0.1214868,28.51716,-19.63231,-6.275123,1008.341
1.581343651,-0.2940563,0.06833492,0.5087658,-1.003709,0.08677909,-0.1229347,28.14306,-19.99847,-6.700718,1008.341
1.613622188,-0.35603,0.1270377,0.02124011,-1.007088,0.08826215,-0.110833,29.18291,-20.00414,-6.280619,1008.341
1.648382664,-0.4799773,0.1270377,0.1431215,-0.9969326,0.08780561,-0.111341,29.18291,-20.00414,-6.280619,1008.343
1.680657387,-0.2320827,-0.225179,-0.0397006,-1.002731,0.08487399,-0.1147292,28.15505,-19.99284,-6.264991,1008.343
1.715417862,0.01581199,0.00963214,0.1431215,-1.003718,0.09114263,-0.1204927,28.15505,-19.99284,-6.264991,1008.345
1.747695446,-0.2320827,-0.04907064,-0.0397006,-0.9983748,0.08392676,-0.1123268,28.15505,-19.99284,-6.264991,1008.345
1.779973984,-0.1081353,0.1270377,0.1431215,-1.002744,0.08970836,-0.116152,28.44471,-19.63728,-6.70993,1008.346
1.814734459,-0.2320827,0.06833492,0.08218081,-0.998863,0.08537225,-0.1137678,28.13279,-20.0033,-7.074198,1008.346
1.847012997,-0.04616167,0.1270377,0.02124011,-1.00129,0.08679254,-0.1210061,28.13279,-20.0033,-7.074198,1008.346
1.881769657,0.387654,-0.225179,-0.161582,-0.9998386,0.08728882,-0.1185892,27.78161,-20.72351,-6.685971,1008.348
1.914048195,-0.1081353,0.1857405,-0.1006413,-1.005646,0.09018235,-0.1166265,28.15505,-19.99284,-6.264991,1008.35
1.948808670,-0.2320827,0.06833492,0.1431215,-0.9988676,0.08779681,-0.1123037,28.15505,-19.99284,-6.264991,1008.35
1.981087208,0.07778566,0.00963214,0.1431215,-1.003231,0.09164432,-0.1156565,28.14306,-19.99847,-6.700718,1008.348
2.013364792,-0.4799773,0.06833492,0.3868843,-1.001281,0.08780627,-0.1074641,28.81948,-19.63563,-6.279718,1008.348
2.048125267,-0.5419509,-0.04907064,0.447825,-1.003225,0.08922633,-0.1151868,28.81948,-19.63563,-6.279718,1008.342
2.080399990,-0.4180036,-0.1077734,0.1431215,-0.9998388,0.08875372,-0.1147134,28.15372,-19.26381,-6.274223,1008.341
2.115160465,-0.4180036,0.1270377,0.08218081,-1.00225,0.08535274,-0.1166613,28.53047,-20.35571,-5.830164,1008.341
2.147439003,0.4496276,0.00963214,0.08218081,-1.003235,0.09162958,-0.1200075,28.15505,-19.99284,-6.264991,1008.342
2.182199478,0.01581199,0.1857405,0.02124011,-1.000803,0.08680867,-0.1166561,28.15505,-19.99284,-6.264991,1008.338
2.214478016,0.2637066,0.06833492,-0.161582,-1.002261,0.08970482,-0.1176034,28.1424,-19.63396,-6.705334,1008.338
2.246756077,0.2637066,0.00963214,0.02124011,-0.996914,0.07957555,-0.1123547,28.15372,-19.26381,-6.274223,1008.338
2.281512261,-0.04616167,-0.04907064,0.2650029,-1.003701,0.08681185,-0.1132658,28.15372,-19.26381,-6.274223,1008.338
2.313790798,-0.6039246,0.1270377,0.2650029,-1.0008,0.08437756,-0.120054,28.15571,-20.35735,-6.260375,1008.338
2.348551273,-0.35603,-0.225179,0.1431215,-0.9998333,0.0882878,-0.1093982,28.15571,-20.35735,-6.260375,1008.338
2.380829811,-0.35603,-0.225179,0.3868843,-1.001762,0.08390889,-0.1147368,28.15571,-20.35735,-6.260375,1008.338
2.415590286,-0.2940563,-0.1077734,0.2650029,-1.002737,0.08875688,-0.111323,27.78028,-19.99448,-6.695202,1008.338
2.447868347,-0.170109,0.06833492,0.2040622,-1.001302,0.0916302,-0.121462,28.44471,-19.63728,-6.70993,1008.34
2.480142593,-0.35603,0.1270377,0.1431215,-1.002264,0.09164709,-0.1156586,28.44471,-19.63728,-6.70993,1008.336
2.514903069,0.3256803,-0.1077734,-0.0397006,-1.002246,0.08439144,-0.114733,27.79293,-20.35336,-6.25486,1008.334
2.547181606,0.2637066,0.00963214,0.2650029,-0.9993666,0.09164064,-0.1200158,27.78095,-20.359,-6.690587,1008.334
2.581942081,0.01581199,-0.1664762,-0.2225227,-1.005632,0.08339916,-0.1190823,27.78095,-20.359,-6.690587,1008.334
2.614220619,0.201733,-0.1077734,0.08218081,-0.9979088,0.09069658,-0.114223,28.45802,-20.36068,-6.264972,1008.334
2.648981094,-0.170109,-0.1664762,0.3868843,-0.9988718,0.08875648,-0.1147154,29.18159,-19.2751,-6.28985,1008.334
2.681254864,0.07778566,-0.1664762,0.08218081,-0.9988695,0.08778862,-0.1147209,29.18159,-19.2751,-6.28985,1008.334
2.713533401,-0.2940563,-0.1077734,0.02124011,-0.9998338,0.08730847,-0.1127878,28.15571,-20.35735,-6.260375,1008.334
2.748293877,-0.35603,-0.1077734,-0.161582,-1.004204,0.09504053,-0.112251,28.51782,-19.99682,-6.270507,1008.332
2.780572414,-0.170109,0.06833492,0.1431215,-1.002258,0.0882514,-0.1180951,28.51782,-19.99682,-6.270507,1008.332
2.815332890,-0.1081353,-0.2838818,0.02124011,-0.9988762,0.08776077,-0.1229396,28.14174,-19.26944,-6.709949,1008.332
2.847610950,0.201733,0.2444432,0.2650029,-1.003216,0.08731026,-0.1093965,27.42949,-19.98486,-6.25396,1008.332
2.879885197,-0.1081353,-0.225179,-0.161582,-1.003219,0.08680995,-0.1142337,27.42949,-19.98486,-6.25396,1008.332
2.914645672,-0.7278719,-0.04907064,0.08218081,-0.9998498,0.09017436,-0.1238906,28.5065,-20.36697,-6.701618,1008.326
2.946924210,-0.170109,-0.2838818,0.1431215,-1.003225,0.0862949,-0.1234219,28.08326,-20.36232,-6.695183,1008.326
2.981684685,0.201733,-0.1077734,0.02124011,-1.00564,0.08727551,-0.1176099,28.08326,-20.36232,-6.695183,1008.326
3.013963223,-0.1081353,0.00963214,-0.161582,-1.000336,0.09309459,-0.1185551,28.83278,-20.35903,-5.83476,1008.326
3.048723698,0.07778566,0.00963214,0.02124011,-1.005154,0.08630903,-0.1176164,28.13279,-20.0033,-7.074198,1008.328
3.080997944,0.01581199,0.4205516,0.08218081,-0.999351,0.08877312,-0.1093965,28.13279,-20.0033,-7.074198,1008.328
3.113276482,-0.35603,-0.2838818,-0.1006413,-1.006622,0.09258777,-0.1199948,27.45412,-20.3381,-5.377891,1008.325
3.148153305,-0.4180036,0.303146,0.2650029,-1.003224,0.0887424,-0.1151896,28.15637,-20.72187,-6.255759,1008.325
3.180431366,0.01581199,-0.2838818,-0.1006413,-0.9998446,0.09019566,-0.1176058,28.51782,-19.99682,-6.270507,1008.327
3.215192318,-0.4180036,-0.225179,0.02124011,-1.007092,0.0862904,-0.1214799,28.51782,-19.99682,-6.270507,1008.327
3.247470379,-0.2320827,0.1270377,0.08218081,-1.001292,0.08825089,-0.119064,28.51849,-20.36134,-6.265891,1008.327
3.282227516,0.201733,-0.2838818,-0.2834634,-1.001777,0.08873344,-0.1190602,28.45736,-19.99616,-6.269588,1008.329
3.314505100,-0.6658983,-0.4012873,-0.1006413,-0.9998319,0.08731666,-0.1103706,28.45736,-19.99616,-6.269588,1008.325
