Time (s),W,X,Y,Z
0.005370617,-0.5577895,-0.1496584,0.191924,-0.7913697
0.037539482,-0.5577169,-0.1496717,0.1920789,-0.7913809
0.072185993,-0.5577268,-0.1497913,0.1922884,-0.7913003
0.104358673,-0.5577947,-0.1497185,0.1922323,-0.7912798
0.136530399,-0.5577784,-0.1494805,0.1920713,-0.7913755
0.171177387,-0.557929,-0.1493897,0.1919236,-0.7913223
0.203350067,-0.558135,-0.1492936,0.1917334,-0.7912413
0.237992764,-0.5581979,-0.1492797,0.1918449,-0.7911724
0.270165443,-0.5581929,-0.1493824,0.1921026,-0.7910941
0.304812431,-0.5581532,-0.1493796,0.1923048,-0.7910735
0.336984158,-0.5581827,-0.1492314,0.1921594,-0.7911161
0.371631622,-0.5582132,-0.1489749,0.1918118,-0.7912272
0.403803349,-0.5581481,-0.1487546,0.1916439,-0.7913551
0.438446522,-0.5578589,-0.1482283,0.1914043,-0.7917157
0.470619202,-0.5581126,-0.1474797,0.1905236,-0.7918893
0.505265713,-0.5583878,-0.1464417,0.1892187,-0.7922006
0.537438393,-0.5585259,-0.1457313,0.1882333,-0.7924691
0.572084904,-0.5586759,-0.1455341,0.1875584,-0.7925594
0.604257107,-0.5587763,-0.1456683,0.1872051,-0.7925477
0.638900757,-0.5588712,-0.1462407,0.1867014,-0.7924942
0.671072483,-0.5589435,-0.1469662,0.1860113,-0.7924713
0.703245163,-0.559071,-0.1476508,0.1856378,-0.7923416
0.737891674,-0.5588055,-0.1486302,0.1856356,-0.7923462
0.770063877,-0.5587624,-0.1491165,0.1849414,-0.7924475
0.804711342,-0.5588993,-0.1486121,0.1835027,-0.7927802
0.836879253,-0.5590555,-0.1473766,0.1816379,-0.79333
0.871526241,-0.5591417,-0.1452631,0.1786811,-0.7943298
0.903698444,-0.5587407,-0.1426532,0.1739584,-0.7961314
0.938345432,-0.558412,-0.1379566,0.1665783,-0.7987637
0.970518112,-0.5574886,-0.1333242,0.1575873,-0.8020132
1.005164623,-0.5564652,-0.1248068,0.1407736,-0.8072053
1.037333012,-0.5555993,-0.1120863,0.1180629,-0.8132864
1.071980476,-0.554951,-0.09408433,0.08849226,-0.8197403
1.104152203,-0.5529536,-0.07973422,0.06365902,-0.8248999
