Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.005370617,-0.1430444,0.2820193,0.1977721,0.0243014,-0.4679539,0.8779482,-6.98708,42.52106,-47.30352,1008.11
0.037539482,-1.310222,0.04527921,0.07519802,0.0193713,-0.4723274,0.8741022,-6.98708,42.52106,-47.30352,1008.11
0.072185993,-0.2044748,0.04527921,-0.1699501,0.02420009,-0.4728818,0.8682686,-6.603104,42.90251,-46.86103,1008.108
0.104358673,0.348399,0.3412043,0.07519802,0.02374654,-0.4704302,0.871185,-6.992343,43.27765,-47.75352,1008.11
0.136530399,1.269855,0.1636492,0.07519802,0.02232732,-0.469415,0.8760266,-6.992343,43.27765,-47.75352,1008.11
0.171177387,0.8398423,0.1636492,-0.2312371,0.02330323,-0.46942,0.8760175,-6.602846,43.28364,-46.86289,1008.11
0.203350067,0.655551,0.3412043,0.07519802,0.02432172,-0.4679355,0.8803582,-6.986565,43.28333,-47.30724,1008.11
0.237992764,-1.248792,0.2228343,-0.1699501,0.02422251,-0.4743121,0.8716306,-6.986565,43.28333,-47.30724,1008.11
0.270165443,-0.8802093,0.3412043,0.1977721,0.02667858,-0.4752767,0.8740097,-6.986565,43.28333,-47.30724,1008.11
0.304812431,0.1026773,0.2228343,0.01391099,0.0227303,-0.4762648,0.8692184,-6.603361,42.52138,-46.85917,1008.111
0.336984158,1.577007,0.1044642,-0.108663,0.02425094,-0.4742862,0.8750045,-6.603361,42.52138,-46.85917,1008.111
0.371631622,1.208425,0.1636492,-0.2312371,0.02570232,-0.4685021,0.8707007,-6.986565,43.28333,-47.30724,1008.111
0.403803349,0.8398423,0.5187593,0.07519802,0.02272805,-0.4719147,0.8668443,-7.365019,42.52643,-47.30158,1008.111
0.438446522,3.358489,0.5779443,0.01391099,0.02178905,-0.4786462,0.8745096,-7.365019,42.52643,-47.30158,1008.111
0.470619202,5.692845,0.5779443,-0.04737603,0.01788703,-0.4704043,0.8707579,-6.602846,43.28364,-46.86289,1008.113
0.505265713,5.078541,0.4003893,-0.2925241,0.01948001,-0.4528858,0.8776355,-6.9926,42.89651,-47.75166,1008.115
0.537438393,3.235628,-0.1322758,-0.4150982,0.01848575,-0.4514469,0.8747646,-6.9926,42.89651,-47.75166,1008.115
0.572084904,1.024133,-0.4873859,-0.6602463,0.01993522,-0.4480824,0.8714048,-6.61466,42.89114,-47.75359,1008.115
0.604257107,0.7784118,-1.493531,-0.6602463,0.01801209,-0.4528821,0.8771672,-6.608882,42.89683,-47.30731,1008.115
0.638900757,1.331286,-4.216042,-0.8441073,0.01949861,-0.4591553,0.8828856,-7.37054,42.90188,-47.74973,1008.115
0.671072483,-0.5730572,-2.558861,-0.7215333,0.02335335,-0.456318,0.8756431,-7.37054,42.90188,-47.74973,1008.115
0.703245163,-2.53883,-1.730271,-0.5989593,0.02979611,-0.4528747,0.8857333,-6.993114,42.13425,-47.74794,1008.117
0.737891674,-0.2044748,-3.624192,-1.456978,0.03113497,-0.4713714,0.8797843,-7.364761,42.90757,-47.30344,1008.117
0.770063877,4.034224,-1.611901,-0.7828203,0.03203393,-0.4762819,0.8729874,-7.364761,42.90757,-47.30344,1008.117
0.804711342,5.938567,-0.2506458,-0.7828203,0.02910396,-0.4719171,0.8706408,-7.365275,42.1453,-47.29972,1008.118
0.836879253,10.05441,0.4003893,-1.150542,0.03842379,-0.4709524,0.8758637,-7.370797,42.52075,-47.74786,1008.115
0.871526241,16.87318,-0.4873859,-2.314996,0.02768498,-0.4757374,0.8778525,-7.370797,42.52075,-47.74786,1008.115
0.903698444,20.43614,3.24127,-4.643903,0.01036391,-0.4971491,0.8595217,-7.748736,42.52612,-47.74593,1008.115
0.938345432,31.18647,-1.848641,-6.605087,0.02359989,-0.4309482,0.8927199,-7.765501,42.12874,-49.01916,1008.115
0.970518112,51.64279,-9.897803,-11.87577,0.04526636,-0.4917701,0.8871963,-7.765501,42.12874,-49.01916,1008.115
1.005164623,81.19083,-8.003882,-17.02388,0.04415433,-0.4914054,0.8708217,-8.155769,40.97934,-49.9042,1008.115
1.037333012,109.4488,-4.393597,-19.96566,0.06147942,-0.4288868,0.8697295,-8.558107,39.0563,-51.67809,1008.115
1.071980476,96.91701,-3.328267,-24.43961,0.02353034,-0.2464002,0.9694338,-8.558107,39.0563,-51.67809,1008.115
1.104152203,108.6502,0.3412043,-22.17199,0.0677375,-0.1820421,0.9724439,-8.95962,37.13407,-53.38822,1008.115
1.138799191,78.05787,1.11061,-18.73992,0.1042318,-0.02571793,1.000384,-10.12542,32.54815,-55.59149,1008.115
1.170971394,50.22989,1.9392,-14.87884,0.06221744,0.03727449,1.022503,-10.12542,32.54815,-55.59149,1008.113
1.203143597,28.85211,-0.2506458,-14.51111,0.06299137,-0.05717271,0.9860496,-10.15033,29.85748,-57.36359,1008.113
1.237786770,38.37382,0.5187593,-11.44676,0.06223639,-0.007642827,0.9883929,-11.29147,27.58109,-57.7929,1008.113
1.269958973,28.17638,0.9330544,-12.48864,0.056927,-0.03174138,1.007042,-11.29147,27.58109,-57.7929,1008.113
1.304605961,26.45633,-0.1322758,-8.81142,0.08217692,0.003802313,0.9748053,-11.29828,26.05088,-58.23174,1008.113
1.336778164,16.75032,-0.6057559,-5.011625,0.08357019,0.0655902,0.9945816,-11.66543,24.92421,-57.33167,1008.113
1.371425152,10.853,0.1636492,-1.8247,0.07007424,0.06194218,1.016367,-11.66543,24.92421,-57.33167,1008.113
1.403597832,0.4712598,-0.960866,-0.5989593,0.07458199,0.02289396,0.9909395,-11.67694,23.77025,-58.15488,1008.111
1.438240051,0.04124688,-0.5465709,1.300938,0.07451156,0.009773543,0.9889039,-10.54363,22.99188,-58.15697,1008.111
1.470412731,1.085564,-0.3098308,2.404105,0.07117292,0.01276224,0.9966717,-10.54363,22.99188,-58.15697,1008.111
1.505059242,-5.364629,-0.5465709,2.894401,0.07467087,0.03264617,0.996803,-11.66646,23.39968,-57.32422,1008.111
1.537231922,-11.01623,0.4595743,3.752419,0.07708852,0.02826163,0.9962623,-10.92188,23.75871,-58.22251,1008.111
1.571878910,-19.55505,1.169795,3.445984,0.06184525,0.005987609,0.993329,-10.92188,23.75871,-58.22251,1008.111
1.604051113,-19.67792,1.524905,2.587966,0.07093352,-0.03339451,0.9905095,-11.30008,23.38294,-58.21871,1008.111
1.638694286,-22.0737,3.83312,3.93628,0.08230927,-0.002363725,0.9935512,-10.92137,24.52098,-58.22623,1008.111
1.670866012,-39.76566,8.331181,9.69726,0.09389794,0.07625045,0.9989111,-10.92137,24.52098,-58.22623,1008.111
1.705513477,-81.72263,12.82924,16.19369,0.08005098,0.09594075,1.025713,-10.9206,25.66438,-58.23181,1008.111
1.737685680,-134.3685,14.13131,19.62576,0.03725586,0.01218534,1.025903,-11.28043,26.8302,-56.89662,1008.109
1.769857883,-164.5308,10.69858,19.38061,0.02165511,-0.1627006,0.9961693,-11.28043,26.8302,-56.89662,1008.109
1.804504871,-177.4926,5.60867,12.70032,0.002049436,-0.4463874,0.8908657,-10.12696,30.26135,-55.58033,1008.109
1.836672783,-106.7862,1.880015,10.12627,-0.007803597,-0.5396777,0.8087306,-8.943884,36.00691,-52.10755,1008.109
1.871319771,-58.0105,-3.683377,3.691133,0.03719839,-0.6616259,0.8222473,-8.122184,40.6315,-47.28841,1008.107
1.903492451,-3.398856,-0.0139058,3.139549,0.03185511,-0.6185392,0.8043364,-8.122184,40.6315,-47.28841,1008.107
1.938138962,35.11801,-0.07309081,0.3203461,0.01675373,-0.5628669,0.8386762,-8.11409,44.06739,-46.85888,1008.107
1.970311642,49.24701,0.3412043,-0.6602463,0.02272691,-0.4177933,0.8986205,-8.119868,44.0617,-47.30516,1008.107
2.004958630,35.79374,0.9330544,-1.027968,0.02378225,-0.3500637,0.933391,-8.119868,44.0617,-47.30516,1008.107
2.037126541,10.73014,1.58409,-1.089255,0.02303085,-0.3309955,0.9509071,-7.758952,43.27782,-48.57846,1008.109
2.071774006,-5.180338,0.8738694,-0.9666814,0.02424391,-0.3525079,0.9314385,-8.143955,41.37184,-49.0135,1008.109
2.103945732,-11.01623,0.2228343,-0.4150982,0.01804937,-0.3953409,0.9118632,-8.143955,41.37184,-49.0135,1008.109
2.138593197,-3.95173,-1.079236,-0.04737603,0.02417227,-0.4134654,0.8943047,-8.143955,41.37184,-49.0135,1008.107
2.170764923,5.078541,-1.020051,0.3203461,0.01977099,-0.4226399,0.897644,-8.13792,41.75866,-48.56908,1008.107
2.205411911,7.535758,-0.960866,-0.3538111,0.02182369,-0.4090181,0.9030392,-8.13792,41.75866,-48.56908,1008.107
2.237580776,8.088632,-0.5465709,-0.6602463,0.02634454,-0.3944156,0.9113114,-7.765759,41.7476,-49.0173,1008.107
2.272227287,6.982884,-0.2506458,-0.6602463,0.02545145,-0.3851475,0.9166981,-7.760496,40.99102,-48.5673,1008.107
2.304399967,5.447124,0.1636492,-0.4763852,0.02307658,-0.3831419,0.9234848,-7.760496,40.99102,-48.5673,1008.106
2.336571693,2.805616,-0.1322758,-0.2312371,0.02552639,-0.3807273,0.9234819,-8.155255,41.7416,-49.90792,1008.106
2.371218681,0.9627031,0.04527921,-0.2925241,0.02500006,-0.3851118,0.9210407,-8.539487,40.97902,-50.34855,1008.104
2.403391361,-0.388766,-0.07309081,0.07519802,0.02548571,-0.3797971,0.918188,-8.539487,40.97902,-50.34855,1008.104
2.438034058,-0.7573485,-0.07309081,0.3203461,0.02841804,-0.3904462,0.9238567,-7.771794,41.36079,-49.46172,1008.102
2.470206261,0.7169814,0.4003893,0.07519802,0.02293478,-0.391008,0.9104073,-8.149734,41.36616,-49.45978,1008.098
2.504853726,2.129881,0.2820193,-0.108663,0.0239615,-0.3914503,0.9166601,-8.149734,41.36616,-49.45978,1008.098
2.537025452,3.972794,0.2228343,-0.3538111,0.0220157,-0.3899843,0.9166903,-7.778087,40.59283,-49.90427,1008.098
2.571672916,2.314172,0.2228343,-0.2312371,0.02115653,-0.3685961,0.9202486,-8.149734,41.36616,-49.45978,1008.1
2.603844643,1.94559,0.2228343,-0.1699501,0.02211242,-0.3744221,0.9206738,-8.149734,41.36616,-49.45978,1008.098
2.638487816,0.4098293,0.1044642,0.1977721,0.02457842,-0.3710256,0.9221247,-7.783864,40.58715,-50.35056,1008.1
