Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.104358673,43.828,32.542
1.104152203,43.816,32.542
2.103945732,43.84,32.542
3.103739262,43.786,32.542
4.103613853,43.8,32.54
5.103407383,43.798,32.54
6.105675697,43.818,32.54
7.105469704,43.82,32.54
8.105263233,43.85,32.54
9.105056763,43.8,32.54
10.104849815,43.812,32.54
11.104643345,43.818,32.54
12.104437351,43.812,32.54
13.104231358,43.82,32.54
14.104025364,43.794,32.542
15.103889465,43.802,32.542
16.103682995,43.798,32.542
17.103477478,43.828,32.542
18.103354931,43.812,32.542
19.103148937,43.822,32.544
20.105437279,43.812,32.544
21.105231285,43.812,32.544
22.105025768,43.822,32.544
23.105017662,43.856,32.544
24.104811668,43.838,32.542
25.104606152,43.864,32.542
26.104400635,43.844,32.542
27.104194641,43.796,32.542
28.104043961,43.87,32.542
29.103837967,43.782,32.542
30.103631973,43.854,32.542
31.103425980,43.804,32.542
32.103219986,43.83,32.542
33.103166103,43.848,32.54
34.105434418,43.804,32.54
35.105227947,43.804,32.54
36.105021954,43.812,32.54
37.104815006,43.796,32.54
38.104608536,43.806,32.538
39.104401588,43.802,32.538
40.104194641,43.834,32.538
41.103987694,43.8,32.536
42.103780270,43.746,32.536
43.103573322,43.748,32.534
44.103466988,43.758,32.532
45.103259563,43.78,32.532
46.103051662,43.774,32.532
47.105319500,43.732,32.532
48.105111599,43.782,32.532
49.104904175,43.764,32.53
50.104695797,43.77,32.53
51.104488373,43.788,32.528
52.104279995,43.814,32.526
53.104072094,43.774,32.526
54.103863239,43.742,32.526
55.103969574,43.706,32.526
56.103761196,43.788,32.526
57.103552341,43.738,32.526
58.103343964,43.79,32.526
59.103134632,43.714,32.526
60.105431080,43.768,32.524
61.105322838,43.75,32.524
62.105113983,43.724,32.522
63.104917526,43.716,32.524
64.104763031,43.704,32.522
65.104553700,43.716,32.514
66.104343891,43.686,32.512
67.104134083,43.702,32.512
68.103924274,43.704,32.514
69.103714943,43.692,32.514
70.103505135,43.682,32.514
71.103294849,43.676,32.514
72.103085041,43.648,32.514
73.102874756,43.688,32.512
74.105139256,43.694,32.512
75.104958057,43.658,32.512
76.104747772,43.666,32.512
77.104594231,43.696,32.51
78.104573727,43.656,32.51
79.104362965,43.65,32.51
80.104151726,43.648,32.508
81.103940964,43.642,32.508
82.103729725,43.606,32.508
83.103518009,43.728,32.506
84.103306294,43.63,32.504
85.103095531,43.628,32.504
86.102927685,43.634,32.504
87.105246067,43.656,32.502
