Time (s),Humidity (%)
0.276321888,17.64746
1.277063370,17.10449
2.277804375,18.11719
3.276062012,17.80859
4.276803970,17.27832
5.277544975,17.25293
6.278286457,17.90723
7.276545048,17.2168
8.277287483,17.89551
9.278028965,17.88379
10.276288509,17.37793
11.277030468,18.05664
12.277772903,17.89648
13.276032924,17.13184
14.276775837,17.93359
15.277519226,17.95898
16.278262138,18.15625
17.276521683,17.45313
18.277265549,17.10742
19.278009415,18.24316
20.276269913,18.54004
21.277013302,17.37988
22.277757168,18.00977
24.276762962,18.07129
25.277507782,18.44141
26.278252125,18.13379
27.276514053,17.40625
28.277259826,17.43066
29.278004646,18.8623
30.276267052,19.07227
31.277012825,19.34375
32.277759552,18.40625
33.276022434,17.61719
34.276769161,18.49316
35.277515411,18.88867
36.278261661,19.2959
37.276525497,18.90039
38.277273178,19.33301
39.278020382,18.0498
40.276284695,18.69238
41.277031898,18.82813
42.277779579,17.50781
43.276044845,18.30957
44.276792526,17.86621
45.277540207,18.74219
46.278288841,19.125
47.276554584,18.66797
48.277302742,17.97754
49.278051376,18.59473
50.276317119,18.62012
51.277066231,17.74414
52.277815342,19.07715
53.276081085,18.22559
54.276830673,17.94141
55.277579784,20.17578
56.275846004,19.5459
57.276596069,18.42383
58.277345657,18.21387
59.278094768,18.51074
60.276361942,18.0293
61.277111530,18.78223
62.277861118,18.7207
63.276128292,18.68359
64.276877880,18.47363
65.277627945,18.95508
66.275895119,18.375
67.276645183,18.61035
68.277395725,18.7334
69.278146744,18.32617
70.276413917,19.32617
71.277164936,18.72168
72.277915478,19.26465
73.276183128,18.35156
74.276934147,18.7959
75.277685165,18.70996
76.275953770,18.94434
77.276704788,18.35254
78.277456760,18.27832
79.275724411,18.63672
80.276475906,19.32715
81.277227878,18.10547
82.277979374,18.67383
