Time (s),Power (dBm),Percentage (%)
0.279779434,-67,66
0.779634476,-67,66
1.279874325,-67,66
1.779578686,-67,66
2.279765129,-69,62
2.779627800,-69,62
3.279903889,-67,66
3.779598236,-67,66
4.279778004,-65,70
4.779760838,-65,70
5.279728412,-65,70
5.779608250,-60,80
6.279856682,-59,82
6.779561996,-62,76
7.279752254,-59,82
7.779575348,-63,74
8.279727936,-59,82
8.779601097,-60,80
9.279905796,-64,72
9.779561520,-71,58
10.279745102,-71,58
10.779753685,-67,66
11.279883385,-65,70
11.779550075,-65,70
12.279891014,-63,74
12.779583454,-65,70
13.279874801,-65,70
13.779774189,-65,70
14.279710769,-65,70
14.779715538,-65,70
15.279912472,-65,70
16.279846668,-67,66
16.779723644,-60,80
17.279682636,-59,82
17.779538631,-62,76
18.279918194,-53,94
18.779554367,-49,100
19.279855251,-51,98
19.779720783,-65,70
20.279658317,-65,70
20.779703140,-60,80
21.279869556,-59,82
21.779533863,-62,76
22.279876709,-60,80
22.779574871,-57,86
23.779687881,-51,98
24.279655456,-60,80
24.779679775,-62,76
25.279860973,-59,82
25.779491901,-67,66
26.279807091,-62,76
26.779673576,-57,86
27.279621124,-65,70
27.779551029,-64,72
28.279863834,-62,76
28.779456615,-60,80
29.279842377,-65,70
29.779665947,-62,76
30.279627323,-67,66
30.779654026,-65,70
31.279826164,-65,70
31.779434681,-65,70
32.279792309,-63,74
32.779537201,-63,74
33.279618740,-63,74
33.779675484,-63,74
34.279669761,-61,78
34.779438019,-61,78
35.279813289,-63,74
35.779415607,-63,74
36.279719829,-67,66
36.779660702,-57,86
37.279654026,-57,86
37.779593944,-55,90
38.279804706,-73,54
38.779400349,-53,94
39.279576301,-53,94
39.779609680,-51,98
40.279613972,-53,94
40.779489040,-53,94
41.279586315,-47,100
41.779385567,-49,100
42.279616356,-57,86
42.779559135,-53,94
43.279603481,-59,82
43.779452801,-62,76
44.279603958,-59,82
44.779430866,-51,98
45.279615402,-55,90
45.779403686,-60,80
46.279719353,-62,76
46.779413700,-65,70
47.279529095,-61,78
47.779493332,-59,82
48.279543876,-65,70
48.779393673,-60,80
49.279651165,-65,70
49.779377460,-59,82
50.279524326,-57,86
50.779353142,-59,82
51.279543876,-57,86
51.779382229,-59,82
52.279695034,-59,82
52.779377460,-62,76
53.279538631,-62,76
53.779542446,-62,76
54.279495239,-62,76
54.779352665,-63,74
55.279680252,-62,76
55.779322624,-60,80
56.279687404,-57,86
56.779527187,-57,86
57.279500484,-57,86
57.779308796,-60,80
58.279700756,-71,58
58.779331684,-53,94
59.279593468,-43,100
59.779548168,-43,100
60.279476642,-45,100
60.779398441,-45,100
61.279701710,-53,94
61.779333591,-49,100
62.279415130,-57,86
62.779503345,-59,82
63.279484272,-47,100
63.779491425,-57,86
64.279675484,-49,100
64.779303551,-51,98
65.279628277,-60,80
65.779409885,-65,70
66.279450893,-57,86
66.779476643,-58,84
67.279460907,-59,82
67.779313087,-65,70
68.279614448,-64,72
68.779260158,-59,82
69.279594898,-61,78
69.779497623,-57,86
70.279436588,-67,66
70.779442310,-62,76
71.279599666,-67,66
71.779233456,-67,66
72.279474735,-67,66
72.779482365,-67,66
73.279391765,-67,66
73.779218674,-69,62
74.279611587,-71,58
74.779229641,-67,66
75.279580116,-65,70
75.779452801,-59,82
76.279413223,-63,74
76.779462814,-57,86
77.279514313,-59,82
77.779227734,-61,78
78.279601097,-53,94
78.779233932,-55,90
79.279565811,-53,94
79.779283047,-55,90
80.279377937,-51,98
80.779190063,-51,98
81.279587269,-63,74
81.779214859,-67,66
82.279480457,-63,74
82.779398441,-67,66
