Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
-0.021665096,-0.07399875,0.02503949,0.02308695,-1.014655,0.02688102,-0.08167597,20.78002,-24.91561,-26.14454,1008.087
0.010616779,-0.07399875,0.08374227,-0.1597352,-1.012237,0.02786562,-0.07877494,20.78002,-24.91561,-26.14454,1008.087
0.042898655,0.04994857,-0.03366329,-0.09879446,-1.011754,0.02884142,-0.07683668,21.13214,-25.65427,-26.57655,1008.087
0.077663898,0.1119222,0.02503949,-0.09879446,-1.012727,0.02881572,-0.08360288,21.5069,-25.65262,-26.14634,1008.089
0.109945774,0.1738959,0.08374227,-0.09879446,-1.011264,0.02398549,-0.08218317,21.5069,-25.65262,-26.14634,1008.089
0.144710541,-0.01202509,-0.03366329,-0.03785376,-1.015629,0.03075952,-0.07875118,20.77002,-26.0148,-26.56642,1008.089
0.176993370,0.04994857,-0.1510688,0.02308695,-1.010789,0.0273711,-0.08313183,21.50624,-25.28811,-26.15096,1008.089
0.209275246,0.2358696,0.142445,-0.09879446,-1.009821,0.02884203,-0.07829116,21.50624,-25.28811,-26.15096,1008.089
0.244040489,-0.01202509,-0.2097716,-0.03785376,-1.012244,0.02930266,-0.08311771,21.14478,-26.01315,-26.13621,1008.089
0.276321888,0.1119222,-0.1510688,0.08402766,-1.0074,0.02690831,-0.0797577,21.13214,-25.65427,-26.57655,1008.087
0.311087131,0.04994857,0.142445,0.02308695,-1.012728,0.02881244,-0.08456977,21.13214,-25.65427,-26.57655,1008.087
0.343369007,-0.1359724,0.02503949,0.02308695,-1.014178,0.03076694,-0.07778739,21.14346,-25.28412,-26.14544,1008.087
0.378134250,0.1738959,-0.1510688,-0.1597352,-1.010798,0.03173137,-0.0816567,20.40526,-24.91726,-26.57475,1008.086
0.410416126,0.04994857,0.02503949,-0.03785376,-1.010794,0.02979401,-0.08215116,20.40526,-24.91726,-26.57475,1008.086
0.442698479,0.1119222,-0.03366329,-0.03785376,-1.01466,0.02881347,-0.08263184,21.14545,-26.37766,-26.1316,1008.086
0.477463722,-0.1979461,-0.09236607,-0.03785376,-1.014179,0.03124923,-0.07826809,21.14412,-25.64863,-26.14083,1008.086
0.509745598,-0.3218934,0.08374227,0.02308695,-1.009832,0.03417343,-0.07584363,21.14412,-25.64863,-26.14083,1008.084
0.544510841,-0.2599197,-0.09236607,0.1449684,-1.01223,0.02496369,-0.07830802,20.43056,-25.63502,-25.69407,1008.084
0.576792717,-0.5078144,-0.09236607,0.02308695,-1.011282,0.03124114,-0.08310877,21.13214,-25.65427,-26.57655,1008.086
0.611557960,0.04994857,-0.09236607,-0.03785376,-1.016106,0.02687524,-0.08215631,21.13214,-25.65427,-26.57655,1008.086
0.643839836,-0.01202509,0.08374227,0.1449684,-1.012239,0.02785743,-0.08119218,20.77002,-26.0148,-26.56642,1008.086
0.676122188,0.1119222,0.2011478,-0.1597352,-1.012246,0.03076101,-0.08117566,21.12015,-25.6599,-27.01228,1008.086
0.710887432,0.3598169,0.02503949,-0.403498,-1.011281,0.03222211,-0.07923567,21.12015,-25.6599,-27.01228,1008.084
0.743169308,0.4217906,0.2011478,-0.58632,-1.009328,0.02595131,-0.0749246,20.76936,-25.65028,-26.57104,1008.082
0.777934551,-0.2599197,-0.03366329,-0.4644387,-1.012249,0.03074954,-0.08455978,20.79267,-25.2745,-25.7042,1008.082
0.810215950,0.2978432,-0.03366329,-0.2206759,-1.011264,0.02398385,-0.08266662,21.5069,-25.65262,-26.14634,1008.08
0.844981194,-0.07399875,-0.03366329,0.1449684,-1.011762,0.03174171,-0.07778706,21.5069,-25.65262,-26.14634,1008.08
0.877263069,-0.1979461,-0.3271772,-0.03785376,-1.010787,0.02737765,-0.08119804,21.14412,-25.64863,-26.14083,1008.079
