Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.1082247,-0.004016174,0.03110972,-0.9902328,-0.08363837,-0.1029006,30.28231,-4.487933,26.89933,1007.886
0.032561779,0.1378851,0.05546477,0.1535085,-0.9891985,-0.08944341,-0.1058904,30.6431,-4.121476,26.89553,1007.886
0.067627907,0.1378851,0.05546477,0.03110972,-0.9916219,-0.09044698,-0.1059034,30.64878,-4.485287,26.89814,1007.884
0.100190640,-0.04669729,0.05546477,-0.09128907,-0.9882756,-0.08553244,-0.1082485,31.00794,-4.121412,26.44827,1007.884
0.132752419,0.07635763,-0.004016174,-0.03008968,-0.9926345,-0.08610846,-0.1010025,31.00794,-4.121412,26.44827,1007.884
0.165314198,0.1378851,-0.004016174,0.09230912,-0.9873498,-0.08067604,-0.1047917,31.00957,-4.118829,26.89434,1007.883
0.200381279,-0.04669729,0.05546477,0.09230912,-0.9877932,-0.08361541,-0.1009691,30.28231,-4.487933,26.89933,1007.883
0.232943058,0.01483016,0.1744266,-0.09128907,-0.9911234,-0.09093752,-0.1034945,30.28231,-4.487933,26.89933,1007.881
0.265505791,0.1378851,-0.004016174,0.03110972,-0.9887731,-0.08361712,-0.1033851,30.64878,-4.485287,26.89814,1007.883
0.300571918,0.01483016,0.1149457,-0.03008968,-0.9872491,-0.08894528,-0.1029845,30.6431,-4.121476,26.89553,1007.881
0.333134651,0.07635763,-0.1229781,-0.03008968,-0.9906673,-0.08897214,-0.1068486,30.6431,-4.121476,26.89553,1007.878
0.365696430,-0.04669729,0.2339076,-0.03008968,-0.9858471,-0.08406275,-0.1038781,30.27663,-4.124123,26.89672,1007.878
0.400763512,-0.1082247,-0.06349711,0.1535085,-0.9917356,-0.07882471,-0.09702519,30.28231,-4.487933,26.89933,1007.878
0.433325291,0.1378851,-0.004016174,-0.03008968,-0.9887683,-0.08362591,-0.1014517,30.28231,-4.487933,26.89933,1007.878
0.465887546,0.01483016,-0.06349711,0.03110972,-0.988318,-0.08117464,-0.1047984,31.0112,-4.116246,27.34041,1007.878
0.500954151,0.1378851,-0.004016174,0.03110972,-0.9892235,-0.08749537,-0.1068274,30.64715,-4.487869,26.45206,1007.878
0.533516884,0.1378851,-0.004016174,0.03110972,-0.9882951,-0.08264335,-0.1024039,30.64715,-4.487869,26.45206,1007.88
0.566078663,0.1994125,0.05546477,0.03110972,-0.9917033,-0.08363985,-0.1067662,30.27337,-4.129289,26.00457,1007.88
0.598640442,0.1994125,-0.182459,-0.2136879,-0.9853931,-0.08304502,-0.1125638,30.6431,-4.121476,26.89553,1007.88
0.633707523,0.1378851,0.05546477,0.09230912,-0.9945694,-0.08663295,-0.09810834,30.6431,-4.121476,26.89553,1007.88
0.666269302,-0.04669729,0.05546477,0.03110972,-0.9907125,-0.08508487,-0.1067892,31.00957,-4.118829,26.89434,1007.88
0.698831558,-0.1082247,0.05546477,-0.03008968,-0.9876897,-0.0928411,-0.1025601,30.6431,-4.121476,26.89553,1007.88
0.733898163,0.1378851,0.05546477,0.09230912,-0.987786,-0.08505557,-0.1048581,30.6431,-4.121476,26.89553,1007.88
0.766460895,-0.1697522,-0.3014209,0.03110972,-0.9941754,-0.08074955,-0.1081699,30.6431,-4.121476,26.89553,1007.879
0.799022675,0.26094,-0.2419399,0.09230912,-0.9892212,-0.08607281,-0.09907171,30.27663,-4.124123,26.89672,1007.879
0.834089756,0.01483016,0.05546477,0.2759073,-0.992734,-0.07784141,-0.1023264,30.27663,-4.124123,26.89672,1007.88
0.866651535,0.3224674,0.05546477,0.1535085,-0.9868717,-0.07970227,-0.1038105,30.64147,-4.124059,26.44946,1007.879
0.899213314,0.1994125,-0.1229781,0.1535085,-0.9858035,-0.08842275,-0.1068449,30.28394,-4.485351,27.3454,1007.879
0.934280395,0.26094,-0.004016174,0.03110972,-0.9857951,-0.08843812,-0.1034615,30.28394,-4.485351,27.3454,1007.879
0.966842175,-0.3543346,-0.004016174,-0.3360867,-0.9862664,-0.08847304,-0.09717767,30.27663,-4.124123,26.89672,1007.877
0.999404907,0.1378851,-0.06349711,0.2147079,-0.9897491,-0.08315051,-0.1019269,31.02093,-4.84645,26.89956,1007.879
1.034471035,0.07635763,0.1149457,-0.2136879,-0.9887953,-0.08262553,-0.1077203,31.02093,-4.84645,26.89956,1007.879
1.067033768,0.07635763,-0.2419399,-0.2748873,-0.9873474,-0.08068044,-0.103825,30.6431,-4.121476,26.89553,1007.879
1.099595547,0.3224674,-0.004016174,-0.03008968,-0.9877546,-0.08653966,-0.09908025,30.27663,-4.124123,26.89672,1007.879
1.132157803,0.07635763,-0.1229781,-0.03008968,-0.9898115,-0.07828044,-0.1042694,30.27663,-4.124123,26.89672,1007.881
1.167224407,0.5685772,0.1744266,-0.3972861,-0.9887587,-0.08507046,-0.104374,30.27663,-4.124123,26.89672,1007.879
1.199786663,0.7531596,0.1744266,-0.4584855,-0.9892183,-0.08702924,-0.1024699,30.65446,-4.849097,26.90075,1007.881
1.232348919,0.937742,-0.06349711,-0.2136879,-0.9906085,-0.09383563,-0.1059561,30.65446,-4.849097,26.90075,1007.881
1.267416000,0.01483016,-0.004016174,0.1535085,-0.9843203,-0.08892036,-0.1000866,29.91747,-4.487997,27.34659,1007.881
1.299977779,-0.9080817,-0.004016174,0.1535085,-0.9950354,-0.08905566,-0.1010451,30.64878,-4.485287,26.89814,1007.879
1.332539558,-0.1697522,0.1744266,0.8879012,-0.9898756,-0.07245611,-0.1027304,30.64878,-4.485287,26.89814,1007.879
1.367606640,-0.4773895,-0.004016174,0.3983061,-0.9867698,-0.08940067,-0.108309,30.64878,-4.485287,26.89814,1007.879
1.400168419,-0.5389169,0.2933885,0.5207049,-0.9898044,-0.07686666,-0.0945803,30.27663,-4.124123,26.89672,1007.879
1.432730675,-0.6004444,0.05546477,0.3371067,-0.9873952,-0.07869064,-0.1139455,30.27663,-4.124123,26.89672,1007.884
1.467797279,-0.04669729,-0.06349711,0.09230912,-0.994132,-0.08368258,-0.1043476,30.28068,-4.490516,26.45325,1007.882
1.500360012,0.1378851,-0.06349711,-0.09128907,-0.9868258,-0.08406666,-0.1058107,30.65446,-4.849097,26.90075,1007.884
