Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.110788345,44.462,32.808
1.111404419,44.482,32.81
2.109538078,44.512,32.81
3.110154152,44.538,32.812
4.110823631,44.488,32.814
5.111440659,44.494,32.816
6.109574795,44.516,32.818
7.110192776,44.542,32.82
8.110810280,44.558,32.82
9.111428738,44.538,32.824
10.109563828,44.54,32.824
11.110182285,44.562,32.826
12.110801220,44.618,32.828
13.108970642,44.55,32.83
14.109589577,44.592,32.832
15.110209465,44.626,32.832
16.110829353,44.642,32.834
17.109020233,44.62,32.836
18.109675884,44.62,32.838
19.110298157,44.666,32.84
20.110918999,44.678,32.842
21.109057426,44.67,32.844
22.109939575,44.642,32.846
23.110560894,44.694,32.848
24.111182213,44.686,32.848
25.109321594,44.698,32.85
26.109943390,44.71,32.852
27.110565662,44.718,32.854
28.111188889,44.71,32.856
29.109328747,44.712,32.858
30.109951496,44.716,32.86
31.110575199,44.744,32.86
32.111247063,44.762,32.862
33.109388351,44.794,32.864
34.110012531,44.75,32.866
35.110762596,44.748,32.868
36.108903885,44.762,32.87
37.109529018,44.784,32.872
38.110154152,44.782,32.872
39.110780239,44.798,32.874
40.108931065,44.798,32.876
41.109556675,44.836,32.878
42.110183239,44.768,32.88
43.110867500,44.852,32.882
44.109010696,44.832,32.882
45.109637737,44.826,32.884
46.110264778,44.802,32.886
47.110892773,44.92,32.888
48.109078884,44.912,32.888
49.109708309,44.906,32.892
50.110397339,44.924,32.892
51.111026287,44.86,32.894
52.109171391,44.938,32.896
53.109960556,44.934,32.898
54.110589504,44.93,32.898
55.111218452,44.994,32.9
56.109364986,44.954,32.902
57.109994888,44.968,32.902
58.110625267,44.956,32.904
59.108772278,44.964,32.906
60.109402657,44.998,32.906
61.110091209,45.04,32.908
62.110721588,45.044,32.908
63.108869553,44.97,32.91
64.109507084,45.04,32.912
65.110138416,45.016,32.914
66.110769749,45.046,32.916
67.109030247,45.028,32.918
68.109663010,45.034,32.92
69.110295296,45.088,32.922
70.111183167,45.074,32.924
71.109332562,45.074,32.924
72.109965801,45.08,32.926
73.110599518,45.04,32.928
74.108749867,45.126,32.93
75.109383583,45.068,32.932
76.110017300,45.12,32.932
77.110651970,45.156,32.934
78.108803749,45.11,32.936
79.109437943,45.132,32.938
80.110073090,45.158,32.94
81.110708237,45.136,32.94
82.108977795,45.156,32.942
83.109659672,45.172,32.944
84.110295296,45.206,32.946
85.110931873,45.174,32.946
86.109086037,45.192,32.948
87.109722614,45.182,32.95
88.110359669,45.214,32.95
89.108608723,45.238,32.952
