Time (s),Humidity (%)
0.235072613,23.30859
1.234363079,23.28516
2.236157894,23.4834
3.235448837,23.61914
4.234858990,22.87988
5.236655235,23.04102
6.235946655,23.48535
7.235239029,22.95605
8.234531402,23.0791
9.236328125,23.04297
10.235621929,23.67188
12.234208107,23.66113
13.236189365,23.68555
14.235483646,23.71094
15.234778404,23.62598
16.236577034,23.88477
17.235872745,23.66406
18.235277176,23.7627
19.234572887,23.76367
20.236373424,22.97461
21.235670566,23.82617
22.234966755,24.03711
23.234264374,23.22363
24.236065864,23.82813
25.235375404,23.7793
26.234673977,24.21191
27.236476898,24.29785
28.235774994,22.76953
29.235074043,22.80762
30.234392166,23.80664
31.236196518,23.06738
32.235496044,23.7959
33.234796047,23.94434
34.234259605,23.78418
35.236173153,23.2793
36.235474109,24.17969
37.234776020,23.76074
38.234077453,24.42773
39.235883713,23.68848
40.235186100,23.78711
41.234488964,23.8252
42.236295700,24.39258
43.235745907,23.31934
44.235049724,24.47949
45.234353065,22.97559
46.236161232,23.71582
47.235465526,23.51953
48.234769821,23.67969
49.234144211,24.23535
50.235953808,23.89063
51.235259533,24.64355
52.234564781,24.17578
53.236441612,23.94141
54.235748291,23.94141
55.235054493,23.53516
56.234361172,23.4248
57.236172676,23.38867
58.235479832,24.75781
59.234787464,24.61035
60.234095096,24.98047
61.235994339,24.30371
62.235302925,23.93262
63.234611034,23.64941
64.234020710,24.28027
65.235834122,24.26758
66.235143184,24.18262
68.236382007,23.14551
69.235692501,23.44238
70.235002518,23.78906
71.234313011,23.70313
72.236199856,24.02441
73.235510826,23.29688
74.234966278,23.09961
75.234278202,23.90234
76.236094475,24.35938
77.235405922,23.97656
78.234717846,23.87793
79.234030247,24.26172
80.235847473,23.81738
81.235160351,23.73145
82.234652519,23.75586
83.233965397,24.15137
84.235783577,24.64551
85.235096931,24.12793
86.234410763,23.77051
87.236229420,24.32617
88.235543728,24.51172
89.234896183,24.01855
