Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.002155304,0.2374139,0.0005129061,-0.0002383664,-0.9638889,-0.07487947,-0.2424883,-0.7739289,-22.60528,26.4921,1008.392
0.034713745,0.2983016,0.0007534225,-0.0609762,-0.9624095,-0.07584542,-0.2396042,-0.7739289,-22.60528,26.4921,1008.392
0.069777489,0.1742655,0.0602869,-0.182992,-0.963362,-0.07779956,-0.2401165,-0.04261827,-22.60257,26.04365,1008.391
0.102336884,0.05115643,0.06013452,0.001064062,-0.9628828,-0.07682799,-0.238652,-0.405827,-22.60005,26.93698,1008.389
0.134895325,-0.07210682,0.0008560978,-0.05996703,-0.9682689,-0.07494101,-0.2415183,-0.405827,-22.60005,26.93698,1008.389
0.169954777,-0.07184821,0.06065029,-0.1208456,-0.9619577,-0.07149446,-0.2332544,-0.4074581,-22.60263,26.49091,1008.389
0.202514172,-0.07194137,-0.1177226,0.1239455,-0.962886,-0.07634647,-0.2376779,-0.4131391,-22.23882,26.4883,1008.387
0.235072613,-0.01002416,-0.05804156,0.001751743,-0.9605029,-0.07146442,-0.2356722,-0.405827,-22.60005,26.93698,1008.387
0.267631531,0.1745026,-0.05776767,-0.1202703,-0.964338,-0.07733295,-0.2386583,-0.405827,-22.60005,26.93698,1008.39
0.302695751,0.1119004,-0.1761401,-0.1197808,-0.9604867,-0.07387199,-0.2405427,-0.4074581,-22.60263,26.49091,1008.39
0.335254192,0.3566856,-0.2945145,-0.2413652,-0.9638302,-0.078316,-0.2348068,-0.4115081,-22.23624,26.93437,1008.39
0.367809296,0.477727,0.06295625,-0.1179248,-0.9618679,-0.07974393,-0.2357972,-0.4115081,-22.23624,26.93437,1008.39
0.402873039,0.476479,0.1821453,-0.3007558,-0.9595249,-0.07098339,-0.2317988,-0.7779789,-22.23889,26.93556,1008.394
0.435431957,0.2278668,0.06247833,-0.1772654,-0.967713,-0.08219473,-0.2479134,-1.14608,-22.24412,26.49068,1008.394
0.467990398,-0.6954332,-0.1757746,-0.1755249,-0.9650723,-0.09442938,-0.2220002,-1.14608,-22.24412,26.49068,1008.392
0.503054619,-0.2696387,-0.294505,-0.2965958,-0.9593534,-0.08556506,-0.2310547,-0.4090891,-22.60522,26.04484,1008.394
0.535613537,0.8990526,-0.5309292,-0.1128059,-0.9715343,-0.08571062,-0.2339454,-0.4147701,-22.24141,26.04223,1008.394
0.568168163,0.8944614,-0.7661105,0.3152239,-0.9701833,-0.07692983,-0.2371964,-0.4147701,-22.24141,26.04223,1008.396
0.603231907,-0.2749345,-0.6437302,0.3137061,-0.9647557,-0.08269748,-0.2358395,-0.03367519,-22.96122,26.9384,1008.396
0.635790825,0.3394722,-0.4035555,0.4341543,-0.9657996,-0.07544791,-0.2299273,-0.4131391,-22.23882,26.4883,1008.394
0.668349266,-1.011693,-0.105047,0.3102162,-0.9652861,-0.07834384,-0.2328723,-0.4131391,-22.23882,26.4883,1008.394
0.700908661,-0.2101059,0.1920206,-0.1792998,-0.9648317,-0.07685119,-0.2391338,-0.7739289,-22.60528,26.4921,1008.394
0.735972404,0.09750767,-0.1060216,-0.3618995,-0.9643017,-0.0802528,-0.2377361,-0.04261827,-22.60257,26.04365,1008.393
0.768527031,0.8338181,0.07225653,-0.36029,-0.9633523,-0.0792441,-0.2430388,-0.04261827,-22.60257,26.04365,1008.397
0.801085949,0.5835957,-0.04662627,-0.3590131,-0.9643215,-0.07783864,-0.2343156,-0.4131391,-22.23882,26.4883,1008.395
0.836149692,0.5813431,-0.1654395,-0.05222701,-0.9605,-0.0709939,-0.2322814,-0.4017768,-22.96645,26.49352,1008.395
0.868708134,0.4561114,0.07235652,0.07030757,-0.9681823,-0.08128201,-0.236298,-0.4017768,-22.96645,26.49352,1008.395
0.901267529,1.068117,0.01301006,-0.1131548,-0.9662883,-0.075927,-0.2328344,-0.7796099,-22.24147,26.48949,1008.394
0.936331272,0.3885767,-0.1056358,-0.112255,-0.9662456,-0.07980987,-0.2338605,-0.7739289,-22.60528,26.4921,1008.394
0.968886375,0.6328511,0.1915648,-0.6003748,-0.9667865,-0.07353456,-0.2260302,-0.7739289,-22.60528,26.4921,1008.392
1.001444817,-0.7192599,0.4878149,-0.1096763,-0.9697201,-0.07640459,-0.2444395,-0.04503751,-22.23359,26.93318,1008.394
1.036508560,-1.205948,0.1897611,0.5012822,-0.9647662,-0.08077582,-0.2309764,-0.7812409,-22.24405,26.04342,1008.394
1.069067955,-1.692537,0.01147735,0.7441131,-0.9609398,-0.07536684,-0.2337978,-0.7812409,-22.24405,26.04342,1008.394
1.101626396,-0.6405794,-0.0478638,0.2527325,-0.9615082,-0.06999303,-0.2414493,-0.7722979,-22.6027,26.93817,1008.394
1.134185314,0.5891256,0.0117563,0.007864535,-0.9624276,-0.07438549,-0.2400653,-1.134718,-22.97174,26.4959,1008.393
1.169245243,0.524318,-0.2258646,-0.05273575,-0.9633355,-0.07927487,-0.236272,-1.134718,-22.97174,26.4959,1008.393
1.201803684,0.8905153,0.07154657,-0.1134512,-0.9667313,-0.07981842,-0.2333767,-0.4074581,-22.60263,26.49091,1008.393
1.234363079,0.2733863,-0.1068894,0.1314631,-0.9628767,-0.07683898,-0.2362353,-0.7755599,-22.60787,26.04603,1008.395
1.269426822,-0.09653404,0.01216875,0.1312119,-0.9682,-0.08077412,-0.2411239,-0.7755599,-22.60787,26.04603,1008.393
1.301985740,-0.342173,-0.1662488,0.191819,-0.961892,-0.07827301,-0.238675,-0.4017768,-22.96645,26.49352,1008.393
1.334544182,-0.0956527,-0.04713154,-0.1756216,-0.9618815,-0.07876772,-0.236749,-0.7739289,-22.60528,26.4921,1008.393
1.369604111,-0.6473781,0.01199663,-0.2362802,-0.966747,-0.07836289,-0.2328712,-0.7739289,-22.60528,26.4921,1008.392
1.402163029,0.1542101,0.1307043,-0.1740599,-0.9643243,-0.07830916,-0.2377064,-0.7796099,-22.24147,26.48949,1008.392
1.434721470,0.583598,0.0712315,-0.1734463,-0.9633588,-0.07685412,-0.2343015,-0.03530622,-22.9638,26.49233,1008.396
1.469785690,0.1514829,-0.04735297,0.07155585,-0.9633564,-0.07685851,-0.2333349,-0.03530622,-22.9638,26.49233,1008.394
1.502344608,-0.09526329,0.01224615,0.0105636,-0.9643521,-0.0754047,-0.2352452,-0.4147701,-22.24141,26.04223,1008.394
1.534904003,-0.3408304,-0.1661902,0.1330728,-0.9628418,-0.07832967,-0.2290074,-0.4090891,-22.60522,26.04484,1008.394
1.569962978,-0.2786369,0.07164227,-0.111829,-0.9667586,-0.07786599,-0.2352805,-0.4090891,-22.60522,26.04484,1008.394
1.602521896,-0.1544081,-0.1063649,-0.1119488,-0.9686915,-0.0788698,-0.2338438,-0.4017768,-22.96645,26.49352,1008.394
1.635081291,-0.2779526,-0.04643176,-0.1729797,-0.9657834,-0.07928244,-0.2415869,-0.4001458,-22.96386,26.93959,1008.398
1.667639732,0.3389756,-0.1055556,-0.1724858,-0.9583626,-0.08701009,-0.2310777,-0.4001458,-22.96386,26.93959,1008.396
1.702703476,0.2769839,0.4296205,-0.6603445,-0.9621087,-0.05837711,-0.2325707,-0.7779789,-22.23889,26.93556,1008.395
1.735262871,1.198322,0.665774,-0.8400415,-0.9602966,-0.08943868,-0.2369134,-0.7869222,-21.88024,26.04081,1008.395
1.767817974,-0.1602231,0.6037282,-1.202661,-0.9652955,-0.07499742,-0.2207368,-0.7869222,-21.88024,26.04081,1008.393
1.802880764,0.02579469,0.8380697,-1.013996,-0.9695313,-0.09054212,-0.2345044,-0.4147701,-22.24141,26.04223,1008.391
1.835440159,0.08650317,1.013115,-1.376482,-0.9619681,-0.07099976,-0.2351803,-0.7682476,-22.96909,26.49471,1008.394
1.867999077,0.39483,1.127666,-1.248549,-0.9686608,-0.0827307,-0.2397032,-0.7682476,-22.96909,26.49471,1008.392
1.903062344,1.313731,1.003941,-1.486504,-0.9701236,-0.08369739,-0.2450337,0.3214331,-22.23095,26.932,1008.392
1.935621262,3.460284,1.000422,-1.909329,-0.964241,-0.0855956,-0.2383011,-1.143661,-22.61309,25.60115,1008.391
1.968176842,1.306823,0.7030168,-1.725731,-0.9637585,-0.08367857,-0.2310216,-1.143661,-22.61309,25.60115,1008.389
2.003239632,0.8146029,0.8814597,-1.78693,-0.9616979,-0.09479832,-0.2379605,-0.4131391,-22.23882,26.4883,1008.389
2.035799026,0.568493,0.9409406,-2.092927,-0.9680949,-0.08810012,-0.2330184,-0.4204514,-21.8776,26.03962,1008.387
2.068357945,-0.1698365,0.524574,-2.031728,-0.9621703,-0.096258,-0.2389491,-0.4204514,-21.8776,26.03962,1008.387
2.100917339,-0.108309,0.1676884,-1.358534,-0.9603215,-0.09034456,-0.2514285,-0.431814,-21.14997,26.03439,1008.391
2.135980129,1.491405,0.2271693,-1.113737,-0.958838,-0.09084218,-0.2446702,-0.05803108,-21.50856,26.48189,1008.391
2.168535709,1.491405,0.04872653,-1.113737,-0.9670985,-0.09145802,-0.2398379,-0.7909725,-21.51385,26.48427,1008.391
2.201094627,1.922097,0.04872653,-1.236136,-0.9631602,-0.09671705,-0.247656,-0.7909725,-21.51385,26.48427,1008.39
2.236157894,3.829448,0.4056122,-1.725731,-0.9621739,-0.09625141,-0.2403991,-0.7852912,-21.87766,26.48688,1008.39
2.268716812,5.552217,0.8219787,-2.582522,-0.9572597,-0.1019771,-0.2496754,-0.05398083,-21.87495,26.03843,1008.388
2.301276207,5.306108,0.5840549,-2.521323,-0.9611225,-0.1016123,-0.234198,-0.05398083,-21.87495,26.03843,1008.388
2.336339950,2.537372,0.1676884,-2.154127,-0.9616359,-0.09871636,-0.2312531,-0.4261327,-21.51379,26.03701,1008.386
2.368894100,1.675987,0.2271693,-1.970528,-0.9572175,-0.1034809,-0.2395475,-0.07265568,-20.7861,25.58452,1008.386
2.401453495,2.168207,0.4056122,-1.909329,-0.9567901,-0.09956095,-0.2452886,-0.07265568,-20.7861,25.58452,1008.386
2.436517238,5.183053,1.238345,-1.78693,-0.9680021,-0.1015869,-0.2593266,-0.7982848,-21.15262,26.03558,1008.386
2.469075680,7.028876,1.000422,-1.174936,-0.9615999,-0.104965,-0.2463332,-0.4391263,-20.78875,25.58571,1008.392
2.501635074,5.49069,0.8814597,-1.052537,-0.9546787,-0.1088711,-0.222714,-0.4391263,-20.78875,25.58571,1008.392
2.534193993,1.675987,0.524574,-0.5629423,-0.9523168,-0.1034746,-0.2269843,-0.8096473,-20.425,26.03036,1008.39
2.569253921,3.091119,0.8219787,-0.1345465,-0.9630221,-0.1079083,-0.2444432,-0.4374952,-20.78617,26.03178,1008.388
2.601812363,1.552932,1.000422,0.2938493,-0.9520993,-0.1238476,-0.2350294,-0.4374952,-20.78617,26.03178,1008.388
2.634371281,1.36835,0.9409406,-0.8077399,-0.967459,-0.1021588,-0.239034,-0.07670593,-20.41971,26.02798,1008.393
2.669435024,0.6300204,1.476269,-1.358534,-0.9653593,-0.1171548,-0.248449,-0.08806849,-19.69209,26.02276,1008.393
2.701994419,0.4454381,1.952116,-1.174936,-0.9624213,-0.1161954,-0.2373195,-0.08806849,-19.69209,26.02276,1008.391
2.734552860,0.3223832,1.297826,-1.419734,-0.9645015,-0.1055154,-0.2405382,-0.4415455,-20.41977,26.47524,1008.389
2.769612789,-1.461913,1.178864,-0.3181447,-0.9659089,-0.1094371,-0.2372131,-0.4448075,-20.42494,25.5831,1008.389
2.802171707,0.1378008,0.7624978,1.27304,-0.9542559,-0.1092232,-0.2507556,-0.4448075,-20.42494,25.5831,1008.389
2.834730148,-3.307737,-0.1891972,3.904613,-0.952091,-0.1286188,-0.2544373,-0.4488578,-20.05854,26.02656,1008.389
2.869793892,-3.738429,-1.973625,6.230191,-0.9727063,-0.155641,-0.2495125,-0.4431765,-20.42235,26.02917,1008.389
2.902353287,-7.922296,-5.661444,8.372169,-0.9808799,-0.1231779,-0.2509428,-0.4431765,-20.42235,26.02917,1008.392
2.934912205,-12.72144,-6.672619,11.37094,-0.9510992,-0.1333949,-0.2699791,-0.07670593,-20.41971,26.02798,1008.392
2.967466831,-3.923011,-3.817534,10.88134,-0.9572543,-0.0981821,-0.2293157,-0.05803108,-21.50856,26.48189,1008.39
3.002530575,-2.630935,-2.627916,10.33055,-0.9880669,-0.0384637,-0.1974387,-0.05803108,-21.50856,26.48189,1008.39
3.035089970,-7.430076,-3.758054,12.28893,-0.9799476,-0.1268943,-0.2858035,-0.7812409,-22.24405,26.04342,1008.39
3.067648888,1.799042,-7.9812,9.840955,-0.993517,-0.04739881,-0.2782937,-0.7885532,-21.88283,25.59473,1008.388
3.102712154,2.475844,-11.78798,11.43214,-0.9918795,-0.05388558,-0.2368239,-0.7885532,-21.88283,25.59473,1008.388
3.135271072,-6.076472,-17.55763,13.32932,-0.9476637,-0.1329238,-0.2569241,-0.4034078,-22.96903,26.04745,1008.392
3.167826176,-4.90745,-18.56881,17.24608,-0.952738,-0.06655867,-0.2235204,-0.3936763,-23.69923,25.6066,1008.392
3.202889442,3.091119,-21.48338,17.49088,-0.9919848,0.005702996,-0.195311,-0.3936763,-23.69923,25.6066,1008.391
3.235448837,-3.061627,-24.57638,17.73568,-0.9795358,-0.01889765,-0.2005321,-0.389626,-24.06563,25.16314,1008.391
3.268007755,-11.61394,-24.69534,17.18488,-0.9408421,-0.03830731,-0.2032824,-0.01342392,-24.79318,24.7211,1008.391
3.303071499,-6.445637,-23.98158,18.89846,-0.9761341,-0.009328414,-0.1578522,-0.01342392,-24.79318,24.7211,1008.389
3.335629940,-6.384109,-24.33846,20.30605,-0.9899998,0.01469695,-0.1371705,-0.002061367,-25.52081,24.72633,1008.393
3.368185043,-9.522011,-24.45742,20.30605,-0.9851536,0.021937,-0.1124125,0.007669926,-26.25101,24.28548,1008.393
3.403249264,-10.44492,-21.84026,20.00005,-0.961674,0.01634056,-0.09705247,0.007669926,-26.25101,24.28548,1008.393
3.435808182,-6.814802,-19.87739,20.12245,-0.9800584,0.04959379,-0.08782661,0.0174017,-26.98122,23.84463,1008.393
3.468366623,-8.783681,-17.20075,20.67325,-0.9870465,0.06646336,-0.07692821,0.4082282,-28.43123,24.29995,1008.393
3.500926018,-14.99795,-14.5241,20.79565,-0.9776039,0.0548211,-0.05487961,0.4082282,-28.43123,24.29995,1008.392
3.535989761,-9.398955,-12.73967,20.18365,-0.9731492,0.08941052,-0.06015673,0.7787495,-28.79498,23.8553,1008.392
3.568544865,-10.13729,-10.71732,18.77607,-0.9690328,0.1108806,-0.06708379,0.07118511,-30.62412,23.04232,1008.397
3.601103306,-8.045352,-10.24148,16.63409,-0.9872509,0.13194,-0.04789323,0.07118511,-30.62412,23.04232,1008.396
3.636167049,-12.72144,-9.408742,13.94131,-0.9705623,0.1214505,-0.04468573,1.184989,-31.339,23.87239,1008.396
