Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.1026773,-0.1322758,-0.108663,0.0690113,-0.7563286,0.646686,3.483937,48.79602,-27.11192,1008.146
0.032172680,0.4098293,0.2228343,0.01391099,0.07250834,-0.7582061,0.6572419,3.484195,49.17716,-27.11378,1008.144
0.066820145,-0.3273356,-0.2506458,-0.108663,0.06712829,-0.7514205,0.6525279,3.47816,48.79034,-27.5582,1008.142
0.098992825,-0.9416397,0.04527921,0.01391099,0.06851938,-0.7582641,0.6471566,3.47816,48.79034,-27.5582,1008.142
0.133636951,0.04124688,0.04527921,-0.04737603,0.07288679,-0.7621767,0.6461195,3.484195,49.17716,-27.11378,1008.141
0.165809155,0.7169814,-0.1322758,-0.04737603,0.06896113,-0.7684635,0.6465864,3.106513,49.56366,-27.11371,1008.141
0.200457096,2.744185,-0.1914608,-0.4150982,0.07094701,-0.7592545,0.6461617,3.106513,49.56366,-27.11371,1008.143
0.232630253,1.208425,0.1044642,-0.1699501,0.07205448,-0.749952,0.6573141,3.478417,49.17147,-27.56007,1008.143
0.267277717,-0.5730572,-0.664941,-0.3538111,0.06311943,-0.7592337,0.6438249,3.484452,49.55829,-27.11565,1008.143
0.299450874,1.208425,-0.901681,-0.7828203,0.07243124,-0.7602105,0.649032,3.484452,49.55829,-27.11565,1008.141
0.331619263,5.999997,0.6371294,0.6880682,0.06866622,-0.7697362,0.6701967,3.106256,49.18253,-27.11185,1008.141
0.366267204,0.9627031,0.2820193,-1.273116,0.06951389,-0.8046747,0.6718287,3.862134,49.17179,-27.11572,1008.141
0.398439884,11.89732,4.06986,-16.77873,0.03084891,-0.9553104,0.4988737,3.862134,49.17179,-27.11572,1008.139
