Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.429902077,68.82031,115.3125,3.888125,259.6875,0
1.308584690,68.82031,115.5,3.88625,260,0
2.363753795,68.80859,115.40625,3.8875,272.5,0
3.418326378,68.79688,115.40625,3.888125,262.8125,0
4.297198295,68.78516,115.21875,3.888125,262.8125,0
5.352052212,68.77344,115.21875,3.888125,263.75,0
6.406956673,68.76172,114.84375,3.890625,254.0625,0
7.461616516,68.76172,115.03125,3.88875,261.5625,0
8.340938568,68.75,115.21875,3.88875,257.1875,0
9.395439148,68.73438,115.03125,3.88875,252.5,0
10.450191021,68.72266,115.3125,3.8875,275.9375,0
11.329174042,68.71094,115.03125,3.88875,255.9375,0
12.383993625,68.71094,115.21875,3.889375,262.1875,0
13.438891411,68.69922,115.3125,3.885,265.9375,0
14.317662239,68.6875,115.21875,3.886875,262.5,0
15.372518539,68.67578,115.3125,3.88875,268.4375,0
16.427542686,68.66406,115.21875,3.886875,260.9375,0
17.306373596,68.66406,115.125,3.8875,271.25,0
18.361093044,68.65234,115.125,3.886875,257.8125,0
19.415949344,68.63672,114.84375,3.8875,276.5625,0
20.295039654,68.625,115.125,3.88875,257.8125,0
21.349631786,68.61328,115.21875,3.8875,267.1875,0
22.404551983,68.61328,115.21875,3.888125,258.4375,0
23.459667206,68.60156,115.3125,3.88625,266.25,0
24.338386059,68.58984,115.3125,3.885625,265.9375,0
25.393040180,68.57813,115.21875,3.885,273.4375,0
26.447926998,68.56641,114.75,3.8875,269.0625,0
27.326998710,68.56641,114.75,3.88625,252.5,0
28.381585598,68.55469,114.65625,3.884375,280,0
29.436658382,68.53906,114.9375,3.88625,256.875,0
30.315334320,68.52734,114.5625,3.886875,255,0
31.370267868,68.51563,114.65625,3.885625,266.5625,0
32.424982071,68.50391,114.65625,3.88875,255,0
33.304041385,68.50391,114.5625,3.886875,267.1875,0
34.358971596,68.49219,114.5625,3.886875,260.3125,0
35.413494110,68.48047,114.5625,3.888125,251.875,0
36.292958736,68.46875,114.5625,3.885,265.9375,0
37.347283840,68.45703,114.5625,3.884375,264.6875,0
38.402239323,68.45703,114.375,3.8875,256.875,0
39.456932068,68.44141,114.375,3.88375,261.875,0
40.336003303,68.42969,114.375,3.888125,255.3125,0
41.390918255,68.41797,114.375,3.886875,258.125,0
42.445523262,68.40625,114.46875,3.885625,261.5625,0
43.324900150,68.40625,114.46875,3.888125,268.4375,0
44.379255295,68.39453,114.46875,3.88375,276.5625,0
45.434173107,68.38281,114.75,3.884375,257.8125,0
46.313013077,68.37109,114.75,3.885625,259.0625,0
47.367929935,68.35938,114.375,3.88,279.375,0
48.422753334,68.34375,114.65625,3.88625,258.75,0
49.301774978,68.34375,114.5625,3.884375,257.8125,0
50.356570244,68.33203,114.28125,3.88375,280,0
51.411314487,68.32031,114.75,3.885,254.0625,0
52.466086388,68.30859,114.65625,3.885625,256.875,0
53.345105648,68.29688,114.5625,3.885,272.1875,0
54.399935245,68.29688,114.46875,3.885,253.125,0
55.454785347,68.28516,114.1875,3.885625,265.9375,0
56.333684921,68.27344,114.46875,3.885625,255.625,0
57.388715744,68.26172,114.46875,3.8875,263.75,0
58.443130493,68.24609,114.46875,3.885625,261.5625,0
59.322533130,68.24609,114.46875,3.884375,258.4375,0
60.376925468,68.23438,114.28125,3.884375,261.5625,0
61.431912899,68.22266,114.1875,3.88375,265,0
62.310703277,68.21094,114.09375,3.884375,272.5,0
63.365632534,68.19922,114.375,3.884375,269.375,0
64.420743942,68.19922,114.375,3.885,251.25,0
65.299480915,68.1875,114.375,3.885,272.8125,0
66.354711056,68.17578,114.375,3.8825,276.5625,0
67.408867359,68.16406,114.46875,3.885,271.5625,0
68.463829517,68.14844,114.28125,3.88125,259.6875,0
69.342673778,68.14844,114.375,3.88375,266.5625,0
70.397643089,68.13672,114.28125,3.884375,284.0625,0
71.452695846,68.125,114,3.885,257.8125,0
72.331415653,68.11328,114,3.884375,265.9375,0
73.386645794,68.10156,114.1875,3.8825,277.5,0
74.440887928,68.10156,113.625,3.884375,261.875,0
75.320669174,68.08984,113.625,3.884375,270.625,0
77.429573059,68.06641,113.71875,3.883125,289.6875,0
78.308413029,68.05078,113.53125,3.88625,258.75,0
79.363344669,68.05078,113.34375,3.88375,268.75,0
80.418004989,68.03906,113.625,3.8825,273.75,0
81.297080993,68.02734,113.4375,3.8825,258.125,0
82.351821899,68.01563,113.53125,3.881875,279.375,0
83.406588077,68.00391,113.34375,3.881875,254.6875,0
84.461438656,67.99219,113.4375,3.88625,246.25,0
85.340368271,67.99219,113.53125,3.8825,272.5,0
86.395257950,67.98047,113.53125,3.884375,259.6875,0
87.450151920,67.96875,113.53125,3.884375,256.875,0
88.329054832,67.95313,113.625,3.881875,252.5,0
89.383963108,67.94141,113.625,3.884375,256.25,0
