Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.464398384,43.902,32.6
1.465362549,43.906,32.602
2.463805199,43.944,32.604
3.464769363,43.906,32.606
4.465734005,43.916,32.606
5.464176655,43.918,32.608
6.465141296,43.966,32.608
7.466106415,43.938,32.61
8.464550018,43.984,32.61
9.465515137,43.924,32.612
10.463959217,43.978,32.612
11.464924335,43.976,32.614
12.465889454,43.942,32.614
13.464333534,43.972,32.614
14.465299129,43.964,32.616
15.463743210,43.99,32.616
16.464709282,43.99,32.618
17.465674877,43.976,32.618
18.464120388,43.998,32.62
19.465086460,43.994,32.62
20.466053009,43.978,32.62
21.464497566,44.032,32.62
22.465464115,44.024,32.62
23.463908672,43.932,32.62
24.464875221,44.022,32.622
25.465841770,43.98,32.622
26.464286804,43.976,32.62
27.465252876,44.034,32.62
28.463697433,43.984,32.62
29.464663982,44.004,32.62
30.465629101,43.966,32.618
31.464074135,43.956,32.618
32.465039730,43.972,32.616
33.463483810,43.922,32.616
34.464448929,43.928,32.614
35.465414047,43.924,32.614
36.463858127,43.948,32.614
37.464823246,43.976,32.612
38.465787887,43.98,32.612
39.464231968,43.902,32.612
40.465196609,43.926,32.61
41.463639736,43.946,32.606
42.464604378,43.926,32.606
43.465569019,43.886,32.608
44.464011669,43.912,32.608
45.464976311,43.924,32.608
46.463418484,43.95,32.606
47.464383125,43.926,32.606
48.465347290,43.9,32.606
49.463789940,43.9,32.604
50.464753151,43.912,32.604
51.465716839,43.888,32.602
52.464159012,43.866,32.6
53.465122223,43.886,32.6
54.463563442,43.87,32.598
55.464526653,43.884,32.598
56.465489387,43.91,32.596
57.463930607,43.842,32.594
58.464892864,43.874,32.592
59.463333607,43.848,32.59
60.464295387,43.848,32.59
61.465257645,43.846,32.588
62.463697910,43.81,32.588
63.464659214,43.824,32.586
64.465620518,43.816,32.586
65.464060306,43.804,32.584
66.465021610,43.832,32.584
67.463460922,43.748,32.582
68.464421272,43.79,32.582
69.465382099,43.802,32.58
70.463820457,43.792,32.58
71.464780807,43.766,32.578
72.463219166,43.742,32.578
73.464179039,43.768,32.576
74.465138912,43.748,32.574
75.463576794,43.78,32.574
77.465495586,43.734,32.572
78.463932514,43.706,32.57
79.464891434,43.738,32.568
80.463328361,43.702,32.568
81.464287281,43.654,32.566
82.465244770,43.708,32.566
83.463682175,43.682,32.566
84.464640140,43.728,32.564
85.463076115,43.682,32.564
86.464034080,43.66,32.562
87.464991093,43.692,32.56
88.463427067,43.664,32.56
89.464384556,43.668,32.558
