Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.771016121,44.798,32.774
1.772004604,44.812,32.776
2.772992611,44.802,32.776
3.771460056,44.792,32.776
4.772448540,44.844,32.778
5.770915985,44.836,32.778
7.772892952,44.83,32.78
8.771360874,44.874,32.78
9.772349358,44.812,32.782
10.770817280,44.88,32.782
11.771806717,44.846,32.784
12.772796631,44.866,32.784
13.771264553,44.836,32.784
14.772254467,44.862,32.784
15.770722389,44.848,32.784
16.771711349,44.802,32.784
17.772701263,44.83,32.784
18.771170139,44.88,32.786
19.772159100,44.864,32.786
20.770627975,44.846,32.786
22.772607803,44.858,32.788
23.771076202,44.834,32.788
24.772066116,44.898,32.788
25.773056030,44.864,32.788
26.771524906,44.862,32.788
27.772515297,44.834,32.788
28.770983696,44.884,32.79
29.771973610,44.894,32.79
30.772964477,44.892,32.79
31.771432877,44.892,32.79
32.772422790,44.934,32.79
33.770892143,44.888,32.79
34.771882057,44.912,32.79
35.772872448,44.884,32.79
36.771341324,44.882,32.79
37.772331238,44.868,32.79
38.770800590,44.924,32.79
39.771790504,44.882,32.79
40.772780895,44.856,32.79
41.771249294,44.858,32.788
42.772239208,44.884,32.786
43.770707130,44.796,32.784
44.771697044,44.852,32.784
45.772686481,44.84,32.784
46.771154404,44.852,32.784
47.772143841,44.848,32.784
48.770611763,44.862,32.784
49.771600723,44.846,32.784
50.772589207,44.866,32.784
51.771056652,44.794,32.782
52.772045135,44.87,32.78
53.770511627,44.792,32.778
54.771499634,44.728,32.778
55.772487640,44.8,32.776
56.770953655,44.75,32.774
57.771940708,44.768,32.772
58.770406246,44.766,32.77
59.771392822,44.706,32.768
60.772378445,44.706,32.768
61.770843029,44.722,32.766
62.771829128,44.706,32.764
63.770292759,44.674,32.762
64.771278381,44.736,32.76
65.772263527,44.714,32.758
66.770726681,44.67,32.756
67.771710396,44.692,32.752
68.772695064,44.678,32.75
69.771157265,44.662,32.748
70.772140980,44.666,32.748
71.770602226,44.628,32.744
72.771585464,44.598,32.742
73.772567272,44.582,32.738
74.771028042,44.596,32.734
75.772009373,44.588,32.732
76.770469189,44.576,32.728
78.772429466,44.53,32.724
79.770887375,44.5,32.72
80.771867752,44.482,32.718
81.770324707,44.486,32.716
82.771303177,44.45,32.714
83.772282124,44.522,32.71
84.770738602,44.456,32.71
85.771716595,44.434,32.708
86.770172596,44.454,32.706
87.771149635,44.434,32.704
88.772126198,44.446,32.702
90.771557331,44.38,32.694
91.772533417,44.354,32.692
92.770987987,44.342,32.69
93.771962643,44.362,32.688
94.770416260,44.356,32.686
95.771390915,44.316,32.686
96.772365570,44.302,32.684
97.770818233,44.302,32.68
98.771791935,44.294,32.68
99.770244121,44.304,32.676
100.771217346,44.292,32.674
101.772189617,44.234,32.672
102.770640850,44.226,32.67
103.771613598,44.25,32.668
104.770064354,44.154,32.668
105.771036148,44.3,32.666
106.772007942,44.162,32.664
107.770457745,44.206,32.662
108.771429062,44.234,32.66
109.772399902,44.232,32.66
110.770849228,44.17,32.658
111.771819591,44.188,32.656
112.770267963,44.188,32.654
113.771238327,44.162,32.652
114.772207260,44.17,32.65
115.770655155,44.176,32.648
116.771624565,44.118,32.646
117.770071983,44.166,32.644
118.771040440,44.136,32.644
119.772008896,44.128,32.642
120.770455360,44.072,32.64
121.771423340,44.102,32.638
122.769869804,44.11,32.636
123.770837307,44.098,32.636
124.771804333,44.044,32.634
125.770250320,44.02,32.634
126.771216869,44.062,32.632
127.772183418,44.052,32.63
128.770628929,44.02,32.628
129.771594524,44.018,32.628
130.770039558,44.012,32.628
131.771005154,44.008,32.626
132.771971226,43.976,32.624
134.771380424,44.016,32.622
135.769824505,43.964,32.62
136.770788670,43.938,32.618
137.771753311,43.992,32.618
138.770196915,43.954,32.616
139.771160603,43.942,32.616
140.772125244,43.942,32.614
141.770567894,43.98,32.612
142.771531105,43.92,32.612
143.769973755,43.944,32.61
144.770937443,43.93,32.61
145.771900654,43.878,32.608
146.770342827,43.888,32.606
147.771305084,43.878,32.604
148.769746304,43.92,32.604
149.770709038,43.902,32.602
150.771671772,43.88,32.602
151.770112991,43.89,32.602
152.771075726,43.888,32.602
153.772037506,43.91,32.6
154.770477772,43.908,32.6
155.771440029,43.87,32.598
156.769880295,43.882,32.598
157.770842552,43.86,32.596
158.771803856,43.894,32.596
159.770244121,43.862,32.594
160.771205425,43.838,32.594
161.769644737,43.802,32.592
162.770605564,43.818,32.59
163.771565914,43.854,32.588
164.770005226,43.806,32.588
165.770965099,43.856,32.586
166.771924972,43.81,32.586
167.770363808,43.82,32.586
168.771323681,43.764,32.584
169.769761562,43.78,32.582
170.770720005,43.79,32.58
171.771679401,43.788,32.578
172.770116329,43.768,32.576
173.771075249,43.792,32.576
174.769511700,43.752,32.574
175.770469665,43.764,32.572
176.771427631,43.75,32.572
177.769864082,43.724,32.57
178.770821571,43.732,32.57
179.771779060,43.76,32.568
180.770215034,43.72,32.568
181.771172523,43.682,32.568
182.769608498,43.706,32.568
183.770565033,43.73,32.566
184.771522045,43.69,32.566
185.769958019,43.68,32.564
186.770914555,43.688,32.564
187.769350052,43.738,32.564
188.770306587,43.64,32.562
189.771263599,43.718,32.562
190.769699097,43.648,32.562
191.770655632,43.684,32.562
192.771612167,43.686,32.562
193.770047188,43.648,32.562
194.771004200,43.692,32.562
195.769439220,43.712,32.562
196.770396709,43.686,32.562
197.771353245,43.698,32.562
198.769788265,43.668,32.562
199.770744801,43.674,32.562
200.771702290,43.644,32.562
201.770137310,43.664,32.562
202.771093845,43.69,32.562
203.769529343,43.67,32.562
204.770485401,43.68,32.56
205.771441936,43.71,32.56
206.769876957,43.664,32.56
207.770833015,43.642,32.56
208.769267559,43.656,32.558
209.770223618,43.67,32.558
210.771180153,43.69,32.558
211.769614696,43.626,32.558
212.770570278,43.64,32.558
213.771526337,43.666,32.558
214.769960880,43.652,32.558
215.770916939,43.63,32.558
216.769351482,43.71,32.556
217.770306587,43.636,32.556
