Time (s),W,X,Y,Z
0.008079052,0.2712396,-0.5919883,0.6875622,0.3160137
0.042839050,0.2720589,-0.5910258,0.6876912,0.3168296
0.075116158,0.2726419,-0.5900224,0.6880617,0.3173938
0.107393265,0.2727194,-0.5893622,0.6886291,0.3173233
0.142153263,0.2724164,-0.5889993,0.6892963,0.316808
0.174430370,0.2720964,-0.5886331,0.6898662,0.3165232
0.209186554,0.2722265,-0.5882237,0.6901367,0.3165829
0.241464138,0.272622,-0.5879064,0.6901991,0.3166956
0.276223660,0.2725489,-0.5867714,0.6910445,0.3170199
0.308500767,0.2723652,-0.5859706,0.6917539,0.3171118
0.340777874,0.2722128,-0.5853609,0.6923389,0.317092
0.375537872,0.2722973,-0.5851353,0.6925666,0.3169387
0.407811165,0.2723393,-0.5847861,0.6929223,0.3167694
0.442571640,0.272293,-0.5843433,0.6934083,0.3165628
0.474848747,0.2721446,-0.5837111,0.6939883,0.3165854
0.509608746,0.2720095,-0.5830824,0.6945639,0.3165981
0.541885853,0.2718519,-0.5826396,0.6950239,0.3165389
0.574162960,0.2718082,-0.5825453,0.6951848,0.316397
0.608918667,0.2717502,-0.5820856,0.6955512,0.3164875
0.641195774,0.2717673,-0.5815611,0.6959094,0.3166493
0.675956249,0.2719483,-0.5812754,0.6961023,0.316595
0.708233833,0.271983,-0.5807857,0.6964881,0.3166152
0.742993355,0.2720438,-0.58022,0.6969129,0.3166654
0.775270462,0.2720901,-0.5796984,0.6973137,0.3166986
0.807543755,0.2721702,-0.579317,0.6976128,0.3166692
0.842303753,0.2723697,-0.5788693,0.6978707,0.3167478
0.874580860,0.2726739,-0.5784561,0.6980054,0.3169444
0.909341335,0.2729783,-0.5782335,0.6980689,0.3169488
0.941618443,0.2730379,-0.5782418,0.6981053,0.3168018
0.976378441,0.2728463,-0.5783223,0.6981592,0.316701
1.008651257,0.2723967,-0.5779176,0.6985946,0.3168665
1.040928841,0.2720098,-0.5775636,0.6989571,0.3170452
1.075688362,0.2717727,-0.5773592,0.6992556,0.3169625
1.107965469,0.2719592,-0.5769988,0.6994718,0.3169815
1.142725945,0.2725576,-0.5764489,0.6994709,0.3174699
1.175003529,0.2729957,-0.575895,0.6994796,0.3180789
1.209759235,0.2730958,-0.5755178,0.6996137,0.318381
1.242036343,0.2728915,-0.5751906,0.6999832,0.3183352
1.274313450,0.2724038,-0.5749161,0.7005014,0.318109
1.309073448,0.2718024,-0.5748643,0.7010076,0.3176009
1.341350555,0.2711231,-0.5748521,0.7015889,0.3169194
1.376110554,0.2704048,-0.5747944,0.7023646,0.315918
1.408383370,0.2700344,-0.5745631,0.7030227,0.3151912
1.443143845,0.2702896,-0.5741836,0.7031017,0.3154874
1.475420952,0.2708586,-0.5737602,0.7027819,0.3164812
1.507698536,0.2712369,-0.5735722,0.7025315,0.317053
1.542458058,0.2712979,-0.5736364,0.7025692,0.3168012
1.574735165,0.2714574,-0.5737345,0.7025733,0.3164774
1.609491348,0.2717312,-0.5736917,0.7024508,0.3165918
1.641768455,0.2717255,-0.5732937,0.7026384,0.3169014
1.674045563,0.2715057,-0.5729883,0.7029609,0.3169269
1.708806038,0.271322,-0.5731228,0.7030478,0.3166481
1.741083145,0.2711188,-0.5730076,0.7032186,0.3166513
1.775843143,0.2711308,-0.5726836,0.7034325,0.3167524
1.808116436,0.2711314,-0.5722845,0.7037569,0.3167525
1.842875957,0.2710707,-0.5721247,0.7039883,0.3165787
1.875153065,0.2709224,-0.5721281,0.7041394,0.3163634
1.907430172,0.270844,-0.5721396,0.7042109,0.3162508
1.942190647,0.2708378,-0.5721261,0.704187,0.3163337
1.974468231,0.2708915,-0.572138,0.704119,0.3164172
2.009223938,0.2708853,-0.5722178,0.7040621,0.316405
2.041501045,0.2709087,-0.5723929,0.703984,0.3162418
2.076261044,0.270934,-0.5722754,0.7040489,0.3162883
2.108538151,0.2709663,-0.5718172,0.704288,0.316557
2.140815258,0.2710717,-0.5716196,0.7043876,0.3166025
2.175575733,0.2711142,-0.5716582,0.7043884,0.3164941
2.207849026,0.2711813,-0.5718389,0.7042626,0.3163908
2.242608547,0.2711628,-0.5716228,0.7043871,0.3165191
2.274886131,0.2710496,-0.5714357,0.7045638,0.3165611
2.309645653,0.2708407,-0.571287,0.704818,0.3164423
2.341922760,0.270646,-0.5709651,0.7051694,0.3164071
2.374199867,0.2706159,-0.5706955,0.7053751,0.3164608
2.408956528,0.2707286,-0.5705054,0.7054239,0.3165981
2.441233635,0.2707708,-0.5703251,0.7055185,0.3166759
2.475993633,0.2706876,-0.5701146,0.7057121,0.3166949
2.508270741,0.2706056,-0.5699064,0.705881,0.3167633
2.543030739,0.270598,-0.5696605,0.7060097,0.3169252
2.575307846,0.2706589,-0.5696416,0.7059921,0.3169466
2.607581139,0.2706795,-0.569701,0.7059868,0.316834
2.642341614,0.2706132,-0.5695869,0.7060832,0.3168809
2.674618721,0.2705539,-0.5692939,0.7062703,0.317041
2.709378242,0.2703539,-0.5688944,0.7066095,0.3171727
2.741655827,0.2701274,-0.568535,0.7069786,0.317188
2.776415348,0.2699519,-0.5681793,0.7072933,0.3172731
2.808688641,0.2698625,-0.567904,0.7075022,0.3173758
2.840965748,0.2698433,-0.5677944,0.7076125,0.3173425
2.875726223,0.2699219,-0.5678068,0.7075639,0.3173621
2.908003330,0.270005,-0.5678239,0.7074764,0.3174559
2.942763329,0.270067,-0.5679117,0.7074139,0.3173852
2.975040436,0.269986,-0.5678273,0.7075413,0.3173212
3.007313728,0.2699215,-0.5677007,0.7076579,0.3173423
3.042073250,0.269926,-0.5675686,0.7077362,0.3174006
3.074350834,0.2699347,-0.5674569,0.707813,0.3174215
3.109110355,0.270004,-0.5674346,0.7078054,0.3174191
3.141388416,0.2700797,-0.567485,0.7077473,0.317394
3.176147938,0.2700478,-0.5673757,0.7078574,0.3173711
3.208421230,0.2699811,-0.5672766,0.707956,0.3173852
3.240698338,0.2699388,-0.5671971,0.7080074,0.3174486
3.275458336,0.270008,-0.5673332,0.7078952,0.3173967
3.307735443,0.2700243,-0.5674456,0.7078295,0.3173288
3.342495442,0.2699459,-0.5675372,0.707812,0.3172704
3.374772549,0.2698738,-0.5674278,0.7078962,0.3173395
3.409529209,0.2698648,-0.5671612,0.708065,0.3174473
3.441806316,0.269829,-0.566829,0.7083079,0.3175291
3.474083424,0.2697083,-0.5664627,0.708599,0.3176357
3.508842945,0.2697262,-0.5664268,0.7086307,0.317614
3.541120529,0.2697746,-0.5664963,0.7085766,0.3175696
3.575880051,0.2697399,-0.5663702,0.7086499,0.3176602
3.608153343,0.2698197,-0.5663981,0.7085804,0.3176982
3.642913818,0.2698283,-0.5665153,0.7084941,0.3176742
3.675190926,0.2697424,-0.5666136,0.7085059,0.3175453
3.707468033,0.2697392,-0.5666922,0.7084715,0.3174845
3.742228031,0.2698736,-0.5666834,0.7084032,0.3175389
3.774505138,0.2699248,-0.5665386,0.7084664,0.3176125
3.809260845,0.2698933,-0.5663687,0.7086422,0.3175499
3.841538429,0.2698779,-0.5662302,0.7087739,0.3175159
3.876298904,0.2698997,-0.5661154,0.7088169,0.3176064
3.908576012,0.2700222,-0.5662969,0.7086345,0.3175855
3.940853119,0.2700379,-0.5664514,0.7085548,0.3174745
3.975613117,0.2699181,-0.5664047,0.7086472,0.3174537
4.007885933,0.2697858,-0.5661723,0.7088385,0.3175535
4.042645931,0.2696957,-0.5658894,0.7090384,0.317688
4.074923039,0.2696093,-0.5656174,0.7092494,0.3177744
4.109683037,0.2696677,-0.5656974,0.7091956,0.3177026
4.141960144,0.2697212,-0.56572,0.7091755,0.3176621
4.174237251,0.2697362,-0.5656555,0.7092143,0.3176776
4.208993912,0.2698658,-0.5657969,0.7090634,0.3176526
4.241271019,0.2698628,-0.565668,0.7091183,0.3177622
4.276030541,0.2696624,-0.5653629,0.7093723,0.3179081
4.308308125,0.2696784,-0.5656753,0.7092039,0.3177146
4.343067646,0.2696758,-0.5657752,0.7091751,0.3176031
4.375344753,0.2697355,-0.5656651,0.7091951,0.3177038
4.407618046,0.2699053,-0.5657362,0.7090486,0.3177602
4.442378521,0.2698978,-0.5656816,0.7091079,0.3177314
4.474655628,0.2698454,-0.5655801,0.7092433,0.3176543
4.509415627,0.2698075,-0.5654568,0.7093171,0.3177409
4.541692734,0.2698841,-0.5656046,0.70917,0.3177412
4.573969841,0.2699814,-0.5658404,0.7089839,0.317654
4.608725548,0.269931,-0.5657628,0.7090658,0.3176523
4.641003132,0.2699373,-0.5658156,0.7090044,0.3176903
4.675762653,0.2699658,-0.5658968,0.7089257,0.3176971
4.708039761,0.2698745,-0.5657847,0.7090477,0.3177018
4.742800236,0.2697918,-0.5656571,0.7091839,0.3176953
4.775077820,0.2697724,-0.5655537,0.7092676,0.3177092
4.807350635,0.2698219,-0.5654509,0.7093178,0.3177378
4.842110634,0.2698501,-0.5653313,0.7093697,0.3178109
4.874387741,0.2698564,-0.5652416,0.7093942,0.3179101
4.909196377,0.2697691,-0.565228,0.7094125,0.3179679
4.941473484,0.2694783,-0.5648965,0.7097479,0.3180552
4.976233482,0.2692566,-0.5646294,0.7100052,0.3181431
5.008506298,0.2692169,-0.5645134,0.7100726,0.3182317
5.040783405,0.2692616,-0.5644193,0.7101016,0.3182963
5.075544357,0.2693021,-0.5644304,0.7100672,0.318319
5.107821465,0.2693052,-0.5645713,0.7099854,0.3182488
5.142580986,0.269237,-0.5645312,0.7100784,0.3181704
5.174858093,0.2692324,-0.5644639,0.7101378,0.3181606
5.209614277,0.2692525,-0.5644034,0.7101216,0.3182873
5.241891384,0.2692223,-0.564346,0.7101613,0.3183261
5.274168491,0.2690943,-0.564305,0.7102631,0.3182798
5.308928967,0.2689163,-0.5641978,0.7103894,0.3183385
5.341206074,0.2687258,-0.5639554,0.710603,0.318452
5.375966072,0.2685462,-0.5638095,0.7108168,0.3183847
5.408239365,0.2683011,-0.5638027,0.710989,0.3182188
5.442998886,0.2679544,-0.5636443,0.7112294,0.3182547
5.475275993,0.2677397,-0.563796,0.7112259,0.3181746
5.507553578,0.2674187,-0.5640113,0.711271,0.3179619
5.542313099,0.2671628,-0.5637363,0.7115344,0.3180752
5.574590206,0.2675029,-0.5635877,0.7113467,0.3184723
5.609346867,0.2682569,-0.5634608,0.7109283,0.3189964
5.641623974,0.2688386,-0.5635301,0.71057,0.3191825
5.676383972,0.2690618,-0.5634078,0.7106275,0.3190824
5.708661079,0.2689045,-0.5632753,0.7109301,0.3187748
5.740938187,0.2685706,-0.5631152,0.7113134,0.3184837
5.775698185,0.2685209,-0.56326,0.7113029,0.3182932
5.807971001,0.2687655,-0.5634677,0.711037,0.3183133
5.842730999,0.2690814,-0.5637877,0.710696,0.3182411
5.875008106,0.2691232,-0.5637643,0.7106996,0.3182391
5.909768581,0.2691519,-0.5636986,0.7107197,0.3182866
5.942045689,0.2690581,-0.563711,0.7108403,0.3180743
5.974323273,0.2686719,-0.5638084,0.7110974,0.3176537
6.009078979,0.268132,-0.5642506,0.7111947,0.3171058
6.041356087,0.2677212,-0.5649122,0.7109548,0.316813
6.076116085,0.2678017,-0.5648427,0.7107741,0.3172741
6.108393192,0.26866,-0.5643153,0.7104486,0.3182146
6.140670300,0.269852,-0.5637512,0.7100007,0.3192038
6.175430775,0.270686,-0.5630909,0.7098615,0.3199721
