Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.008079052,-3.30591,0.3131161,-0.01765209,0.01889736,0.7595863,-0.6569632,-2.866981,-25.5916,9.105431,1008.271
0.042839050,-4.421436,0.3718189,0.1042293,0.01794346,0.7567062,-0.6492425,-2.866981,-25.5916,9.105431,1008.272
0.075116158,-2.004463,0.1370078,0.2261107,0.02907627,0.7543412,-0.6425118,-3.229758,-25.58762,9.110947,1008.272
0.107393265,1.218167,-0.3326144,0.2261107,0.02519977,0.7562512,-0.6468435,-2.878966,-25.59724,8.669703,1008.272
0.142153263,2.085799,-0.03910053,-0.1395335,0.02472282,0.7548111,-0.6429831,-2.878966,-25.59724,8.669703,1008.272
0.174430370,0.5984308,-0.3326144,-0.3832963,0.02134439,0.7509186,-0.6463822,-2.879627,-25.23272,8.665088,1008.272
0.209186554,-1.384726,-0.09780331,-0.3223556,0.02423906,0.7523656,-0.6502476,-2.515528,-25.96574,8.668804,1008.272
0.241464138,-1.260779,0.07830502,0.04328861,0.02710738,0.7644539,-0.6555029,-2.515528,-25.96574,8.668804,1008.272
0.276223660,-0.2072268,0.07830502,-0.1395335,0.02277351,0.7581636,-0.6516618,-3.581211,-25.21348,9.547573,1008.271
0.308500767,0.3505361,-0.1565061,0.04328861,0.02472704,0.7533627,-0.6420245,-3.229758,-25.58762,9.110947,1008.271
0.340777874,0.2885625,-0.2739116,-0.1395335,0.02519973,0.7557623,-0.6482966,-2.516189,-25.60123,8.664188,1008.271
0.375537872,0.04066784,-0.03910053,-0.07859279,0.02229296,0.75622,-0.6536056,-2.516189,-25.60123,8.664188,1008.271
0.407811165,0.4744835,0.1370078,0.2870514,0.01890009,0.759109,-0.6550321,-2.878966,-25.59724,8.669703,1008.271
0.442571640,0.4744835,-0.09780331,-0.01765209,0.024226,0.7567095,-0.653607,-3.217772,-25.58198,9.546674,1008.271
0.474848747,0.1026415,-0.03910053,-0.07859279,0.02470869,0.7606167,-0.6434335,-3.217772,-25.58198,9.546674,1008.271
0.509608746,0.1646152,-0.2152089,-0.07859279,0.0271351,0.7557728,-0.6468504,-3.242404,-25.22873,8.670604,1008.271
0.541885853,0.4125098,-0.1565061,-0.1395335,0.02520651,0.7518811,-0.6512193,-2.515528,-25.96574,8.668804,1008.271
0.574162960,0.2265888,-0.2739116,-0.2004742,0.01793252,0.7581269,-0.6584197,-2.515528,-25.96574,8.668804,1008.271
0.608918667,-0.3931478,-0.1565061,-0.2004742,0.02036146,0.7552482,-0.6531235,-3.229096,-25.95213,9.115562,1008.271
0.641195774,-0.4551215,0.01960224,-0.01765209,0.02082925,0.7605598,-0.6569618,-2.516851,-25.23671,8.659573,1008.271
0.675956249,-0.1452532,0.1957106,0.2870514,0.01890985,0.7576834,-0.6473053,-2.516851,-25.23671,8.659573,1008.269
0.708233833,-0.2692005,0.3718189,0.2261107,0.02182423,0.7538366,-0.642499,-3.241081,-25.95777,8.679835,1008.269
0.742993355,-0.2072268,0.2544134,0.1042293,0.02665146,0.7547937,-0.6497555,-3.241081,-25.95777,8.679835,1008.273
0.775270462,-0.1452532,0.1957106,0.2261107,0.02373946,0.7586503,-0.6516611,-3.241081,-25.95777,8.679835,1008.273
0.807543755,-0.3931478,0.1957106,0.2870514,0.0247073,0.7581675,-0.6521494,-2.866319,-25.95612,9.110047,1008.273
0.842303753,-0.8889371,0.1370078,0.3479922,0.02083404,0.7610682,-0.6497073,-2.878304,-25.96176,8.67432,1008.273
0.874580860,-1.570647,0.3718189,0.2261107,0.02036348,0.7557452,-0.6492532,-2.878304,-25.96176,8.67432,1008.273
0.909341335,-0.08327948,0.01960224,-0.1395335,0.02374817,0.7542884,-0.6536197,-2.503542,-25.96011,9.104531,1008.273
0.941618443,0.4744835,-0.5087227,-0.5661184,0.02616374,0.7567298,-0.6492601,-2.504204,-25.59559,9.099916,1008.275
0.976378441,0.6604044,-0.8609394,-0.9927034,0.02615864,0.7571973,-0.6540917,-2.504204,-25.59559,9.099916,1008.275
1.008651257,0.4125098,-0.6848311,-0.870822,0.02327214,0.7543182,-0.6444331,-3.603197,-26.31829,8.689966,1008.275
