Time (s),W,X,Y,Z
0.000000000,0.2706007,0.6467188,-0.651803,0.2833911
0.032557487,0.2705639,0.6469225,-0.6516634,0.2832824
0.065115452,0.2704791,0.6472586,-0.6514885,0.2829975
0.100177765,0.2705039,0.6475489,-0.6512849,0.2827787
0.132735729,0.2709541,0.6485256,-0.6502906,0.2823971
0.165292740,0.2712819,0.6492318,-0.6495517,0.2821601
0.197846890,0.2714394,0.6496644,-0.6491473,0.2819435
0.232909203,0.2715013,0.650193,-0.648743,0.281596
0.265467167,0.2714856,0.6506175,-0.6484628,0.281276
0.298024654,0.2715009,0.6510418,-0.6481645,0.2809664
0.333086491,0.2717868,0.6517554,-0.6474867,0.2805981
0.365644455,0.2721818,0.6523884,-0.6467931,0.2803442
0.398198128,0.2725492,0.6529639,-0.6461179,0.2802043
0.433259964,0.2728919,0.6535828,-0.6454062,0.2800677
0.465817928,0.2731098,0.6541083,-0.6448777,0.279846
0.498375893,0.2731713,0.6545624,-0.6445205,0.2795471
0.533438206,0.273331,0.6550148,-0.6441035,0.2792922
0.565996170,0.2735067,0.6550635,-0.6439986,0.2792483
0.598548889,0.2736093,0.6550658,-0.6439747,0.2791966
0.631106854,0.2736228,0.6554515,-0.643703,0.2789052
0.666169166,0.2734937,0.6558933,-0.6434877,0.2784896
0.698727131,0.2734647,0.6562364,-0.643244,0.2782728
0.731284141,0.2735113,0.6562471,-0.643181,0.2783471
0.766346931,0.2736722,0.6564857,-0.6428494,0.2783924
0.798900604,0.2737918,0.6568163,-0.64247,0.2783708
0.831458569,0.2738431,0.6569204,-0.6423261,0.2784067
0.866520405,0.2740978,0.6573874,-0.6419617,0.2778942
0.899077892,0.273869,0.6581548,-0.6419667,0.2762867
0.931635857,0.2728519,0.6589651,-0.6426761,0.2737005
0.966698170,0.2718216,0.6599792,-0.643288,0.2708297
0.999251366,0.2715314,0.6606173,-0.6436858,0.268611
1.031809330,0.2715614,0.6609409,-0.6440977,0.2667909
1.064367294,0.2719152,0.6609603,-0.644334,0.2658098
1.099429607,0.2736144,0.660739,-0.6434328,0.2667978
1.131987572,0.2773876,0.6591468,-0.6418939,0.270521
1.164544582,0.2832279,0.6563517,-0.6397753,0.276224
1.199603081,0.2917316,0.6516936,-0.636677,0.2854089
1.232161045,0.3013841,0.6459728,-0.6325638,0.2972836
1.264718533,0.3125691,0.6389061,-0.6263998,0.3136092
1.299780369,0.3190381,0.6346796,-0.621465,0.3252776
1.332338333,0.3185798,0.635072,-0.6206909,0.326437
1.364895821,0.3172086,0.6366854,-0.6205193,0.3249522
1.399953842,0.3163082,0.6382419,-0.620308,0.3231747
1.432511807,0.3162755,0.6386254,-0.620212,0.3226331
1.465069294,0.3169407,0.6388006,-0.6195288,0.3229464
1.500132084,0.3178186,0.638958,-0.6186709,0.3234161
1.532689095,0.3185223,0.6393073,-0.6178104,0.3236782
1.565247059,0.3188226,0.639672,-0.6172559,0.3237201
1.597800732,0.3186673,0.6401401,-0.6170441,0.3233515
1.632863045,0.3181381,0.6406967,-0.6170697,0.3227208
1.665421009,0.3179602,0.6416368,-0.6165458,0.322029
1.697978020,0.3181496,0.6420034,-0.6161618,0.3218456
1.733040810,0.3185787,0.6414761,-0.6162345,0.3223331
1.765598297,0.3192451,0.641669,-0.6156301,0.3224449
1.798152447,0.319631,0.6420485,-0.6150516,0.322411
1.833213806,0.3197881,0.6424456,-0.6146204,0.3222865
1.865771770,0.3199643,0.6431687,-0.6139395,0.3219672
1.898329735,0.3202062,0.6438496,-0.613288,0.3216073
1.933391571,0.3205751,0.6444251,-0.612666,0.3212725
1.965949059,0.3209906,0.6448593,-0.6121438,0.3209817
1.998503208,0.3211544,0.6450903,-0.6119362,0.320749
2.031060696,0.3210213,0.6451725,-0.6119822,0.3206297
2.066122532,0.3210321,0.6454967,-0.6117364,0.3204353
2.098680496,0.3211285,0.645814,-0.6114148,0.3203126
2.131238461,0.3212521,0.6460998,-0.6111034,0.320207
2.166300774,0.3212591,0.6462466,-0.6109571,0.3201824
2.198854446,0.3213837,0.646412,-0.6107591,0.3201017
2.231411934,0.3215904,0.6466944,-0.6104292,0.3199528
2.266474247,0.3216274,0.6466653,-0.6104473,0.3199398
2.299032211,0.3217061,0.6467695,-0.6103248,0.3198837
2.331589699,0.3218767,0.6469343,-0.6100985,0.3198107
2.366651535,0.3219791,0.6469005,-0.6100193,0.319927
2.399205208,0.3221288,0.6471126,-0.6097274,0.3199037
2.431763172,0.3222413,0.647419,-0.6094216,0.3197533
2.464321137,0.3222922,0.6476572,-0.6091911,0.3196593
2.499382973,0.3225701,0.6480732,-0.6086471,0.3195713
2.531940460,0.322832,0.6485448,-0.6081221,0.3193498
2.564498425,0.3228537,0.6488796,-0.6078624,0.3191424
2.599556446,0.3228993,0.6491601,-0.6076261,0.3189756
2.632113934,0.3231018,0.6493282,-0.6073613,0.3189327
2.664671898,0.323274,0.649458,-0.6071792,0.3188407
2.699734211,0.3231351,0.6493287,-0.6073919,0.3188395
2.732291698,0.3230117,0.6490282,-0.6076946,0.3189996
2.764849186,0.3231128,0.648951,-0.6076562,0.3191274
2.799907684,0.3232615,0.6490466,-0.6074869,0.319105
2.832465649,0.3233363,0.6493304,-0.607215,0.3189692
2.865022659,0.3234383,0.6495479,-0.6070006,0.318831
2.900085449,0.3234015,0.6494625,-0.6070901,0.3188715
2.932642937,0.3232954,0.6493449,-0.6072542,0.3189062
2.965200901,0.3233675,0.6496242,-0.6070238,0.3187034
2.997754097,0.3235503,0.64999,-0.6066487,0.3184858
3.032816410,0.3237942,0.650309,-0.6062407,0.3183637
3.065374374,0.3238142,0.6502397,-0.6062476,0.3184718
3.097931862,0.3238351,0.6504201,-0.6060829,0.3183958
3.132993698,0.3239376,0.6507093,-0.6058099,0.3182199
3.165551662,0.3241419,0.6511511,-0.6053326,0.3180159
3.198105335,0.3242503,0.6511526,-0.6052409,0.3180775
3.233167172,0.3243487,0.6511495,-0.6051861,0.3180876
3.265725136,0.3244328,0.6514347,-0.6049337,0.3178981
3.298283100,0.3244074,0.651477,-0.6049419,0.3178215
3.333344936,0.3243933,0.6513484,-0.6050765,0.3178436
3.365902424,0.3243569,0.6512404,-0.6052209,0.3178268
3.398456574,0.3242278,0.6512088,-0.6053518,0.317774
3.431014061,0.3242255,0.6513756,-0.6051902,0.3177423
3.466075897,0.3245696,0.6517853,-0.6045991,0.3176759
3.498633862,0.3246893,0.651773,-0.6044962,0.3177749
3.531191826,0.3245772,0.6516739,-0.6046454,0.3178089
3.566254139,0.3243148,0.6514266,-0.6050109,0.317888
3.598807335,0.3243783,0.6515499,-0.6048903,0.3178003
3.631364823,0.324468,0.6516491,-0.6047632,0.3177468
3.666427612,0.3244294,0.6515913,-0.6048481,0.3177431
3.698985100,0.3244047,0.6514856,-0.604949,0.317793
3.731542587,0.324422,0.6514036,-0.604978,0.3178885
3.766604900,0.3244324,0.6513332,-0.6050158,0.3179503
3.799158573,0.3243815,0.6512771,-0.6050605,0.3180319
3.831716537,0.3243636,0.6512915,-0.6049833,0.3181673
3.866778374,0.3243949,0.6512651,-0.6049415,0.318269
3.899336338,0.3243743,0.6512855,-0.6049376,0.3182556
3.931893826,0.3243045,0.6513062,-0.6049859,0.3181927
3.964451790,0.3243257,0.6512384,-0.605036,0.3182144
3.999509335,0.3243351,0.6511636,-0.6050934,0.3182489
4.032067299,0.3242848,0.6511143,-0.6051888,0.3182194
4.064625263,0.3241853,0.651078,-0.6052994,0.3181851
4.099687099,0.3242051,0.6510307,-0.6053039,0.3182529
4.132244587,0.3243217,0.6511279,-0.6051192,0.3182864
4.164802551,0.3244452,0.6514096,-0.6048049,0.3181818
4.199860573,0.324243,0.6511172,-0.6051517,0.3183269
4.232418060,0.3241725,0.6510016,-0.6052881,0.3183754
4.264976025,0.3241683,0.6509486,-0.6053554,0.3183606
4.300038338,0.3242797,0.651159,-0.6051518,0.3182034
4.332595825,0.3243122,0.6512,-0.6051116,0.3181633
4.365153313,0.3243157,0.6511106,-0.6051863,0.3182
4.397707462,0.3244229,0.651266,-0.6050149,0.3180989
4.432769775,0.3244322,0.6512971,-0.6049888,0.3180755
4.465326786,0.3244148,0.6513314,-0.6049206,0.3181528
4.497884750,0.3248562,0.6520014,-0.6041114,0.3178677
4.532947064,0.325137,0.6524726,-0.6035682,0.3176451
4.565504074,0.3251882,0.6527327,-0.6033527,0.3174677
4.598058224,0.3249892,0.6524706,-0.6036885,0.3175716
4.633120537,0.3249866,0.652427,-0.6037489,0.3175492
4.665678501,0.3250416,0.6525874,-0.6036142,0.3174198
4.698235512,0.3248415,0.6522473,-0.6040177,0.3175558
4.733297825,0.3247835,0.6520445,-0.6041918,0.3177006
4.765855789,0.3248391,0.6519486,-0.6042156,0.3177952
4.798409462,0.3249153,0.6521565,-0.6039979,0.3177045
4.830966949,0.3249916,0.6523886,-0.6037706,0.3175822
4.866029263,0.3250757,0.652599,-0.6035635,0.3174571
4.898614883,0.325047,0.6525145,-0.6036801,0.317439
4.931172848,0.3250802,0.6526269,-0.603622,0.3172837
4.966235161,0.3251858,0.6528677,-0.603407,0.3170895
4.998789310,0.3254243,0.6532766,-0.6029499,0.316872
5.031346321,0.3256083,0.6534728,-0.6026817,0.3167886
5.066408634,0.3257237,0.6537275,-0.60242,0.3166422
5.098966599,0.3258625,0.6541354,-0.6020437,0.3163725
5.131523609,0.3258289,0.6541773,-0.6020113,0.3163821
5.166586399,0.3259035,0.6540964,-0.601973,0.3165456
5.199140072,0.3260596,0.6542186,-0.601782,0.3164952
5.231698036,0.325866,0.6540595,-0.6020499,0.3165142
5.266759396,0.3256924,0.6538631,-0.6023431,0.3165407
5.299317360,0.3258113,0.6539354,-0.6022449,0.3164559
5.331875324,0.3259496,0.6540629,-0.6020882,0.3163478
5.364432812,0.3259987,0.6540759,-0.6020802,0.3162858
5.399501324,0.3259309,0.6539587,-0.6021811,0.3164058
5.432059288,0.3262502,0.654152,-0.6018357,0.3163345
5.464617252,0.3265338,0.6542109,-0.6016329,0.3163057
5.499679089,0.3264307,0.6537343,-0.6021081,0.3164934
5.532236576,0.3262391,0.6535649,-0.6024104,0.3164654
5.564794541,0.3259382,0.6536036,-0.6026527,0.3162341
5.599852562,0.3256152,0.6539718,-0.6026053,0.3158958
5.632410050,0.3254308,0.6542771,-0.6024482,0.3157532
5.664968014,0.3254548,0.6542535,-0.6023138,0.3160336
5.700029850,0.3256882,0.6537237,-0.6023729,0.3167759
5.732587814,0.3260829,0.6534088,-0.6022354,0.3172806
5.765145302,0.3261438,0.6532679,-0.602325,0.3173383
5.797699451,0.3259089,0.6533774,-0.6024876,0.3170455
5.832760811,0.3256268,0.6533478,-0.6027896,0.316822
5.865318775,0.3256755,0.653235,-0.6028602,0.3168703
5.897876739,0.3258608,0.6530182,-0.602918,0.3170164
5.932938576,0.3261032,0.6530372,-0.6027182,0.3171079
5.965496063,0.3263979,0.653086,-0.6024138,0.317283
5.998050213,0.3269112,0.6532654,-0.6018364,0.3174806
6.033112526,0.3274322,0.6536591,-0.6011996,0.3173397
6.065669537,0.3272029,0.6539775,-0.6013045,0.3167212
6.098227501,0.3263203,0.6543429,-0.6017439,0.3160417
6.133289814,0.3255723,0.6544236,-0.6021282,0.3159141
6.165847302,0.3254691,0.6546439,-0.6018671,0.3160617
6.198400974,0.3256331,0.6550505,-0.6012584,0.3162086
6.230958939,0.3264245,0.6555462,-0.6002636,0.3162555
6.266021252,0.3274591,0.6552624,-0.5998388,0.3165796
6.298578262,0.3277852,0.654816,-0.6001211,0.3166312
6.331136227,0.3275155,0.6552727,-0.6001983,0.3158181
6.366198540,0.3270005,0.6557122,-0.6003566,0.3151378
6.398934364,0.3270318,0.6557544,-0.600232,0.3152547
6.431491375,0.327583,0.6555952,-0.59974,0.315949
6.466554165,0.3279084,0.655822,-0.5990822,0.3163885
6.499111652,0.3277102,0.6564224,-0.5986406,0.3161845
6.531669617,0.3271905,0.6564051,-0.5989997,0.3160785
6.566731453,0.3273082,0.6559187,-0.5994055,0.3161973
6.599285126,0.3277498,0.6553855,-0.5996069,0.3164638
6.631843090,0.32786,0.6550944,-0.5998089,0.3165692
6.666904926,0.3273822,0.6550944,-0.6002142,0.3162955
6.699462891,0.3269054,0.6549678,-0.6006503,0.3162231
6.732020378,0.3265393,0.6546214,-0.6010659,0.3165286
6.764577866,0.3266634,0.6548393,-0.6006366,0.3167645
6.799636364,0.3270478,0.655322,-0.5998068,0.3169418
6.832193851,0.3273137,0.6554042,-0.5993942,0.3172781
6.864751816,0.3274844,0.6551528,-0.5994196,0.3175731
