Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.6013272,0.1828315,-0.3878746,0.01458036,-0.7185837,-0.6994101,0.4101028,19.68908,29.36906,1008.057
0.032557487,-0.8138043,0.0638696,-0.3266752,0.0150343,-0.7161391,-0.7013067,-0.3212075,19.68637,29.81751,1008.055
0.065115452,-0.6907494,-0.05509228,0.16292,0.0145357,-0.7156485,-0.7037157,-0.3228385,19.68379,29.37144,1008.057
0.100177765,-0.01394739,-0.05509228,-0.08187761,0.02142019,-0.7218654,-0.706234,-0.3228385,19.68379,29.37144,1008.057
0.132735729,0.3552173,-0.1145732,0.04052119,0.01650558,-0.7166147,-0.6993819,0.7749424,19.68915,28.9218,1008.057
0.165292740,0.170635,0.1233505,-0.2042764,0.01697517,-0.7141986,-0.6949951,0.04931355,19.32262,29.37286,1008.058
0.197846890,-0.3215847,-0.1740542,-0.08187761,0.01508903,-0.720044,-0.6974993,0.04931355,19.32262,29.37286,1008.06
0.232909203,-0.7522769,0.0638696,0.04052119,0.01359608,-0.7195287,-0.7081243,0.04363227,19.68644,29.37025,1008.06
0.265467167,-0.629222,-0.05509228,-0.02067821,0.01209255,-0.7156649,-0.7070972,0.04526329,19.68902,29.81632,1008.062
0.298024654,-0.4446396,0.004388655,0.16292,0.01644154,-0.7107905,-0.6978429,0.04526329,19.68902,29.81632,1008.062
0.333086491,0.2321624,-0.1145732,0.2241194,0.01355858,-0.7151797,-0.7027408,0.4101028,19.68908,29.36906,1008.062
0.365644455,0.6628546,0.004388655,0.16292,0.009242086,-0.7201135,-0.6989449,0.3987403,20.4167,29.36384,1008.06
0.398198128,0.6013272,0.3017934,-0.2654758,0.0135855,-0.7161801,-0.6964722,0.3987403,20.4167,29.36384,1008.058
0.433259964,0.5397997,0.004388655,-0.08187761,0.01213683,-0.7190751,-0.7052158,0.4101028,19.68908,29.36906,1008.058
0.465817928,-0.1985298,-0.2335351,0.2241194,0.01987878,-0.7141276,-0.7022475,0.03795099,20.05025,29.36764,1008.058
0.498375893,-0.5061671,-0.293016,0.1017206,0.01846831,-0.7189947,-0.7047373,0.03063869,20.41147,28.91895,1008.054
0.533438206,0.2321624,0.004388655,0.16292,0.0131232,-0.7200363,-0.704748,0.03063869,20.41147,28.91895,1008.054
0.565996170,0.6013272,-0.352497,-0.08187761,0.01166997,-0.7195937,-0.6994227,-0.3228385,19.68379,29.37144,1008.056
0.598548889,-0.07547484,-0.1145732,0.1017206,0.01259995,-0.7156959,-0.6988807,0.04363227,19.68644,29.37025,1008.056
0.631106854,-1.059914,0.0638696,0.04052119,0.01405687,-0.7175722,-0.7095451,0.04363227,19.68644,29.37025,1008.056
0.666169166,-1.182969,0.004388655,-0.02067821,0.01265925,-0.7229384,-0.7091422,0.03795099,20.05025,29.36764,1008.058
0.698727131,0.04758007,0.1233505,-0.02067821,0.01650001,-0.7175558,-0.7061635,-0.3244696,19.68121,28.92537,1008.058
0.731284141,0.6013272,0.3017934,-0.08187761,0.01507129,-0.7181091,-0.6955363,-0.3244696,19.68121,28.92537,1008.061
0.766346931,0.4782723,0.004388655,-0.2042764,0.0145687,-0.7180868,-0.7018194,0.04200125,19.68385,28.92418,1008.063
0.798900604,0.4782723,0.2423124,-0.3266752,0.01457149,-0.7176163,-0.6984286,-0.3244696,19.68121,28.92537,1008.058
0.831458569,0.3552173,-0.1145732,0.1017206,0.01983196,-0.7078591,-0.6915175,-0.3244696,19.68121,28.92537,1008.058
0.866520405,-2.659628,-1.304192,1.448107,0.01546181,-0.7060363,-0.6774676,0.4084718,19.6865,28.92299,1008.06
0.899077892,-7.889462,-2.374849,1.998902,0.01653566,-0.7166697,-0.6872984,0.03795099,20.05025,29.36764,1008.06
0.931635857,-10.35056,-2.910177,2.855693,0.01357993,-0.7171212,-0.7032538,0.03795099,20.05025,29.36764,1008.06
0.966698170,-7.95099,-2.791216,2.855693,0.01134552,-0.6942692,-0.7116038,0.4101028,19.68908,29.36906,1008.06
0.999251366,-4.997671,-3.207582,3.22289,0.007523255,-0.7006369,-0.7116973,0.4101028,19.68908,29.36906,1008.06
1.031809330,-4.505452,-2.850697,2.610896,-0.006902675,-0.7244655,-0.7497503,0.4101028,19.68908,29.36906,1008.062
1.064367294,1.954931,-1.720559,1.20331,-0.005835662,-0.7346107,-0.760057,0.4287772,18.60023,29.82296,1008.059
1.099429607,14.81417,1.669855,-0.8774698,-0.00227559,-0.7049349,-0.756224,0.424494,18.96626,30.2027,1008.059
1.131987572,25.15078,0.2423124,1.815304,-0.008493825,-0.7080757,-0.7248465,0.424494,18.96626,30.2027,1008.059
1.164544582,37.08711,2.086221,3.345289,0.03568537,-0.7347855,-0.7098286,0.4214652,18.96146,29.37428,1008.059
1.199603081,52.46898,6.547292,4.018482,0.01618271,-0.7782192,-0.7264239,0.7635798,20.41677,28.91658,1008.061
1.232161045,71.17332,12.19798,1.876503,0.02724754,-0.8020275,-0.696345,0.7635798,20.41677,28.91658,1008.061
1.264718533,72.46539,16.54009,-5.651023,-0.03514086,-0.7565972,-0.4998241,1.113795,21.13929,27.57195,1008.063
1.299780369,20.53622,7.855873,-6.691412,-0.01177173,-0.7524798,-0.483349,-0.007320404,22.2154,26.29319,1008.058
1.332338333,-6.597385,1.729336,-2.529854,0.02417997,-0.8050729,-0.5707105,-0.007320404,22.2154,26.29319,1008.058
1.364895821,-8.258627,-0.05509228,-0.5102734,0.02963291,-0.8199235,-0.6023619,0.334794,23.67071,25.83548,1008.058
1.399953842,-4.382397,-0.7688636,0.5301163,0.02996169,-0.8082134,-0.6113676,-0.3981473,23.66541,25.83786,1008.057
1.432511807,1.585767,-0.4714589,0.4077176,0.02063158,-0.8005816,-0.6064084,-0.3981473,23.66541,25.83786,1008.057
1.465069294,3.739228,0.1828315,-0.2654758,0.02444078,-0.789434,-0.5888405,-0.021945,22.93785,25.39582,1008.058
1.500132084,3.308536,0.2423124,-0.143077,0.02033828,-0.8161612,-0.6013287,0.334794,23.67071,25.83548,1008.057
1.532689095,2.077986,0.4207552,-0.2654758,0.02099391,-0.82978,-0.5971867,0.334794,23.67071,25.83548,1008.057
1.565247059,-0.07547484,0.1828315,-0.3266752,0.01744632,-0.8167292,-0.5916671,-0.02599525,23.30425,25.83929,1008.055
1.597800732,-2.290463,0.004388655,-0.143077,0.02412898,-0.8040286,-0.586646,-0.3851538,22.94037,26.28916,1008.055
