Time (s),Power (dBm),Percentage (%)
0.369271278,-51,98
0.869116783,-51,98
1.369085789,-60,80
1.869092941,-67,66
2.369227409,-65,70
2.869104862,-65,70
3.369235993,-65,70
3.869083881,-65,70
4.369228363,-67,66
4.869028091,-65,70
5.869012833,-59,82
6.369038105,-45,100
6.868930817,-55,90
7.369096756,-51,98
7.868931293,-63,74
8.369022369,-51,98
8.868887901,-57,86
9.369020939,-57,86
9.868860245,-69,62
10.368983746,-53,94
10.868815422,-57,86
11.369127750,-60,80
11.868984222,-51,98
12.369084358,-55,90
12.868922710,-59,82
13.368968010,-51,98
13.868876934,-55,90
14.369010449,-53,94
14.869029522,-53,94
15.369161129,-53,94
15.868971825,-51,98
16.369137287,-51,98
16.868981838,-55,90
17.369115353,-55,90
17.869062424,-49,100
18.369251251,-59,82
18.869048119,-55,90
19.369206905,-51,98
19.868970394,-57,86
20.369032383,-57,86
20.868841171,-49,100
21.369140148,-55,90
21.868997574,-60,80
22.369093895,-53,94
22.869032860,-65,70
23.369137764,-60,80
23.868960857,-59,82
24.369120598,-59,82
24.868976593,-59,82
25.369200230,-59,82
25.869058609,-59,82
26.369194985,-59,82
26.868959904,-51,98
27.369004250,-47,100
27.868967533,-60,80
28.369116783,-57,86
28.868962288,-62,76
29.369063377,-53,94
29.868937492,-51,98
30.369070053,-51,98
30.868874073,-51,98
31.369046211,-55,90
31.868927956,-63,74
32.369027138,-62,76
32.868879318,-57,86
33.369018078,-62,76
33.868754387,-47,100
34.368904114,-57,86
34.868670940,-57,86
35.368843556,-45,100
35.868658543,-55,90
36.368826389,-49,100
36.868660927,-47,100
37.368778706,-47,100
37.868620396,-47,100
38.368767738,-47,100
38.868632793,-49,100
39.368871689,-51,98
39.868718624,-53,94
40.368815422,-49,100
40.868613243,-44,100
41.368665695,-45,100
41.868653774,-60,80
42.368787766,-63,74
42.868505478,-53,94
43.368797779,-51,98
43.868607044,-47,100
44.368602753,-47,100
44.868618488,-65,70
45.368758679,-49,100
45.868449688,-51,98
46.368717671,-53,94
46.868556023,-51,98
47.368540287,-53,94
47.868400574,-59,82
48.368546486,-51,98
48.868343353,-51,98
49.368508816,-47,100
49.868346214,-62,76
50.368556023,-65,70
50.868321419,-65,70
51.368466854,-65,70
51.868303776,-53,94
52.368597984,-47,100
52.868266106,-51,98
53.368540287,-61,78
53.868379116,-57,86
54.368456364,-59,82
54.868346691,-49,100
55.368477345,-55,90
55.868324280,-65,70
56.368490696,-62,76
56.868299484,-62,76
57.368432045,-65,70
57.868311882,-57,86
58.368443012,-53,94
58.868253231,-57,86
59.368439674,-53,94
59.868235588,-57,86
60.368401051,-47,100
60.868145466,-53,94
61.368214130,-55,90
61.868044376,-59,82
62.368220329,-43,100
62.868060112,-51,98
63.368261337,-53,94
63.868061542,-51,98
64.368229389,-53,94
64.868075848,-47,100
65.368209362,-47,100
65.868057251,-55,90
66.368375301,-51,98
66.868174076,-51,98
67.368312836,-57,86
67.868118286,-57,86
68.368321896,-67,66
68.868174553,-67,66
69.368319988,-57,86
69.868207931,-55,90
70.368315220,-51,98
70.868169308,-51,98
71.368346214,-55,90
71.868199825,-65,70
72.368309975,-53,94
72.868160725,-64,72
73.368333340,-55,90
73.868202209,-51,98
74.368232727,-51,98
74.868059158,-51,98
75.368206024,-49,100
75.868012428,-55,90
76.368170738,-60,80
76.868016720,-53,94
77.368181706,-64,72
77.868049145,-55,90
78.368241787,-53,94
78.868013859,-53,94
79.368319035,-65,70
79.868163586,-53,94
80.368326664,-57,86
80.868084908,-47,100
81.368170738,-51,98
81.868127823,-51,98
82.368272781,-47,100
82.868047237,-57,86
83.368302822,-53,94
83.868119717,-64,72
84.368175030,-62,76
84.868152142,-60,80
85.368303776,-62,76
85.868014336,-62,76
86.368280411,-73,54
86.868128777,-53,94
87.368179321,-60,80
87.867959499,-53,94
88.368124485,-57,86
88.867966652,-51,98
89.368133068,-62,76
89.867975712,-51,98
90.368194103,-45,100
90.867964268,-57,86
91.368140221,-59,82
91.867970467,-62,76
92.368287087,-59,82
92.868160725,-60,80
93.368235111,-51,98
93.868062496,-55,90
94.368114472,-55,90
94.867914200,-59,82
95.368223667,-62,76
95.868075848,-53,94
96.368254662,-57,86
96.868109226,-57,86
97.368217468,-53,94
97.868104935,-59,82
98.368211746,-57,86
98.868102074,-57,86
99.368270397,-53,94
99.868077278,-59,82
100.368185997,-59,82
100.867959976,-57,86
101.368080139,-49,100
101.867921829,-49,100
102.368111134,-51,98
102.867921352,-71,58
103.368123055,-59,82
103.867915630,-65,70
104.368091107,-60,80
104.867923260,-57,86
105.368237496,-53,94
105.868104935,-53,94
106.368205071,-57,86
106.868011475,-47,100
107.368054390,-59,82
107.868033886,-53,94
108.368211746,-49,100
108.868028641,-57,86
109.368173599,-43,100
109.868060589,-47,100
110.368203640,-47,100
110.868058205,-45,100
111.368206024,-53,94
111.868053913,-44,100
112.368187428,-43,100
112.868033886,-45,100
113.368121624,-55,90
113.867855549,-51,98
114.368088722,-41,100
114.867854118,-67,66
115.368025303,-59,82
115.867865086,-59,82
116.368053913,-53,94
116.867895603,-62,76
117.368021488,-49,100
117.867850304,-59,82
