Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.026068211,6.393117,-0.7404588,-0.5492759,0.5144765,0.4373835,0.6841415,-25.80085,3.151059,-37.95774,1007.944
0.058844566,8.194619,-1.2132,-1.465611,0.5124376,0.4818206,0.7033339,-25.8155,3.940672,-37.97015,1007.946
0.094142437,1.609817,-0.2086246,-1.343433,0.5133568,0.5037483,0.70378,-25.80012,3.157003,-37.52262,1007.95
0.126918793,-0.5022894,0.2050242,-0.1827419,0.5216462,0.4876917,0.6960827,-25.80012,3.157003,-37.52262,1007.95
0.159695149,-2.241671,0.6186729,0.06161422,0.5187885,0.4647973,0.6990122,-25.4507,3.945744,-37.53551,1007.949
0.192471504,1.8583,0.2641169,-0.1827419,0.5115012,0.4677089,0.7062455,-25.80012,3.157003,-37.52262,1007.949
0.225247860,3.349199,-0.2086246,-0.3660089,0.5124736,0.4667262,0.7038379,-25.80012,3.157003,-37.52262,1007.947
0.260545731,2.790112,-0.4449953,0.06161422,0.5056416,0.4807865,0.7028702,-25.82153,4.311054,-37.54077,1007.947
0.293322086,-0.7507725,0.3232095,0.1227032,0.5109825,0.4818352,0.7071882,-25.80801,3.58218,-37.52931,1007.947
0.326098442,-2.055309,-0.2677173,-0.3660089,0.5100185,0.4778974,0.7023827,-25.80801,3.58218,-37.52931,1007.951
0.358874798,-0.9992557,-0.2086246,-0.4881869,0.5095649,0.4652608,0.7067351,-25.80012,3.157003,-37.52262,1007.947
0.394172192,2.66587,-0.6813661,-0.732543,0.5173043,0.4769842,0.7023668,-25.80728,3.588123,-37.0942,1007.945
0.426948547,2.66587,-0.7995514,-0.854721,0.5187462,0.4858566,0.7158282,-25.80728,3.588123,-37.0942,1007.949
0.459724903,0.1189184,-0.9177368,-0.671454,0.5168077,0.4798387,0.6932179,-25.80801,3.58218,-37.52931,1007.949
