Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.580384731,42.362,32.388
1.580961704,42.352,32.39
2.581539631,42.392,32.39
3.582116604,42.358,32.392
4.580211639,42.396,32.392
5.580789566,42.394,32.394
6.581367493,42.414,32.394
7.581944942,42.43,32.396
8.582523346,42.378,32.396
9.580619335,42.386,32.398
10.581197739,42.41,32.4
11.581776142,42.41,32.402
12.582355022,42.394,32.404
13.580451488,42.436,32.404
14.581030846,42.458,32.406
15.581609726,42.438,32.408
16.582189560,42.42,32.408
17.580286503,42.46,32.41
18.580866337,42.512,32.41
19.581446171,42.492,32.412
20.582026482,42.468,32.414
21.580123424,42.516,32.414
22.580704212,42.474,32.416
