Time (s),Power (dBm),Percentage (%)
0.207521915,-57,86
0.707870006,-57,86
1.207725048,-60,80
1.707694054,-60,80
2.207714558,-61,78
2.707813740,-60,80
3.207494736,-61,78
3.707852840,-60,80
4.207493782,-62,76
4.707793713,-60,80
5.207732678,-53,94
5.707692623,-64,72
6.207706451,-62,76
6.707835197,-60,80
7.207530022,-57,86
7.707884312,-53,94
8.207520962,-65,70
8.707629681,-55,90
9.207711220,-55,90
9.707737446,-55,90
10.207468033,-47,100
10.707845688,-49,100
11.207671642,-51,98
11.707665443,-59,82
12.207692623,-60,80
12.707814217,-57,86
13.207451820,-60,80
13.707793236,-55,90
14.207454205,-57,86
14.707621574,-57,86
15.207639217,-55,90
15.707675457,-53,94
16.207402706,-57,86
16.707582474,-64,72
17.207454205,-59,82
17.707814217,-62,76
18.207573414,-55,90
18.707593918,-51,98
19.207654953,-65,70
19.707757473,-71,58
20.207412243,-60,80
20.707789421,-62,76
21.207476616,-65,70
21.707627773,-69,62
22.207634926,-65,70
