Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.705445766,43.3,32.472
1.704698563,43.378,32.472
2.703950882,43.372,32.472
3.705708027,43.302,32.474
4.704960823,43.332,32.474
5.704213619,43.366,32.474
6.705971241,43.358,32.474
7.705224514,43.368,32.476
8.704477310,43.334,32.476
9.706235409,43.32,32.478
10.705489159,43.356,32.478
11.704742432,43.35,32.478
12.703996181,43.376,32.478
13.705753803,43.352,32.48
14.705007553,43.33,32.48
15.704261780,43.332,32.48
16.706019878,43.374,32.482
17.705273628,43.376,32.482
18.704527855,43.342,32.482
19.706285953,43.368,32.484
20.705540180,43.376,32.484
21.704793930,43.37,32.484
