Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.932858944,42.762,32.392
1.933792114,42.818,32.394
2.932204723,42.844,32.394
3.933137894,42.832,32.394
4.934072018,42.838,32.396
5.932484627,42.792,32.398
6.933418274,42.824,32.398
7.931831837,42.862,32.4
8.932765484,42.832,32.4
9.933700085,42.84,32.4
10.932113647,42.874,32.4
11.933047295,42.866,32.402
12.933981895,42.822,32.402
13.932394981,42.82,32.402
14.933330536,42.844,32.402
15.931743622,42.854,32.404
16.932678223,42.878,32.404
17.933612823,42.856,32.404
18.932026863,42.896,32.404
19.932961464,42.876,32.406
20.933896542,42.886,32.406
21.932310581,42.9,32.406
