Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.014609337,1.156194,-0.2739116,1.627747,-1.027588,-0.02004823,-0.06741177,34.80276,17.82422,-22.04401,1008.283
0.049369335,-0.3311741,0.1957106,1.262103,-1.024237,-0.008448838,-0.07460462,35.15355,17.81459,-22.48526,1008.283
0.081645489,-0.3311741,1.66328,0.2870514,-1.018402,-0.02442482,-0.08147617,35.13063,18.16864,-23.29908,1008.285
0.116405487,1.404088,1.780686,-0.01765209,-1.003867,-0.03159641,-0.06801199,35.13063,18.16864,-23.29908,1008.283
0.148682117,0.8463255,2.367713,-0.444237,-1.00918,-0.0364722,-0.07431297,34.79011,18.1831,-22.48436,1008.285
0.180959225,2.333693,2.250308,-0.2004742,-0.9927106,-0.04461431,-0.06327567,34.77879,17.81295,-22.91547,1008.285
0.215719223,4.130929,1.780686,0.4089328,-1.005324,-0.03211561,-0.07719713,34.77879,17.81295,-22.91547,1008.283
0.247995377,3.883035,1.66328,0.3479922,-1.001926,-0.0344961,-0.0685161,35.52765,18.18075,-22.05966,1008.287
0.282755375,4.31685,1.134955,0.4698736,-1.016463,-0.0219587,-0.06938037,34.80144,18.55325,-22.05325,1008.287
0.315032005,2.209746,1.134955,-0.01765209,-1.015033,-0.01617526,-0.07756902,34.80144,18.55325,-22.05325,1008.288
0.349791527,1.218167,1.428469,-0.444237,-1.012111,-0.02634257,-0.08150063,35.16487,18.18474,-22.05414,1008.29
0.382069111,0.5984308,0.9001439,-0.3832963,-1.0005,-0.02775135,-0.07863304,34.79077,17.81858,-22.47974,1008.29
0.414345265,0.5364571,1.369766,-0.444237,-1.007256,-0.03504273,-0.08252744,34.79077,17.81858,-22.47974,1008.29
0.449105263,1.032246,0.5479273,-0.2614149,-1.00048,-0.03695418,-0.0811026,34.77945,17.44843,-22.91085,1008.293
0.481381893,1.528036,0.60663,-0.2614149,-1.007745,-0.03457984,-0.08832502,35.52831,17.81624,-22.05504,1008.293
0.516141415,1.218167,-0.3913172,-0.3223556,-1.009686,-0.02777269,-0.07716304,35.51566,18.17512,-22.49539,1008.293
0.548418522,0.1026415,-0.5674255,-0.2004742,-1.006307,-0.02583222,-0.07860961,35.51566,18.17512,-22.49539,1008.293
0.583178044,-1.632621,-0.6261283,0.04328861,-1.01598,-0.02488874,-0.07761652,35.89109,17.81225,-22.06056,1008.293
0.615455151,-1.880516,-0.8609394,0.2870514,-1.009672,-0.03113562,-0.06993062,35.51633,17.8106,-22.49077,1008.298
0.647731781,-1.818542,-1.389264,0.7136364,-1.008735,-0.01952841,-0.07276727,35.51633,17.8106,-22.49077,1008.296
0.682491303,-3.491831,-1.447967,0.16517,-1.001936,-0.0340482,-0.07914919,35.50434,17.80497,-22.9265,1008.29
0.714768410,-1.632621,-0.3913172,-0.2004742,-1.001428,-0.04567257,-0.08260044,35.15421,17.45008,-22.48064,1008.29
0.749527931,1.713957,0.07830502,0.4089328,-1.013056,-0.03456065,-0.07816126,35.15421,17.45008,-22.48064,1008.294
0.781805039,1.713957,-0.3913172,0.4089328,-1.01018,-0.02146499,-0.07180829,35.15355,17.81459,-22.48526,1008.292
0.816564083,-0.7649897,0.60663,-0.1395335,-1.005339,-0.02631338,-0.07861444,35.87844,18.17113,-22.5009,1008.294
0.848841190,0.3505361,0.1370078,-0.3832963,-1.005797,-0.03598187,-0.07528435,35.87844,18.17113,-22.5009,1008.296
0.881117821,0.7223781,0.5479273,0.04328861,-1.015975,-0.02829098,-0.08198682,35.51633,17.8106,-22.49077,1008.296
0.915877819,-0.5170951,0.2544134,0.2870514,-1.007755,-0.02728979,-0.07909822,35.50368,18.16948,-22.93111,1008.296
0.948154926,-0.08327948,0.01960224,0.2870514,-1.004357,-0.03260005,-0.07816886,35.50368,18.16948,-22.93111,1008.296
0.982913971,-0.7030161,0.07830502,0.2261107,-1.001447,-0.03597762,-0.07771089,35.52831,17.81624,-22.05504,1008.294
1.015191078,0.7843518,-0.1565061,0.04328861,-1.011152,-0.02246346,-0.08003034,35.51633,17.8106,-22.49077,1008.294
1.049951077,-0.3931478,0.2544134,-0.07859279,-1.014552,-0.0161837,-0.08047074,35.51633,17.8106,-22.49077,1008.293
1.082227230,-1.012884,0.1957106,0.2261107,-1.016483,-0.01910755,-0.08483414,35.1662,17.45571,-22.04491,1008.293
1.114504814,-1.074858,0.5479273,0.16517,-1.006772,-0.03357646,-0.07865264,35.15355,17.81459,-22.48526,1008.294
1.149263859,-0.2072268,0.2544134,0.04328861,-1.003868,-0.03306458,-0.07285472,35.15355,17.81459,-22.48526,1008.294
1.181540966,0.1026415,0.1370078,0.1042293,-1.004342,-0.03644855,-0.07142264,34.79077,17.81858,-22.47974,1008.298
1.216300964,-0.3931478,0.3718189,0.4698736,-1.014528,-0.02439247,-0.07519964,34.80209,18.18873,-22.04863,1008.298
1.248577118,-0.02130582,-0.3326144,0.591755,-1.007745,-0.0301819,-0.07573061,34.80209,18.18873,-22.04863,1008.298
1.280854225,-0.5790688,0.3718189,0.4698736,-1.013087,-0.02344831,-0.08341584,35.16487,18.18474,-22.05414,1008.298
1.315613747,-1.074858,0.60663,0.04328861,-1.007274,-0.0287664,-0.08684267,35.15355,17.81459,-22.48526,1008.298
1.347890854,0.3505361,0.8414412,0.1042293,-1.012564,-0.03794513,-0.07769812,35.15355,17.81459,-22.48526,1008.298
1.382650852,1.528036,0.6653328,-0.01765209,-1.00777,-0.02295245,-0.08439135,35.16422,18.54926,-22.05876,1008.298
1.414927006,-0.9509107,0.4892245,1.566806,-0.9952152,-0.01419433,-0.08098454,35.87844,18.17113,-22.5009,1008.298
1.449687004,-1.384726,1.369766,0.7136364,-1.003924,-0.007399986,-0.06787429,35.87844,18.17113,-22.5009,1008.298
1.481963635,-1.756568,0.9001439,0.7136364,-1.012572,-0.0370002,-0.08446088,34.4878,18.18642,-22.47976,1008.298
1.514240742,-1.570647,1.076252,0.8355178,-1.014997,-0.03313078,-0.08298332,35.15355,17.81459,-22.48526,1008.297
1.549000263,-0.5170951,0.07830502,1.01834,-1.010151,-0.03600414,-0.07817572,35.17752,17.82586,-21.6138,1008.298
1.581276894,0.2885625,0.5479273,0.7136364,-1.005807,-0.03211536,-0.07671267,35.17752,17.82586,-21.6138,1008.298
1.616036892,0.2885625,0.3718189,0.7136364,-1.011139,-0.02729783,-0.07860753,35.16553,17.82023,-22.04953,1008.298
1.648313522,-0.7030161,0.1370078,0.3479922,-1.008229,-0.02920887,-0.07379028,35.15289,18.17911,-22.48987,1008.298
1.683073044,-0.1452532,-0.2739116,-0.01765209,-1.004843,-0.03358895,-0.0839747,35.15289,18.17911,-22.48987,1008.298
1.715350151,1.032246,-0.45002,0.1042293,-1.010195,-0.01663717,-0.07516488,35.16487,18.18474,-22.05414,1008.297
1.747626782,-0.8889371,-0.5087227,0.4089328,-1.004857,-0.02876113,-0.08733129,35.1662,17.45571,-22.04491,1008.297
1.782386780,0.5364571,-0.2739116,-0.01765209,-1.007273,-0.02876149,-0.08539233,35.1662,17.45571,-22.04491,1008.297
1.814662933,0.3505361,-0.6261283,-0.07859279,-1.006299,-0.0282404,-0.07523926,35.15355,17.81459,-22.48526,1008.297
1.849422932,-0.4551215,-0.45002,-0.5051777,-1.004862,-0.02438284,-0.08053824,35.89109,17.81225,-22.06056,1008.295
1.881700039,0.5984308,-0.7435338,-0.444237,-1.011152,-0.02197298,-0.07809379,35.89109,17.81225,-22.06056,1008.295
1.916459560,0.3505361,-1.330562,-0.5661184,-1.007272,-0.02338422,-0.06940828,35.53963,18.18639,-21.62393,1008.293
1.948736668,-1.074858,-0.6848311,-0.6270592,-1.006793,-0.028286,-0.08829129,35.15355,17.81459,-22.48526,1008.293
1.981012821,0.3505361,-1.095751,-0.1395335,-1.016004,-0.01766093,-0.08676071,35.15355,17.81459,-22.48526,1008.292
2.015772820,-2.252357,0.01960224,0.1042293,-1.013562,-0.02585787,-0.08004444,35.16553,17.82023,-22.04953,1008.292
2.048049927,-2.12841,-0.03910053,0.9573992,-1.019412,-0.00847924,-0.08766803,35.52953,17.14796,-22.04658,1008.29
2.082808971,-1.942489,0.7827384,0.2870514,-0.9995269,-0.03065543,-0.07961852,35.52953,17.14796,-22.04658,1008.292
2.115086556,0.5984308,-0.03910053,0.2870514,-0.9990181,-0.03885626,-0.07241467,34.80276,17.82422,-22.04401,1008.292
2.149846077,0.6604044,0.9001439,1.262103,-1.016465,-0.01854335,-0.06114249,35.15289,18.17911,-22.48987,1008.29
2.182122707,-1.322753,-0.8609394,0.8964585,-1.014082,-0.01232891,-0.08576766,35.15289,18.17911,-22.48987,1008.292
