Time (s),W,X,Y,Z
0.006338120,0.3991605,0.5546522,-0.4695716,-0.5560235
0.038895130,0.3991309,0.5548768,-0.4696068,-0.5557907
0.071452618,0.399023,0.5550802,-0.4696486,-0.5556298
0.106513500,0.3986428,0.5555076,-0.4696666,-0.5554605
0.139070511,0.3983702,0.5556491,-0.4698818,-0.5553324
0.171627998,0.3980586,0.5558098,-0.4699908,-0.5553028
0.206688881,0.3979047,0.5559776,-0.4700024,-0.5552351
0.239245892,0.3977933,0.556063,-0.4700325,-0.555204
0.271803379,0.3974468,0.5561818,-0.4700916,-0.5552833
0.306865215,0.3972018,0.5562921,-0.4700921,-0.5553477
0.339422226,0.3971157,0.5563648,-0.4700958,-0.5553331
0.371979237,0.3970083,0.556469,-0.4700533,-0.5553417
0.404535771,0.3970044,0.5564713,-0.4700516,-0.5553433
0.439597607,0.3971181,0.5563298,-0.4702442,-0.5552407
0.472154617,0.3972217,0.5561098,-0.4704655,-0.5551999
0.504712105,0.3972316,0.556007,-0.4706057,-0.5551767
0.539772987,0.3972818,0.5558901,-0.4706323,-0.5552353
0.572329998,0.3974327,0.5557019,-0.4707421,-0.5552227
0.604887486,0.39762,0.5553612,-0.4711297,-0.5551006
0.639948368,0.3976049,0.5551745,-0.4713466,-0.555114
0.672505856,0.3975574,0.5551226,-0.4713431,-0.555203
0.705062866,0.3975493,0.5549844,-0.4714674,-0.5552414
0.740124703,0.3978591,0.5545751,-0.4717225,-0.5552118
0.772681713,0.3982562,0.5541219,-0.4720163,-0.5551299
0.805238247,0.3986185,0.5537122,-0.4724219,-0.5549334
0.840300083,0.3987243,0.5534438,-0.4727081,-0.5548816
0.872857094,0.398595,0.5534199,-0.4726769,-0.5550249
0.905414104,0.3983568,0.5535318,-0.4726389,-0.5551168
0.937971592,0.3982337,0.5535818,-0.4726503,-0.5551454
0.973032475,0.3981089,0.5536226,-0.472519,-0.5553061
1.005589485,0.3981081,0.5536055,-0.472553,-0.5552948
1.038146973,0.3982219,0.5534663,-0.4726835,-0.5552408
1.073208809,0.3983101,0.553359,-0.4727977,-0.555187
1.105765343,0.3984388,0.5532609,-0.4729576,-0.5550566
1.138322353,0.3984899,0.5531918,-0.4731153,-0.5549543
1.173384190,0.398349,0.553304,-0.473025,-0.5550207
1.205941200,0.3981674,0.5534498,-0.4728846,-0.5551252
1.238498211,0.3980146,0.5535347,-0.4728781,-0.5551555
1.273559570,0.397873,0.5536295,-0.4728448,-0.5551907
1.306116581,0.397741,0.5537758,-0.4727435,-0.5552259
1.338673592,0.3976724,0.553894,-0.4727203,-0.555177
1.371231079,0.3976416,0.5539736,-0.4727341,-0.5551078
1.406291962,0.39752,0.5541793,-0.4726267,-0.555081
1.438849449,0.3975716,0.5541428,-0.4726281,-0.5550793
1.471406460,0.3976389,0.5539768,-0.4727679,-0.5550777
1.506467342,0.397637,0.5538149,-0.4729148,-0.5551154
1.539024830,0.3975842,0.5538034,-0.4729079,-0.5551707
1.571581841,0.397531,0.553876,-0.4728163,-0.5552142
1.606643677,0.3974556,0.5539997,-0.4727134,-0.5552325
1.639200688,0.3973766,0.5541033,-0.4726689,-0.5552237
1.671757698,0.3972816,0.5541319,-0.472713,-0.5552255
1.706819058,0.3972052,0.5542074,-0.4726613,-0.5552488
1.739376068,0.3972343,0.5542101,-0.4726439,-0.5552401
1.771933079,0.3972027,0.5541932,-0.4727329,-0.5552038
1.806994438,0.3972222,0.5541219,-0.4727971,-0.5552064
1.839551449,0.3973302,0.5539447,-0.4729049,-0.555214
1.872108936,0.3975235,0.5536799,-0.4730172,-0.5552442
1.904665947,0.3977291,0.5534481,-0.4731426,-0.5552213
1.939726830,0.3978378,0.5532401,-0.4732619,-0.5552488
1.972284317,0.3979124,0.5531632,-0.4732533,-0.5552793
2.004841328,0.3976806,0.5533941,-0.4732793,-0.5551934
2.039903164,0.396909,0.5540754,-0.4731141,-0.5552066
2.072460175,0.3959379,0.5551184,-0.4722798,-0.5555683
2.105017185,0.3955626,0.5557182,-0.4720404,-0.5554394
2.140078545,0.3960457,0.5554984,-0.4725559,-0.5548763
2.172635555,0.3970628,0.5551695,-0.4731172,-0.5539998
2.205193043,0.3981813,0.5547177,-0.4734912,-0.5533295
2.240253925,0.3984946,0.5544772,-0.4733904,-0.5534315
2.272810936,0.3985246,0.554169,-0.4733618,-0.553743
2.305368424,0.3984193,0.5537003,-0.4735825,-0.5540985
2.337925434,0.3979556,0.5535063,-0.4733898,-0.5547901
2.372986317,0.3975218,0.5535504,-0.4730057,-0.5553843
2.405543804,0.3974964,0.5534056,-0.4730246,-0.5555305
2.438100815,0.3976525,0.5533531,-0.4732122,-0.5553114
2.473162651,0.3979065,0.5535599,-0.4732438,-0.5548962
2.505719662,0.3981844,0.5537334,-0.4732499,-0.5545184
2.538276196,0.3980579,0.5544574,-0.4729525,-0.5541393
2.573338032,0.3981995,0.5548033,-0.472726,-0.5538848
2.605895043,0.3982988,0.5548924,-0.4726376,-0.5537996
2.638452530,0.3982217,0.5551701,-0.4720739,-0.5540574
2.673513413,0.3982251,0.5554363,-0.4712361,-0.5545011
2.706070423,0.3984364,0.5557311,-0.4703239,-0.5548284
2.738627911,0.3992618,0.5555841,-0.4697708,-0.5548506
2.773688793,0.4006608,0.5548009,-0.4700769,-0.5543665
2.806245804,0.4019144,0.5539854,-0.4709942,-0.5534954
2.838803291,0.4027901,0.5536011,-0.4717548,-0.552595
2.871360302,0.403216,0.5537149,-0.4718406,-0.5520968
2.906422138,0.4034919,0.5539188,-0.4716367,-0.5518649
2.938979149,0.4039623,0.5539344,-0.4714398,-0.5516733
2.971535683,0.4045662,0.5537319,-0.4711479,-0.5516833
3.006597519,0.4053391,0.5526506,-0.4712031,-0.5521529
3.039154530,0.4060056,0.5511021,-0.4719455,-0.5525769
3.071712017,0.4058182,0.551125,-0.4714732,-0.5530946
3.106772900,0.4043676,0.552402,-0.4698984,-0.5542221
3.139329910,0.4029996,0.5536527,-0.4674762,-0.5560159
3.171887398,0.4037086,0.5530517,-0.4672108,-0.5563228
3.206948280,0.406259,0.5504804,-0.4699523,-0.5547047
