Time (s),Power (dBm),Percentage (%)
0.441820145,-57,86
0.941874027,-57,86
1.441603184,-55,90
1.941923141,-57,86
2.441569328,-57,86
2.941815376,-57,86
3.441802502,-57,86
3.941725731,-62,76
4.441628456,-62,76
4.941903114,-62,76
5.441540718,-61,78
5.941792011,-51,98
6.441533566,-57,86
6.941720486,-57,86
7.441581249,-57,86
7.941810608,-55,90
8.441537857,-55,90
8.941710949,-53,94
9.441697121,-53,94
9.941703796,-57,86
10.441542626,-53,94
10.941814423,-59,82
11.441542149,-55,90
11.941672325,-53,94
12.441539288,-53,94
12.941841125,-53,94
13.441504002,-57,86
