Time (s),Power (dBm),Percentage (%)
0.009633064,-53,94
0.509784699,-53,94
1.009546757,-53,94
1.509614945,-53,94
2.009504795,-53,94
2.509751320,-53,94
3.009604931,-53,94
3.509633541,-55,90
4.009601116,-53,94
4.509746075,-57,86
5.009472370,-63,74
5.509783745,-49,100
6.009629726,-59,82
6.509649277,-57,86
7.009608746,-51,98
7.509702206,-58,84
8.009439945,-59,82
8.509602547,-51,98
9.009467602,-49,100
9.509641171,-53,94
10.009461403,-57,86
10.509656906,-53,94
11.009452820,-55,90
11.509592533,-55,90
12.009427071,-60,80
12.509785652,-55,90
13.009435177,-53,94
13.509710312,-57,86
