Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.028007030,-0.1295647,-0.1495319,-0.06056381,0.3647294,0.5311245,0.757041,-18.00413,-2.423974,-44.47057,1007.795
0.060784340,-0.1295647,-0.03134657,0.1227032,0.3681317,0.5291846,0.7541477,-18.37559,-2.063759,-44.84878,1007.795
0.093560696,-0.06744397,-0.09043925,0.06161422,0.3705695,0.5248149,0.7531857,-18.36352,-2.80452,-45.70754,1007.795
0.128859043,-0.06744397,0.3232095,0.0005252059,0.3666577,0.5359741,0.7517342,-18.36352,-2.80452,-45.70754,1007.795
0.161635876,-0.3780479,-0.32681,0.0005252059,0.3695891,0.528703,0.7531822,-18.37559,-2.063759,-44.84878,1007.795
0.194413185,0.4295222,-0.1495319,-0.06056381,0.3671639,0.5297338,0.7642578,-18.37569,-2.064608,-44.91094,1007.797
0.227190018,-0.1295647,-0.2677173,0.3670593,0.3686043,0.5345426,0.7536572,-18.37569,-2.064608,-44.91094,1007.801
0.259967327,-1.061376,0.4413949,0.3670593,0.3710421,0.529162,0.7474018,-18.36893,-2.429045,-44.90521,1007.801
0.295265675,0.2431599,0.2641169,0.0005252059,0.370571,0.5248383,0.7565553,-17.64078,-2.43079,-44.90615,1007.801
0.328042984,0.491643,0.2641169,-0.1827419,0.3681163,0.5365201,0.7584689,-17.64078,-2.43079,-44.90615,1007.797
0.360819817,-0.1916855,-0.03134657,-0.1216528,0.3695787,0.5346009,0.7608752,-18.3681,-2.422252,-44.40794,1007.797
0.393597126,-0.5022894,-0.03134657,-0.2438309,0.3671637,0.5287197,0.7584829,-18.37559,-2.063759,-44.84878,1007.797
0.428894520,-1.37198,0.2641169,0.06161422,0.3666781,0.5282118,0.7560781,-18.36207,-2.792633,-44.83732,1007.797
0.461671829,-2.676517,-0.2086246,0.7335934,0.3758906,0.5361615,0.767597,-18.36207,-2.792633,-44.83732,1007.795
0.494448662,-5.596193,-0.2677173,1.772107,0.3598278,0.5556228,0.783972,-17.99872,-2.799449,-45.2729,1007.795
0.527225971,-10.87646,-0.9177368,2.993887,0.3734749,0.5292593,0.7584671,-17.64067,-2.429941,-44.84399,1007.793
0.560003281,-9.758285,-1.745034,2.19973,0.3589037,0.5331143,0.7700486,-17.64067,-2.429941,-44.84399,1007.793
0.595301628,-10.87646,-2.217776,2.749531,0.3691295,0.5210238,0.7700425,-18.0191,-1.706987,-45.35225,1007.793
0.628078461,-1.868947,-1.804127,2.077552,0.3862022,0.4850017,0.752246,-18.76006,-0.9704242,-44.92766,1007.792
0.660855770,0.3674015,-2.158683,1.711018,0.3604326,0.4978864,0.7450672,-18.76006,-0.9704242,-44.92766,1007.792
