Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.225801468,44.696,32.704
1.228114128,44.65,32.704
2.227951050,44.658,32.704
3.227787972,44.63,32.7
4.227624893,44.656,32.7
5.227461815,44.668,32.7
6.227298260,44.686,32.702
7.227135181,44.628,32.702
8.226972103,44.66,32.702
9.226809502,44.69,32.702
10.226646423,44.626,32.702
11.226482868,44.658,32.7
12.226318836,44.618,32.698
13.226155758,44.662,32.698
14.225992203,44.63,32.696
15.225828171,44.6,32.696
16.228138924,44.632,32.692
17.227974415,44.626,32.69
18.227810383,44.604,32.69
19.227645874,44.572,32.688
20.227480888,44.59,32.688
21.227315903,44.648,32.688
22.227150917,44.638,32.686
23.226985931,44.608,32.686
24.226820469,44.566,32.684
25.226654530,44.572,32.684
26.226489067,44.56,32.682
27.226323128,44.586,32.682
29.225990772,44.518,32.68
30.225824356,44.542,32.678
31.225657940,44.54,32.676
32.227966309,44.506,32.676
33.227799892,44.532,32.676
34.227632999,44.552,32.676
35.227466583,44.522,32.674
36.227300167,44.53,32.674
37.227133274,44.502,32.674
38.226966858,44.514,32.674
39.226799965,44.53,32.672
40.226633072,44.5,32.67
41.226465225,44.548,32.664
42.226298332,44.52,32.664
43.226130486,44.514,32.666
44.225963593,44.474,32.666
45.225795746,44.49,32.666
46.225628376,44.492,32.666
47.227935314,44.544,32.666
48.227767468,44.494,32.666
49.227599144,44.502,32.662
50.227430821,44.484,32.66
51.227262497,44.498,32.66
52.227093697,44.466,32.658
53.226925373,44.416,32.658
54.226756096,44.458,32.658
55.226586819,44.432,32.658
56.226417542,44.436,32.658
57.226247788,44.486,32.656
58.226078510,44.428,32.656
59.225909233,44.454,32.654
60.225739479,44.442,32.654
61.228044510,44.436,32.654
62.227874756,44.432,32.652
63.227704525,44.368,32.65
64.227534771,44.392,32.65
65.227365494,44.444,32.65
66.227194786,44.416,32.65
67.227025509,44.454,32.65
68.226855755,44.408,32.65
69.226686001,44.416,32.65
70.226515770,44.37,32.65
71.226346016,44.424,32.648
72.226175785,44.41,32.644
73.226005077,44.386,32.642
74.225834847,44.436,32.642
75.225664616,44.374,32.642
76.227969170,44.402,32.644
77.227798462,44.444,32.644
78.227628231,44.412,32.644
79.227457523,44.334,32.644
80.227286816,44.358,32.644
81.227116108,44.376,32.64
82.226944447,44.378,32.636
83.226773262,44.32,32.636
84.226601601,44.368,32.636
85.226429939,44.342,32.636
86.226258278,44.334,32.636
87.226086140,44.364,32.636
88.225914478,44.39,32.636
89.225741863,44.354,32.636
90.225569725,44.332,32.634
91.227872849,44.344,32.632
92.227700234,44.35,32.632
93.227527142,44.33,32.632
94.227355003,44.356,32.632
95.227182388,44.322,32.632
96.227010250,44.334,32.632
97.226838112,44.334,32.632
98.226665020,44.338,32.63
99.226491928,44.348,32.626
100.226318836,44.3,32.624
101.226145744,44.318,32.624
102.225973129,44.352,32.624
103.225800037,44.284,32.624
104.225626946,44.31,32.624
105.225453377,44.242,32.624
106.227755070,44.312,32.624
107.227581501,44.258,32.62
108.227406979,44.292,32.614
109.227232456,44.282,32.612
110.227057457,44.228,32.612
111.226883411,44.278,32.612
112.226708412,44.242,32.612
113.226533413,44.246,32.612
114.226358414,44.204,32.612
115.226182461,44.23,32.612
116.226007462,44.258,32.612
117.225831986,44.202,32.608
118.225656509,44.238,32.608
119.225480080,44.188,32.608
120.225304127,44.194,32.608
121.227602482,44.208,32.608
122.227427006,44.188,32.608
123.227250576,44.178,32.606
124.227074146,44.204,32.604
125.226897240,44.18,32.598
126.226720333,44.214,32.594
127.226542473,44.148,32.592
128.226365566,44.138,32.592
129.226188183,44.2,32.592
130.226010323,44.09,32.594
131.225832462,44.182,32.594
132.225655079,44.138,32.594
133.225476742,44.18,32.594
134.227773666,44.096,32.588
135.227595329,44.138,32.588
136.227416515,44.128,32.586
137.227238178,44.126,32.586
138.227058888,44.074,32.586
139.226880074,44.052,32.586
140.226700783,44.108,32.586
141.226521969,44.106,32.586
142.226342201,44.066,32.586
143.226162434,44.052,32.582
144.225983620,44.116,32.578
145.225803852,44.036,32.578
146.225623608,44.046,32.576
147.225443363,44.016,32.572
148.225263119,44.036,32.57
149.227557182,44.028,32.57
150.227376461,44.058,32.57
151.227195263,43.986,32.568
152.227014065,44.016,32.57
153.226832390,44.008,32.568
154.226651669,43.998,32.566
155.226469517,43.994,32.566
156.226287842,43.988,32.564
157.226105213,44.002,32.564
158.225923538,44.016,32.564
159.225741386,43.964,32.564
160.225558281,43.958,32.562
161.225376129,43.96,32.562
162.227667809,43.99,32.56
163.227484703,43.922,32.56
164.227301598,43.95,32.56
165.227118492,43.94,32.558
