Time (s),Humidity (%)
0.898181915,9.654297
1.899149895,9.579102
2.897597313,9.104492
3.898565292,9.391602
4.897012234,9.867188
5.897981167,9.979492
6.898949146,9.841797
7.897396088,9.841797
8.898364067,8.541016
9.899332523,9.692383
10.897779942,10.2793
11.898747921,10.22949
12.897195339,8.34082
13.898162842,9.791992
14.899131775,9.116211
15.897578239,8.803711
16.898546696,8.803711
17.896993160,8.46582
18.897962093,9.003906
19.898930073,9.029297
20.897376537,8.841797
21.898344517,8.203125
22.896791458,9.966797
23.897759438,8.641602
24.898727417,9.704102
25.897173882,9.867188
26.898141861,9.942383
27.899109840,10.0918
28.897556305,10.37988
29.898525238,9.141602
30.896971703,8.866211
31.897939682,8.841797
32.898907661,9.229492
33.897354126,9.591797
34.898322105,9.954102
35.896769047,8.416016
36.897737026,8.941406
37.898705006,9.829102
38.897151470,9.829102
39.898119450,9.191406
40.899087429,8.954102
41.897533894,9.116211
42.898501873,8.828125
43.896947861,8.603516
44.897915840,10.3291
45.898882866,9.541016
46.897328854,9.416016
47.898296356,8.765625
48.896741867,9.829102
49.897709370,9.204102
50.898676395,7.865234
51.897121906,9.628906
52.898088455,9.266602
53.899055004,9.241211
54.897500038,9.25293
55.898466110,8.77832
56.896910667,9.890625
57.897876739,9.75293
58.898842812,8.865234
59.897287369,9.12793
60.898252487,8.889648
61.896696568,8.077148
62.897661686,9.714844
63.898626804,9.81543
64.897070885,9.077148
65.898036003,8.689453
66.896479130,8.827148
67.897444725,9.764648
68.898408890,8.626953
69.896852493,8.963867
70.897817612,8.626953
71.898782253,9.264648
72.897224903,8.926758
73.898189545,9.476563
74.896631718,9.125977
75.897595882,9.951172
76.898559570,8.776367
77.897001743,9.151367
78.897965431,8.914063
79.896407604,9.138672
80.897370815,9.087891
81.898333549,9
82.896774769,8.762695
83.897737026,9.775391
84.898699760,8.849609
85.897140503,8.912109
86.898102283,9.487305
87.896542072,9.774414
88.897503853,9.224609
89.898464680,8.537109
90.896904469,9.923828
91.897865295,8.648438
92.896304607,8.710938
93.897264957,9.236328
94.898225784,9.323242
95.896664143,9.611328
96.897624016,8.773438
97.898583889,10.02344
98.897022724,9.285156
99.897981644,8.047852
100.896419525,8.998047
101.897378921,9.272461
102.898337364,8.697266
103.896775722,9.546875
104.897734165,9.421875
105.898692608,8.984375
106.897129059,8.847656
107.898087978,8.959961
108.896524429,8.484375
109.897482395,8.43457
110.898440361,9.109375
111.896876335,8.571289
112.897833347,9.53418
113.896269321,10.25879
114.897226810,9.683594
115.898183823,9.545898
116.896619320,9.78418
117.897576332,9.621094
118.898532867,9.383789
119.896968365,8.84668
120.897924900,10.43262
121.896359920,8.771484
122.897315979,9.008789
123.898272514,8.871094
124.896707058,9.658203
125.897663593,9.208008
126.896098137,8.383789
127.897053719,8.983398
128.898009300,8.858398
129.896443844,8.945313
130.897399425,9.108398
132.896789074,9.395508
133.897744179,9.395508
134.896178246,9.544922
135.897133350,8.208008
136.898088932,9.532227
137.896522045,9.819336
138.897476673,8.919922
139.898431778,9.594727
140.896864891,10.11914
141.897819519,10.11914
142.896253109,8.919922
143.897206783,9.582031
144.898160934,9.619141
145.896594048,9.606445
146.897547722,8.657227
147.895979881,9.556641
148.896933556,9.743164
149.897886753,8.806641
151.897271633,9.505859
152.898223877,8.880859
153.896655560,9.706055
154.897607803,8.868164
155.896038532,8.893555
156.896991253,9.805664
157.897943020,9.504883
158.896372795,9.267578
159.897324085,8.855469
160.898275375,9.617188
161.896705151,9.841797
162.897655964,9.666992
163.896085262,8.017578
164.897035599,9.142578
