Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.030843735,4.233313,-0.4454198,0.1908611,-0.01731184,-0.08063293,1.001476,-15.93759,24.47831,-35.94414,1008.102
0.063621521,2.804535,-0.2090491,0.6184842,-0.01540288,-0.06547871,1.007225,-15.93083,24.11387,-35.93841,1008.104
0.098919868,-0.0530209,-0.5045125,0.007594019,-0.01003995,-0.07418724,1.00915,-15.22369,25.19949,-36.39165,1008.104
0.131697178,0.1954622,-0.5045125,-1.030919,-0.01000238,-0.09279469,0.9947375,-15.22369,25.19949,-36.39165,1008.104
0.164474964,11.50144,3.218327,-4.024281,-0.01580173,-0.1146408,0.9418343,-15.57352,24.47744,-35.94461,1008.104
0.197251797,5.972694,5.404756,-4.757349,-0.0243087,4.96232E-05,0.985967,-15.93832,24.47237,-36.37925,1008.104
0.232550144,-6.762064,11.25493,-5.490417,-0.00433424,-0.02400503,1.004729,-15.93832,24.47237,-36.37925,1008.104
0.265327931,-34.53005,7.473,-5.97913,-0.01724489,-0.08665444,1.116049,-15.56145,23.73668,-36.80338,1008.104
0.298105240,-4.339355,2.922863,-3.230124,-0.0539894,-0.1637871,1.064265,-15.56748,24.10706,-36.37399,1008.104
0.330882549,6.780265,-2.927312,-1.275275,-0.03520507,-0.115509,0.9803905,-15.56748,24.10706,-36.37399,1008.104
0.363659859,5.910574,-2.2182,-0.114584,-0.009061968,-0.08367036,0.9749857,-15.95184,25.20124,-36.39071,1008.104
0.398958683,4.04695,-0.6817906,1.351552,-0.01150418,-0.07280193,1.000006,-15.58776,25.20037,-36.39118,1008.104
0.431735516,6.096936,2.86377,1.718086,0.009498739,-0.1383848,0.9288133,-15.58776,25.20037,-36.39118,1008.101
0.464513302,13.1787,5.93659,0.3130391,-0.03488845,-0.04439909,0.9802827,-15.58173,24.82999,-36.82056,1008.104
0.497290611,-7.693876,5.877497,-3.657747,-0.03525843,-0.07694174,1.063608,-15.93905,24.46642,-36.81437,1008.104
0.532588959,4.543917,3.75016,-0.7254742,-0.04837788,-0.08224615,1.016955,-15.93905,24.46642,-36.81437,1008.102
0.565365791,-1.295436,4.40018,-3.352302,-0.04594116,-0.08764345,1.008293,-15.2034,24.10619,-36.37446,1008.102
0.598143578,2.059085,0.6182484,-1.519631,-0.06146656,-0.08504667,1.050204,-15.57424,24.47149,-36.37972,1008.102
0.630920887,-0.1772625,-4.109166,1.290463,-0.02122887,-0.06298841,1.022157,-15.57424,24.47149,-36.37972,1008.104
0.663697719,-5.830253,-4.936464,0.8017513,-0.04054095,-0.1073862,1.034304,-15.21838,24.82317,-37.25615,1008.102
0.698997021,15.72566,-9.900249,3.428579,-0.03511207,-0.150928,0.9996982,-15.21016,24.47062,-36.38019,1008.099
0.731773853,36.66036,-9.427507,4.528181,-0.03046161,-0.07075246,0.9673151,-15.21016,24.47062,-36.38019,1008.099
0.764551163,20.88168,-0.1499564,1.779176,0.01202152,0.02121011,0.903536,-15.93905,24.46642,-36.81437,1008.098
0.797328949,-38.38154,9.24578,-3.902103,-0.06908759,0.05862565,1.058671,-15.56145,23.73668,-36.80338,1008.098
0.832627296,-50.24661,2.745585,-6.406753,-0.05594745,-0.1605147,1.046936,-15.56145,23.73668,-36.80338,1008.099
0.865404129,-23.22407,1.97738,-7.689622,-0.06962257,-0.1174149,1.097927,-15.56748,24.10706,-36.37399,1008.099
0.898181915,-46.27088,-12.55942,-8.42269,-0.09148911,-0.107239,1.116737,-15.57279,24.48338,-35.5095,1008.099
0.930959225,-10.48931,-24.61433,-1.092008,0.02985795,-0.3119983,1.011821,-15.57279,24.48338,-35.5095,1008.099
0.963736057,79.39945,-21.77788,4.161647,0.08832899,-0.2240009,0.8488494,-15.97067,26.30644,-35.53768,1008.099
0.999035358,55.29659,-3.75461,0.5573952,0.06473523,0.1127759,0.9104934,-17.07039,26.66755,-35.97711,1008.099
1.031812668,-32.97703,2.568307,-1.458542,0.01840994,0.002754221,0.9733461,-17.07039,26.66755,-35.97711,1008.099
1.064589500,-3.531785,9.009409,-6.895465,0.02715388,-0.2092544,0.941875,-16.2896,23.73842,-36.80243,1008.099
1.097367287,23.73924,14.80049,-9.033581,-0.02571906,-0.02449466,0.9600137,-17.0163,23.75206,-35.93127,1008.098
1.130144596,0.1954622,13.85501,-6.895465,-0.03978775,-0.0148129,1.038494,-17.0163,23.75206,-35.93127,1008.098
1.165442944,14.73172,3.277419,-2.497056,-0.01150857,-0.04963199,1.110203,-16.65971,24.10968,-36.37258,1008.096
1.198220730,7.774197,-1.449995,2.14571,-0.03493454,-0.01177992,1.048587,-15.56748,24.10706,-36.37399,1008.096
1.230997562,-8.00448,-3.400054,5.566695,-0.02715538,-0.02368163,1.008633,-16.28284,23.37399,-36.7967,1008.096
1.263774872,-5.706011,-0.4454198,5.566695,-0.01192392,-0.1116828,0.942302,-16.28284,23.37399,-36.7967,1008.094
1.299073696,-3.15906,2.154658,5.200161,-0.001302745,-0.07517207,0.9970971,-16.27608,23.00955,-36.79097,1008.094
1.331851006,-9.122654,2.804678,2.14571,-0.01044753,-0.1022681,1.033743,-16.2896,23.73842,-36.80243,1008.096
1.364627838,9.824183,-1.036347,1.412641,-0.01867161,-0.1165076,1.027045,-16.2896,23.73842,-36.80243,1008.096
1.397405148,20.9438,-3.10459,0.1908611,-0.01150134,-0.07427305,0.9985639,-15.91876,23.37311,-36.79718,1008.096
1.430182934,20.32259,-1.745459,-1.030919,-0.03007829,-0.02436036,0.9845732,-16.29782,24.09097,-37.67839,1008.096
1.465481281,6.966627,-2.277293,1.107196,-0.02090597,0.007714844,1.033602,-16.29782,24.09097,-37.67839,1008.096
1.498258114,0.009099871,3.51379,-0.8476522,0.009690797,-0.00507095,0.9791549,-16.2768,23.0036,-37.22609,1008.094
1.531035900,-6.327219,4.045624,0.8017513,-0.02524603,-0.009531604,1.010052,-16.6206,21.91117,-37.20843,1008.094
1.563813210,-14.77565,3.336512,1.901353,-0.01504027,-0.00981302,1.027357,-16.6206,21.91117,-37.20843,1008.094
1.599111557,-8.00448,1.800102,4.161647,-0.02848769,-0.07428092,1.017859,-16.27004,22.63917,-37.22036,1008.094
1.631889343,-1.60604,0.9728046,4.222736,-0.01885386,-0.04510553,0.9995001,-15.91949,23.36717,-37.23229,1008.094
1.664666653,-15.52109,3.51379,1.229374,-0.02176877,-0.04868969,0.9778512,-15.91949,23.36717,-37.23229,1008.094
1.697443485,-15.33473,2.922863,1.168285,-0.02212062,-0.1011553,0.997667,-15.91949,23.36717,-37.23229,1008.094
1.730221271,-3.842388,3.159234,-0.3589401,-0.0289153,-0.09560365,1.033777,-15.20413,24.10024,-36.80957,1008.094
1.765519619,1.313636,-1.036347,2.267888,-0.03627282,-0.06600937,1.026048,-15.20413,24.10024,-36.80957,1008.094
1.798296928,2.059085,-1.863644,1.290463,-0.03282108,-0.09293823,1.001531,-15.2034,24.10619,-36.37446,1008.098
1.831074715,5.537849,-3.990981,1.351552,-0.01875791,-0.08502497,1.001967,-15.57424,24.47149,-36.37972,1008.098
1.863851547,6.593902,-3.340961,0.2519501,-0.01491174,-0.06791314,1.006746,-15.57424,24.47149,-36.37972,1008.1
1.899149895,3.301501,-2.631849,-0.114584,-0.01783806,-0.06510904,0.9932702,-15.93905,24.46642,-36.81437,1008.1
1.931927681,8.02268,-3.813703,-0.114584,-0.0294549,-0.07826895,1.005833,-15.9248,23.74349,-36.36779,1008.1
1.964704990,13.79991,-3.340961,-0.3589401,-0.007177002,-0.0552526,0.997081,-15.9248,23.74349,-36.36779,1008.1
1.997481823,6.780265,-1.863644,-0.9087412,-0.02615736,-0.03638643,1.00143,-16.29636,24.10286,-36.80817,1008.1
2.030259609,4.233313,-1.509088,-0.7254742,-0.01013182,-0.03672972,1.002836,-15.92021,23.36123,-37.6674,1008.102
2.065557957,4.04695,-0.8590686,-0.2978511,-0.0179154,-0.02994938,1.006696,-16.28357,23.36804,-37.23182,1008.104
2.098335266,2.059085,-1.568181,0.1297721,-0.009164613,-0.0327417,1.014862,-16.28357,23.36804,-37.23182,1008.104
2.131113052,4.481796,-1.922737,0.8017513,-0.007702399,-0.03718979,1.003794,-15.91876,23.37311,-36.79718,1008.104
2.163889885,-0.3636248,-0.3272345,0.007594019,-0.006746641,-0.03136081,1.000414,-15.91273,23.00273,-37.22655,1008.104
2.199188232,8.643888,-2.572756,-0.175673,-0.01434264,-0.1065081,0.9889921,-15.91273,23.00273,-37.22655,1008.104
2.231965542,32.56039,-7.300171,1.656997,-0.03954901,-0.1100826,1.065594,-15.90597,22.63829,-37.22083,1008.105
2.264743328,108.0371,-26.15074,6.360852,-0.002301749,-0.2816953,0.9256878,-16.27077,22.63322,-37.65547,1008.101
2.297520161,234.8878,-38.79657,14.79114,-0.07634056,0.05752901,1.119822,-16.27077,22.63322,-37.65547,1008.101
2.330297470,258.9285,-86.12981,41.73139,-0.04183128,0.5073842,1.404029,-16.23864,20.72737,-39.30415,1008.101
2.365596771,306.7615,-130.7448,75.14709,0.07429134,0.4357232,1.184842,-18.66235,13.77946,-41.36755,1008.101
2.398373604,401.5578,-155.5637,112.9001,0.1560699,0.707769,0.9161191,-18.66235,13.77946,-41.36755,1008.103
2.431150913,440.1348,-146.8771,153.0967,0.2802114,0.9259498,0.6247533,-20.38533,5.353065,-40.36216,1008.103
2.463928700,409.8199,-121.9991,191.0329,0.3587208,1.132814,0.3017429,-25.2691,-5.552147,-34.58843,1008.103
2.499227047,265.0785,-64.20642,214.1246,0.4181473,1.222594,0.1137356,-25.2691,-5.552147,-34.58843,1008.103
2.532003880,115.8643,-21.06877,220.4778,0.5271909,0.8651541,-0.08045445,-30.24384,-14.60616,-26.72988,1008.103
2.564781666,108.8447,12.73225,211.9254,0.5362943,0.5026844,-0.1073674,-35.28716,-17.09235,-22.82934,1008.103
2.597558975,135.6188,39.7967,188.6505,0.6420298,0.3436246,-0.1352974,-35.28716,-17.09235,-22.82934,1008.101
2.665635109,-11.42112,81.33885,124.6292,0.7393095,0.09802582,0.009250557,-40.20858,-10.15062,-22.49691,1008.099
2.698411941,7.339352,77.49783,97.26131,0.7639855,-0.05719154,0.07104027,-40.20858,-10.15062,-22.49691,1008.099
2.731189251,42.43759,77.14327,73.13115,0.8768983,0.03924644,0.07592209,-41.02325,-5.749703,-25.1142,1008.098
2.763967037,59.70716,81.10248,54.98771,0.8589644,0.02596022,0.0779101,-39.62466,-2.867417,-27.33748,1008.096
2.799265385,89.89787,88.1936,31.77388,0.9063612,0.07188973,-0.09796858,-39.62466,-2.867417,-27.33748,1008.096
2.832042217,130.4627,123.531,21.20548,0.9808923,0.3272656,-0.3738692,-37.40937,-1.437976,-29.04158,1008.096
2.864820003,91.45088,207.5017,37.39407,0.9704902,0.5861117,-0.5388604,-36.29518,-2.939949,-32.06585,1008.094
2.897597313,75.29948,297.3226,49.67297,0.8165408,0.1778474,-0.5816838,-36.29518,-2.939949,-32.06585,1008.094
2.930374145,130.4006,360.8473,57.79781,0.5295464,0.2933804,2.090381,-32.61954,-5.181999,-35.45491,1008.094
2.965672970,-99.19778,-42.93306,-40.12789,-1.154315,-0.3991567,1.948603,-25.2671,-6.375274,-41.4766,1008.094
2.998450756,128.2264,-98.71655,-7.750711,1.789312,-0.1642306,1.165793,-17.58389,-5.323359,-43.18202,1008.094
3.031227589,146.8005,-30.75997,-5.673685,0.7464336,0.5986745,0.1365213,-17.58389,-5.323359,-43.18202,1008.092
3.064004898,17.6514,-11.31847,1.229374,0.6879225,0.998991,0.6227134,-20.54013,-6.016237,-41.05333,1008.092
3.096782684,-204.4304,-23.31429,5.872139,0.5562201,0.4763914,0.8505349,-21.15077,-12.25877,-40.0838,1008.094
3.132081032,-213.0652,-63.5564,-15.44793,0.5356228,-0.04669334,0.8749588,-21.15077,-12.25877,-40.0838,1008.094
3.164857864,-170.2639,-97.29832,-47.33639,0.5328552,-0.09090469,0.964084,-21.95475,-8.260108,-41.01611,1008.094
3.197635651,-195.1744,-127.4947,-88.20495,0.5463372,-0.06732047,0.8374183,-23.90254,-1.252871,-39.81825,1008.092
3.230412960,-223.7499,-132.6948,-134.6326,0.5739455,-0.09696943,0.5326955,-23.90254,-1.252871,-39.81825,1008.094
3.265711308,-236.7332,-104.6849,-178.1891,0.6806209,-0.09438498,0.2157026,-27.25652,3.229724,-36.90011,1008.098
3.298489094,-197.5971,-63.43821,-207.634,0.7415974,-0.038491,0.05566161,-32.48888,7.668826,-33.04621,1008.098
3.331265926,-185.3593,-3.577332,-233.5968,0.7755763,0.1626473,0.0133994,-32.48888,7.668826,-33.04621,1008.097
3.364043236,-212.7545,66.92023,-251.6791,0.6990551,0.286834,0.03409228,-35.06021,9.167496,-30.51733,1008.097
3.396821022,-173.6806,123.7674,-231.8252,0.3922946,0.489179,0.2949316,-35.76059,7.717437,-30.05836,1008.095
3.432119370,-203.4986,131.0949,-203.6632,0.4862358,0.63089,0.4596023,-35.76059,7.717437,-30.05836,1008.095
3.464896202,-154.2368,156.9775,-182.3431,0.3644015,0.4295273,0.5752402,-34.26735,5.497606,-32.20142,1008.095
3.497673988,-104.975,159.5185,-160.6565,0.2292355,0.780208,0.9495317,-32.08714,5.457556,-34.75275,1008.097
3.530451298,-148.8944,153.491,-131.2727,0.1262949,0.8101626,1.10858,-32.08714,5.457556,-34.75275,1008.097
3.565749645,-163.2443,128.3175,-98.52899,0.01118187,0.4303698,1.191257,-28.03949,6.141022,-37.38012,1008.097
3.598527432,-88.26453,96.88023,-73.91012,0.05604469,0.3736167,1.310614,-24.42784,7.573061,-38.65092,1008.097
3.631304264,-77.02066,64.55653,-45.80917,0.02141552,0.4532601,1.389038,-24.42784,7.573061,-38.65092,1008.097
3.664081573,-77.14491,33.76924,-18.86891,0.006749013,0.260655,1.234365,-21.58356,11.20451,-39.14709,1008.098
3.696858883,-23.78316,12.61406,7.949166,-0.0004446114,0.1867316,1.048206,-20.16822,13.45432,-38.74919,1008.098
3.732157707,-22.97559,3.218327,19.4339,-0.004817565,0.1740206,0.9765126,-20.16822,13.45432,-38.74919,1008.102
3.764935017,-22.29226,1.681917,26.0926,0.003127497,0.09955361,0.9741992,-19.04235,14.90931,-38.7736,1008.104
3.797711849,-16.39079,-1.745459,30.42992,0.04002478,0.1098732,1.013086,-19.05515,15.64412,-38.34995,1008.104
3.830489635,-14.21656,-0.3272345,33.30111,0.06041348,0.1089521,0.9961918,-19.05515,15.64412,-38.34995,1008.104
3.865787983,-3.842388,-2.750034,28.23072,0.04076442,-0.006369841,0.9651238,-18.71822,17.10015,-38.4355,1008.105
3.898565292,12.74386,-2.809127,22.36617,0.03541649,0.008131227,1.025766,-18.36007,17.47051,-37.94443,1008.105
3.931343079,25.91346,-12.79579,16.62381,-0.02675334,0.0149214,1.026385,-18.36007,17.47051,-37.94443,1008.107
3.964119911,43.3694,-15.27768,16.80707,0.1484341,0.0430648,0.9407258,-18.00493,17.81624,-39.25596,1008.107
3.996897221,52.68752,-6.650152,10.08728,0.03365331,0.1184915,0.9293317,-18.01097,18.18662,-38.82658,1008.107
4.032196045,36.7846,-6.886522,11.55342,0.05577041,0.2349703,1.053776,-18.348,16.72975,-38.80319,1008.107
4.064973354,15.29081,-8.245654,10.14837,0.1102743,0.1817407,1.037842,-18.348,16.72975,-38.80319,1008.107
4.097750187,34.23765,-5.113742,8.376789,0.08558255,0.1331593,0.9450713,-18.69252,15.63136,-39.22064,1008.107
4.130527973,28.08769,-6.236503,8.254611,0.0799337,0.2828747,1.049796,-18.68721,15.25504,-40.08514,1008.107
4.165826321,1.313636,-10.72755,9.53748,0.07851016,0.2662065,1.035865,-18.68721,15.25504,-40.08514,1008.109
4.198603630,2.680293,-14.39129,13.8748,0.09890181,0.2572486,0.9838429,-18.30889,14.53124,-39.63903,1008.109
4.231381416,7.587835,-12.7367,14.18025,0.1081448,0.2368821,0.9154984,-18.65944,13.80324,-39.62711,1008.109
4.264158249,4.233313,-2.750034,9.720748,0.09646884,0.2465388,0.917437,-18.65944,13.80324,-39.62711,1008.109
4.296935558,-11.48324,2.922863,3.97838,0.04754817,0.2010571,0.9493914,-19.38687,13.81092,-39.19105,1008.109
4.332234860,-1.854523,8.654853,-1.030919,0.1287955,0.1349943,0.9468915,-18.65944,13.80324,-39.62711,1008.109
4.365011692,12.74386,12.3186,-6.712198,0.1331074,0.1669553,0.985342,-18.65944,13.80324,-39.62711,1008.107
4.397789002,15.91202,13.79592,-10.37754,0.06354351,0.2164058,0.966178,-18.30816,14.53718,-39.20392,1008.107
4.430566788,20.9438,14.44594,-8.972491,0.1504402,0.2198489,0.9366036,-19.02425,13.79816,-40.06174,1008.107
4.465865135,23.86348,25.90992,-10.86625,0.1371814,0.278032,0.9148861,-19.02425,13.79816,-40.06174,1008.107
4.498641968,12.8681,35.48293,-13.3709,0.08274167,0.29842,0.9005437,-18.64134,12.69209,-40.91525,1008.107
4.531419277,-1.60604,47.30147,-17.8304,0.09147564,0.2999104,0.894263,-17.89966,11.96147,-40.90473,1008.107
4.564197064,-26.08163,58.88363,-23.9393,0.02338535,0.3622686,0.9785688,-17.89966,11.96147,-40.90473,1008.107
4.596973896,-56.08596,61.6019,-27.72682,-0.09114821,0.3617562,1.11266,-16.43692,11.52092,-41.77015,1008.107
4.632272244,-67.82679,41.45129,-11.1717,-0.1447881,0.2486594,1.092259,-15.3661,12.67235,-41.7897,1008.105
4.665050030,-57.7011,38.85122,-8.178334,-0.07109316,0.06923518,0.975865,-15.3661,12.67235,-41.7897,1008.105
4.697827339,-27.57253,48.12877,-11.23279,-0.09636347,0.08233828,0.9994919,-13.20795,14.1308,-41.38033,1008.106
4.730604172,-17.19835,51.49705,-12.39348,-0.1770826,0.1364438,1.032816,-11.79897,16.67837,-41.42232,1008.106
4.765903473,-2.41361,47.71511,-13.43199,-0.1603229,0.03139047,1.033897,-11.79897,16.67837,-41.42232,1008.106
4.798680305,18.08625,47.53784,-5.795863,-0.1725768,0.07394663,1.00498,-9.978584,16.67401,-41.42467,1008.106
4.831457615,16.90595,44.11046,3.611846,-0.2096109,0.1296803,1.009798,-8.11104,17.39838,-41.43856,1008.106
4.864235401,-5.209045,32.58739,14.79114,-0.315388,0.101204,1.03416,-8.11104,17.39838,-41.43856,1008.106
4.897012234,29.08162,15.33233,27.19221,-0.219196,0.06438946,0.9473419,-6.999977,16.29056,-42.293,1008.106
4.932311058,40.63609,7.591185,36.59991,-0.274698,0.1156712,0.8944465,-4.829035,17.0142,-42.30728,1008.106
