Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.032401085,2.81413,-0.4727561,-0.5595179,-0.960335,0.09221501,0.3024288,31.86684,-20.47703,-7.686027,1008.006
0.064684868,1.884525,-0.1205394,-0.2548144,-0.9564599,0.09127624,0.3077329,31.86684,-20.47703,-7.686027,1008.006
0.099452496,1.512684,0.29038,0.04988913,-0.9652042,0.1057446,0.3005824,31.11798,-20.84484,-8.541834,1008.006
0.131736279,-0.1606054,-0.003133895,0.5983555,-0.9651906,0.09798213,0.294737,31.50473,-20.83755,-7.675895,1008.008
0.164020062,-1.400079,0.4077855,0.9030591,-0.9622733,0.09512453,0.3058336,31.50473,-20.83755,-7.675895,1008.004
0.198783398,-0.6563947,1.640544,0.5374148,-0.955499,0.09418585,0.3087142,31.49275,-20.84319,-8.111622,1008.006
0.231067181,-2.143763,1.581841,1.085881,-0.9632455,0.09607815,0.302457,31.86684,-20.47703,-7.686027,1008.006
0.265834332,-0.09863176,0.818705,-0.132933,-0.9627339,0.08153547,0.2946382,31.86684,-20.47703,-7.686027,1008.006
0.298119068,3.123999,1.112219,-0.9251621,-0.9675984,0.09215169,0.2898747,31.85618,-21.21169,-8.112522,1008.007
0.332886219,3.495841,0.7600023,-1.961154,-0.960821,0.09122612,0.2966229,31.14195,-20.83356,-7.67038,1008.007
0.365170002,3.30992,0.05556888,-2.143976,-0.9651763,0.09364315,0.2995467,31.86684,-20.47703,-7.686027,1008.006
0.397449970,4.177551,-0.3553506,-1.656451,-0.9564977,0.1028479,0.2952294,31.86684,-20.47703,-7.686027,1008.007
0.432217121,3.867682,-2.116434,2.67034,-0.8408152,0.07628965,0.3571926,31.51605,-20.4674,-7.244784,1008.007
0.464500904,1.884525,-0.3553506,2.73128,-0.9767793,0.09899379,0.3174894,32.22962,-20.48102,-7.691542,1008.007
0.499268532,5.602945,1.288327,-1.961154,-1.069683,0.08722946,0.208849,32.22962,-20.48102,-7.691542,1008.007
0.531552315,4.859261,-0.4727561,-5.495715,-1.014063,0.09134667,0.2343748,31.50539,-21.20207,-7.671279,1008.009
0.563836098,3.619788,-1.588109,-6.166063,-0.976321,0.1003569,0.290907,31.1546,-21.19245,-7.230037,1008.009
0.598599434,4.797287,-2.87957,-4.337842,-0.9419979,0.1048169,0.2927921,31.1546,-21.19245,-7.230037,1008.009
0.630883217,-0.4704737,-4.229734,-2.204917,-0.9472861,0.09955385,0.3150118,31.51738,-21.19644,-7.235553,1008.007
0.665650368,-4.622709,-2.351245,0.6592962,-0.9457818,0.08121131,0.3274737,31.52936,-21.1908,-6.799826,1008.007
0.697935105,-4.498762,-0.5901617,1.87811,-0.9506351,0.08503287,0.3168702,31.52936,-21.1908,-6.799826,1008.008
0.732702255,-6.915735,0.9948133,4.376679,-0.9457749,0.0778189,0.3260041,31.50539,-21.20207,-7.671279,1008.007
0.764986038,-12.92718,1.699247,5.900197,-0.9423525,0.06039241,0.3215466,31.49275,-20.84319,-8.111622,1008.007
0.797266007,-8.836918,2.579788,7.119011,-0.9530002,0.06178757,0.3138425,31.49275,-20.84319,-8.111622,1008.007
0.832033158,-5.180472,2.697194,6.509604,-0.9559246,0.06950248,0.3080914,31.84287,-20.4883,-8.55748,1008.007
0.864316941,-1.028237,2.521086,4.43762,-0.9646121,0.0573286,0.2930543,31.49341,-21.2077,-8.107006,1008.008
0.899084568,4.053604,1.640544,3.096925,-0.9690373,0.0873099,0.2903337,31.49341,-21.2077,-8.107006,1008.01
0.931368351,4.983208,0.5251911,1.268703,-0.9700352,0.100862,0.2918632,31.11798,-20.84484,-8.541834,1008.01
0.966135502,8.453733,-0.06183667,-0.9861028,-0.9729497,0.1032423,0.2826977,31.12997,-20.8392,-8.106106,1008.01
