Time (s),Power (dBm),Percentage (%)
0.261258125,-65,70
0.761227131,-62,76
1.261193276,-62,76
1.761392116,-62,76
2.261059284,-62,76
2.761372566,-62,76
3.261235714,-62,76
3.761226654,-67,66
4.261048317,-59,82
4.761369228,-51,98
5.261113644,-53,94
5.761204243,-55,90
6.261213303,-59,82
6.761396408,-71,58
7.261023998,-57,86
7.761347771,-55,90
8.261198521,-59,82
8.761165619,-65,70
9.261071205,-47,100
9.761333942,-59,82
10.261049271,-57,86
10.761280060,-55,90
11.261140347,-55,90
11.761171818,-55,90
12.260961533,-60,80
12.761312485,-60,80
13.261012077,-59,82
13.761134624,-71,58
14.261118889,-62,76
14.761132240,-51,98
15.260980606,-53,94
15.761254311,-57,86
16.260975838,-57,86
16.761111736,-55,90
17.261096001,-53,94
17.761064053,-60,80
18.260952473,-51,98
18.761174679,-53,94
19.260893822,-57,86
19.761077881,-53,94
20.261054039,-59,82
20.761055946,-62,76
21.260910034,-62,76
21.761257648,-57,86
22.260885239,-63,74
22.761131763,-47,100
23.260888577,-55,90
23.761013031,-57,86
24.261059284,-57,86
24.761059761,-62,76
25.261037350,-49,100
25.761195660,-53,94
26.260892391,-51,98
26.761075973,-51,98
27.261056900,-53,94
27.761072636,-55,90
28.260981560,-49,100
28.761156082,-51,98
29.260859013,-53,94
29.761168003,-49,100
30.261000156,-55,90
30.761039257,-60,80
31.260854721,-57,86
31.761168957,-59,82
32.260966778,-60,80
32.761006832,-60,80
33.261013031,-67,66
33.761147022,-63,74
34.260801792,-65,70
34.761147499,-55,90
35.260963917,-64,72
35.760980606,-71,58
36.260946751,-75,50
36.761131763,-65,70
37.260854244,-60,80
37.761075973,-59,82
38.260978222,-71,58
38.760952473,-62,76
39.260782242,-55,90
39.761076450,-53,94
40.260831356,-59,82
40.760994434,-51,98
41.260910034,-62,76
41.761096001,-53,94
42.260741711,-62,76
42.761033535,-57,86
43.260902882,-53,94
43.760921955,-55,90
44.260794163,-61,78
44.761037350,-53,94
45.260715962,-49,100
45.761013985,-49,100
46.260880947,-59,82
46.760946274,-53,94
47.260888100,-58,84
47.761014938,-57,86
48.260733128,-53,94
48.760860443,-49,100
49.260859013,-62,76
49.760994911,-57,86
50.260755062,-59,82
50.760992527,-69,62
51.260891914,-59,82
51.760919094,-57,86
52.260651112,-65,70
52.761031151,-69,62
53.260715962,-58,84
53.760896683,-55,90
54.260856628,-59,82
54.760848999,-63,74
55.260848522,-77,46
55.760957718,-53,94
56.260716438,-57,86
56.760941982,-59,82
57.260799885,-60,80
57.760854244,-57,86
58.260642529,-55,90
58.760935306,-51,98
59.260648251,-49,100
59.760776043,-47,100
60.260812759,-43,100
60.760814667,-60,80
61.260603428,-62,76
61.760751724,-60,80
62.260601521,-58,84
62.760771751,-55,90
63.260773182,-57,86
63.760727405,-55,90
64.260620117,-53,94
64.760938644,-49,100
65.260557175,-73,54
65.760744095,-64,72
66.260567188,-53,94
67.260705471,-59,82
67.760757923,-53,94
68.260549545,-64,72
68.760892391,-55,90
69.260588646,-57,86
69.760851860,-61,78
70.260737896,-53,94
71.260731220,-59,82
71.760873794,-51,98
72.260600090,-55,90
72.760837555,-55,90
73.260681152,-53,94
74.260509968,-53,94
74.760814667,-59,82
75.260552406,-53,94
75.760678768,-65,70
76.260694027,-59,82
76.760850429,-64,72
77.260569573,-62,76
77.760792255,-62,76
78.260652542,-59,82
78.760646343,-57,86
79.260671139,-53,94
79.760787010,-45,100
80.260525703,-49,100
80.760740757,-55,90
81.260656357,-49,100
81.760613441,-51,98
82.260589600,-49,100
82.760757446,-43,100
83.260494232,-51,98
83.760743141,-51,98
84.260471821,-45,100
84.760650635,-60,80
85.260477543,-60,80
85.760735035,-45,100
86.260642529,-47,100
86.760614395,-55,90
87.260573864,-62,76
87.760739803,-64,72
88.260456562,-62,76
