Time (s),W,X,Y,Z
0.015926361,0.06537166,0.3701581,-0.9100255,0.1648963
0.048205853,0.06584026,0.3725716,-0.9090422,0.1646977
0.080485821,0.06624718,0.3749259,-0.9080811,0.1644938
0.115244865,0.0666614,0.3773926,-0.9070815,0.1642005
0.147524834,0.0670654,0.3797258,-0.9061362,0.1638763
0.182287216,0.06746394,0.3821816,-0.9051418,0.1634985
0.214567184,0.06778843,0.3843966,-0.9042446,0.1631368
0.249330521,0.06811605,0.3866153,-0.9033226,0.1628642
0.281610012,0.06845686,0.3886467,-0.9024445,0.1627549
0.313886166,0.06877256,0.3907033,-0.9015564,0.1626193
0.348648548,0.06911804,0.3930058,-0.9005606,0.1624426
0.380928516,0.0694228,0.3952722,-0.8995842,0.1622232
0.415691376,0.069842,0.3978301,-0.8984675,0.1619788
0.447971344,0.07026627,0.3997814,-0.8976084,0.1617537
0.482733726,0.07070562,0.4017586,-0.8967261,0.1615578
0.515009880,0.07103969,0.4035055,-0.8959513,0.1613553
0.547289371,0.07134923,0.4054199,-0.8951038,0.1611239
0.582052708,0.07168098,0.4074698,-0.8941801,0.1609342
0.614332676,0.07193536,0.4093883,-0.893304,0.1608178
0.649095058,0.07218114,0.4114941,-0.8923417,0.1606743
0.681375027,0.07239258,0.4132782,-0.8915429,0.1604352
0.713650703,0.07268129,0.4149368,-0.8907979,0.1601609
0.748414040,0.07299863,0.4167221,-0.8899797,0.1599304
0.780693531,0.07328189,0.4182596,-0.8892698,0.1597358
0.815456867,0.07356121,0.4198447,-0.8885328,0.1595507
0.847736835,0.07383278,0.4213589,-0.8878129,0.1594414
0.882499218,0.07417966,0.4231035,-0.886977,0.1593115
0.914774895,0.07454644,0.4247439,-0.8861838,0.1591901
0.947054863,0.07483674,0.4263501,-0.8854094,0.1590688
0.981818199,0.07508464,0.4279983,-0.884618,0.1589289
1.014098167,0.07528853,0.4294966,-0.8839015,0.1587769
1.048860550,0.075505,0.4309191,-0.8832353,0.1585274
1.081140518,0.07567441,0.4322159,-0.8826191,0.1583473
1.115899563,0.07587888,0.4336521,-0.8819307,0.1581587
1.148179054,0.07614706,0.4350582,-0.8812452,0.1579892
1.180459023,0.07643793,0.436545,-0.8805031,0.1578851
1.215221405,0.07675005,0.4381597,-0.8796907,0.157789
1.247501373,0.07703831,0.4396597,-0.8789319,0.1577052
1.282264710,0.07728496,0.4411975,-0.878157,0.1576062
1.314540386,0.07752962,0.4425848,-0.8774641,0.1574556
1.349303722,0.07787212,0.4440005,-0.8767472,0.1572945
1.381583691,0.07825761,0.445215,-0.8761256,0.1571336
1.413863182,0.07865167,0.4463128,-0.8755519,0.1570196
1.448626041,0.07910707,0.4473779,-0.8749797,0.1569503
1.480905533,0.07968595,0.4484719,-0.8743837,0.1568561
1.515664577,0.08023547,0.4496893,-0.873734,0.1567107
1.547944546,0.08062255,0.4508068,-0.8731439,0.1565911
1.582706928,0.080727,0.4520826,-0.872523,0.1563192
1.614986896,0.08077198,0.4534213,-0.8719422,0.1556578
1.647266865,0.08108109,0.4546775,-0.8714379,0.1546537
1.682030201,0.08160032,0.4559778,-0.8709004,0.1535765
1.714305878,0.08220436,0.4568077,-0.8705728,0.1526434
1.749069214,0.08276149,0.457663,-0.8701808,0.1520136
