Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.431912422,46.566,33.12
1.431238175,46.55,33.122
2.430563927,46.564,33.122
3.429890156,46.63,33.124
4.431720734,46.662,33.126
5.431046963,46.66,33.128
6.430374146,46.6,33.128
7.429700852,46.662,33.13
8.431532383,46.694,33.132
9.430860043,46.704,33.134
10.430188179,46.686,33.134
11.432020664,46.678,33.136
12.431863785,46.674,33.138
13.431191921,46.722,33.138
14.430520535,46.72,33.14
15.432390213,46.76,33.144
16.431719303,46.73,33.144
17.431048870,46.738,33.146
18.430378914,46.71,33.148
19.432213307,46.754,33.15
20.431543350,46.762,33.15
21.430874348,46.772,33.152
22.430205345,46.814,33.154
23.432041168,46.804,33.154
24.431371689,46.86,33.156
25.430703640,46.838,33.158
26.430035114,46.834,33.16
27.432454586,46.88,33.162
28.431787014,46.808,33.164
29.431119919,46.812,33.166
30.430451870,46.832,33.166
31.432290554,46.902,33.168
32.431623459,46.868,33.17
33.430956841,46.894,33.172
34.430290222,46.926,33.174
35.432128430,46.896,33.176
37.430796623,46.866,33.178
38.430130959,46.898,33.18
39.431969643,46.952,33.18
40.431304455,46.92,33.18
41.430638790,46.94,33.182
42.429973602,46.952,33.182
43.431813240,46.898,33.182
44.431148052,46.916,33.184
45.430483341,46.906,33.184
46.429818630,46.946,33.184
47.431658268,46.982,33.186
48.430993080,46.98,33.186
49.430328846,46.964,33.186
50.429664612,46.916,33.188
51.431541443,46.982,33.188
52.430877686,46.976,33.19
53.430212975,46.968,33.19
54.432054043,46.992,33.19
55.431389809,46.98,33.192
56.430726051,46.99,33.192
57.430062294,47.002,33.192
58.431902886,46.964,33.194
59.431240082,47.024,33.194
60.430576325,47.01,33.196
61.429913044,46.996,33.196
62.431754112,46.992,33.196
63.431090832,47.024,33.196
64.430428028,46.98,33.196
65.430052281,47.02,33.198
66.431893826,47.076,33.198
67.431230545,47.006,33.198
68.430568218,47.062,33.198
69.429904938,47.01,33.198
70.431950092,47.02,33.198
71.431287766,47.01,33.2
72.430625439,47.026,33.2
73.429962158,47.022,33.2
74.431804180,46.988,33.2
75.431142807,47.024,33.202
76.430480003,47.034,33.202
77.429817677,47.022,33.202
78.431660652,47.058,33.202
79.430998802,47.044,33.204
80.430336475,47.056,33.204
81.429674625,47.066,33.204
82.431517601,47.006,33.204
83.431041241,47.01,33.206
84.430379391,47.076,33.206
85.429718495,47.086,33.208
86.431561947,47.1,33.208
87.430900097,47.072,33.208
88.430239201,47.058,33.208
89.429578781,47.09,33.21
90.431422234,47.072,33.21
91.430761337,47.088,33.212
92.430100918,47.1,33.212
93.429440022,47.138,33.212
94.431283951,47.096,33.214
95.430623531,47.1,33.214
96.429963112,47.116,33.214
97.429302693,47.134,33.216
98.431147575,47.12,33.216
99.430487156,47.12,33.216
100.429827690,47.126,33.218
101.429167748,47.11,33.218
102.431012631,47.13,33.22
103.430353165,47.15,33.22
104.430227280,47.138,33.22
105.429568291,47.122,33.222
106.431413174,47.154,33.222
107.430754185,47.104,33.222
108.430094719,47.144,33.222
109.429435730,47.102,33.224
110.431280613,47.14,33.224
