Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.187105179,40.94141,67.96875,3.736875,247.5,0
1.241865158,40.94141,67.875,3.738125,258.75,0
2.120873928,40.92969,67.78125,3.735625,269.6875,0
3.175945759,40.91797,68.0625,3.73625,278.125,0
4.230600357,40.90234,67.875,3.735625,265.9375,0
5.109571457,40.89063,67.875,3.738125,244.0625,0
6.164281368,40.89063,68.0625,3.735625,269.375,0
7.219082356,40.87891,68.15625,3.738125,259.375,0
8.098233223,40.86719,68.25,3.738125,255.3125,0
9.153017998,40.85547,68.0625,3.735625,261.25,0
10.207973003,40.84375,67.875,3.738125,259.375,0
11.262796402,40.83203,67.96875,3.733125,280.9375,0
12.141784191,40.83203,67.96875,3.735625,255,0
13.196394444,40.82031,67.875,3.734375,253.75,0
14.251494408,40.80469,67.875,3.735,264.6875,0
15.130232811,40.79297,67.6875,3.736875,268.125,0
16.185108185,40.78125,67.59375,3.736875,265.9375,0
17.239823818,40.78125,67.5,3.734375,261.5625,0
18.118816853,40.76953,67.59375,3.73375,314.6875,0
19.173615456,40.75781,67.3125,3.735625,281.25,0
20.228297710,40.74609,67.125,3.73625,254.0625,0
21.107202053,40.73438,67.21875,3.73875,254.375,0
22.162252426,40.72266,67.21875,3.735625,250.3125,0
23.216928959,40.72266,67.21875,3.730625,260.9375,0
24.095908642,40.70703,67.3125,3.734375,254.0625,0
25.150655746,40.69531,67.40625,3.734375,295,0
26.205469608,40.68359,67.21875,3.73375,253.4375,0
27.260076046,40.67188,67.21875,3.735,255.3125,0
28.139094830,40.67188,67.21875,3.735625,258.75,0
