Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.2575342,-0.06598195,0.04139136,0.05971551,0.1517443,-0.9877953,-2.106119,2.736142,38.25648,1008.016
0.034763813,0.3006588,-0.06541634,0.041458,0.05826139,0.1527031,-0.9892371,-2.083471,3.476442,39.1187,1008.014
0.067044258,-0.009832276,0.1696796,0.1632659,0.06067864,0.1517307,-0.9926319,-2.819687,2.749754,38.70324,1008.014
0.101807594,-0.07226785,0.05193432,-0.01973764,0.0626159,0.1507717,-0.9916747,-2.819687,2.749754,38.70324,1008.016
0.134088039,0.1762706,-0.006630294,-0.080598,0.05584362,0.1522074,-0.9906849,-2.08281,3.111927,39.12331,1008.017
0.168847561,0.1753991,-0.006564304,-0.08032078,0.06262408,0.1493396,-0.9858815,-2.094795,3.106293,38.68759,1008.017
0.201128483,0.4222674,0.1101866,0.04139118,0.05923716,0.1478552,-0.9926508,-2.094795,3.106293,38.68759,1008.015
0.233407974,0.2970462,-0.1834819,-0.08058241,0.06068524,0.1502921,-0.9887725,-2.096118,3.835324,38.67836,1008.017
0.268171787,-0.0760797,-0.3003581,-0.1415514,0.05874986,0.1502816,-0.9902188,-1.732018,3.102304,38.68207,1008.02
0.300452232,-0.4470476,-0.240983,-0.08049247,0.0601928,0.1526972,-0.9926253,-1.732018,3.102304,38.68207,1008.02
0.335215568,-0.3213906,-0.2400359,-0.1411178,0.05826174,0.1522159,-0.9902068,-2.808363,3.119905,39.13435,1008.02
0.367492199,-0.5671781,-0.1802997,0.1029906,0.05923156,0.1517413,-0.9882777,-2.820349,3.11427,38.69862,1008.02
0.402256012,-0.07026014,-0.179582,0.04215207,0.06019408,0.1536798,-0.9882687,-2.820349,3.11427,38.69862,1008.018
0.434536457,-0.0700127,-0.1204232,0.0422669,0.05874907,0.1502783,-0.9911857,-2.443602,2.022368,39.14268,1008.018
0.466816902,0.1776035,-0.06148715,-0.07980596,0.05681686,0.150281,-0.9887642,-2.45691,2.745766,38.69772,1008.016
0.501580238,-0.008358232,0.1145413,-0.1407975,0.060673,0.155128,-0.9897119,-2.45691,2.745766,38.69772,1008.016
0.533860683,-0.07022019,0.1144058,-0.01887728,0.06262254,0.1498218,-0.9863622,-2.45691,2.745766,38.69772,1008.014
