Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.996347904,41.86719,69.28125,3.745,263.125,0
2.051369667,41.85547,69.375,3.745625,260.3125,0
2.930433750,41.85547,69.46875,3.741875,253.75,0
3.985154152,41.84375,69.65625,3.7425,261.875,0
5.039785385,41.83203,69.5625,3.745625,245.9375,0
5.918711185,41.82031,69.5625,3.745625,261.875,0
6.973506927,41.80859,69.65625,3.743125,280.625,0
8.028213024,41.79688,69.75,3.74,258.125,0
8.907213688,41.79688,69.75,3.745625,246.5625,0
9.961982727,41.78125,69.75,3.745625,253.125,0
11.017131329,41.76953,69.75,3.74375,263.75,0
12.071643829,41.75781,69.1875,3.74375,267.8125,0
12.950591087,41.74609,69.375,3.743125,260.3125,0
14.005260944,41.74609,69.375,3.745,247.5,0
15.060156822,41.73438,69.46875,3.74375,254.0625,0
15.939136028,41.72266,69.375,3.741875,271.875,0
16.993998528,41.71094,69.46875,3.74125,257.8125,0
18.048634052,41.69922,69.46875,3.740625,267.8125,0
18.927610397,41.69922,69.375,3.74625,252.1875,0
19.982342243,41.68359,69.375,3.739375,278.4375,0
21.037075520,41.67188,69.375,3.743125,270.625,0
21.916023254,41.66016,69.46875,3.74375,258.125,0
22.970911503,41.64844,69.46875,3.7425,245.9375,0
24.026098728,41.63672,69.46875,3.741875,255,0
24.904821396,41.63672,69.5625,3.74375,266.875,0
25.959632874,41.625,69.375,3.7425,256.25,0
27.014237404,41.61328,69,3.741875,253.75,0
28.069045544,41.60156,69,3.741875,276.875,0
28.948080540,41.58594,69.1875,3.74625,251.875,0
30.002950668,41.58594,69.1875,3.73625,269.0625,0
31.057617664,41.57422,68.8125,3.741875,264.0625,0
31.936643124,41.5625,68.71875,3.74125,264.0625,0
32.991410732,41.55078,68.71875,3.743125,269.0625,0
