Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.009235382,0.3024237,-0.1139486,0.1634483,0.1285612,-0.3168218,-0.9412972,-7.419254,25.09507,70.56606,1008.024
0.041516304,0.05452901,-0.05524584,0.1634483,0.1246904,-0.3173315,-0.9456427,-7.419254,25.09507,70.56606,1008.024
0.073796749,-0.317313,-0.1726514,-0.01937377,0.1256527,-0.3173484,-0.9514462,-7.79639,25.45713,70.06898,1008.024
0.108556270,-0.1933656,0.1208625,0.1025076,0.1271019,-0.3158843,-0.9490237,-8.521282,25.10059,70.08463,1008.024
0.140836715,0.1784763,-0.05524584,0.1634483,0.1309723,-0.315865,-0.9466147,-8.521282,25.10059,70.08463,1008.024
0.175601005,0.426371,-0.2313542,0.1634483,0.1280786,-0.3192625,-0.9471112,-7.793355,24.72891,70.14046,1008.022
0.207881450,-0.131392,0.1795653,-0.01937377,0.1280737,-0.3163507,-0.9446775,-7.419254,25.09507,70.56606,1008.022
0.242644310,-0.503234,0.1795653,-0.01937377,0.1275821,-0.3129646,-0.9446571,-7.419254,25.09507,70.56606,1008.02
0.274924755,-0.6271813,0.4143764,-0.1412552,0.1208257,-0.3202592,-0.9495186,-7.417931,24.36604,70.57529,1008.02
0.307201385,-0.4412603,0.6491875,-0.1412552,0.1338716,-0.3148872,-0.946132,-7.420966,25.09426,70.50381,1008.02
0.341965198,-0.1933656,0.003456943,0.04156693,0.1280825,-0.319735,-0.9437299,-7.420966,25.09426,70.50381,1008.02
0.374245643,0.3024237,0.06215972,-0.01937377,0.1333839,-0.3129513,-0.9456365,-7.795067,24.7281,70.07822,1008.024
0.409009456,0.1784763,-0.05524584,0.1025076,0.1304907,-0.316347,-0.9456496,-7.79639,25.45713,70.06898,1008.023
0.441290378,-0.007444652,-0.3487597,-0.01937377,0.1333971,-0.3197378,-0.9490591,-7.79639,25.45713,70.06898,1008.023
0.476054191,-0.007444652,-0.4074625,0.04156693,0.1280698,-0.3158782,-0.9480589,-8.144808,25.10305,70.57709,1008.024
0.508330345,0.1165027,-0.2313542,-0.08031447,0.1261459,-0.3197503,-0.9466264,-7.070174,25.08464,70.06257,1008.024
0.540610790,0.1784763,-0.05524584,-0.01937377,0.1256548,-0.3168514,-0.9475757,-7.070174,25.08464,70.06257,1008.026
0.575374603,0.3643973,0.06215972,-0.08031447,0.1266253,-0.3183004,-0.9475861,-7.795729,25.09262,70.0736,1008.026
0.607655525,0.1784763,0.1208625,0.04156693,0.1300032,-0.315876,-0.9490299,-7.40898,25.0999,70.93954,1008.028
0.642419338,0.3024237,0.238268,0.224389,0.1251685,-0.3158865,-0.9480527,-7.430578,24.72492,70.13495,1008.026
0.675007820,0.3024237,0.4143764,0.1025076,0.1275978,-0.3192524,-0.9437261,-7.430578,24.72492,70.13495,1008.026
0.709767342,0.1784763,0.003456943,-0.08031447,0.132908,-0.3158529,-0.944685,-7.784405,25.46277,70.50471,1008.028
0.742047787,0.1165027,-0.3487597,0.04156693,0.1295201,-0.314898,-0.9456393,-8.156794,25.09741,70.14137,1008.026
0.774328709,0.6122919,-0.1726514,0.1634483,0.1314566,-0.3153715,-0.9441958,-8.156794,25.09741,70.14137,1008.026
0.809092522,0.426371,-0.1139486,-0.08031447,0.1285515,-0.3149074,-0.9475709,-7.784405,25.46277,70.50471,1008.03
0.841372967,0.426371,0.003456943,0.04156693,0.1256479,-0.3134589,-0.9461061,-7.78242,24.36922,70.51856,1008.03
0.876136780,0.3024237,-0.05524584,0.04156693,0.1266292,-0.3192617,-0.9456578,-7.78242,24.36922,70.51856,1008.032
0.908413410,-0.1933656,-0.05524584,-0.01937377,0.1246892,-0.3178253,-0.9485461,-8.156794,25.09741,70.14137,1008.028
0.940693855,-0.06941832,-0.05524584,-0.2021959,0.1295285,-0.3182839,-0.9451751,-7.070836,25.44916,70.05795,1008.032
0.975457668,-0.007444652,0.2969708,0.04156693,0.1275764,-0.3115226,-0.9475496,-7.070836,25.44916,70.05795,1008.032
1.007738113,-0.06941832,0.1795653,-0.3240773,0.1256506,-0.3144252,-0.9456282,-8.14547,25.46756,70.57247,1008.032
1.042500973,-0.06941832,0.1208625,-0.1412552,0.1285542,-0.3148959,-0.9441869,-8.144146,24.73853,70.5817,1008.032
1.074781895,0.05452901,0.1795653,0.224389,0.1309806,-0.3197398,-0.9476036,-8.144146,24.73853,70.5817,1008.032
1.109541416,0.24045,0.2969708,-0.01937377,0.1285669,-0.3192415,-0.9413109,-7.433613,25.45315,70.06347,1008.026
1.141821861,-0.007444652,0.06215972,-0.01937377,0.1304991,-0.3197329,-0.9451854,-8.156132,24.73289,70.14598,1008.03
1.174102306,0.1165027,0.003456943,-0.01937377,0.130007,-0.3173262,-0.9485548,-8.156132,24.73289,70.14598,1008.03
1.208866596,-0.2553393,-0.2900569,0.1025076,0.1261414,-0.3173257,-0.9451623,-7.431239,25.08944,70.13033,1008.03
1.241147041,-0.503234,-0.2900569,0.1025076,0.130001,-0.3139305,-0.9461182,-8.168778,25.09178,69.70564,1008.028
1.275910854,-0.317313,-0.4074625,0.1025076,0.12276,-0.319276,-0.9466165,-8.168778,25.09178,69.70564,1008.027
1.308187008,-0.007444652,-0.05524584,0.04156693,0.1266152,-0.3154099,-0.9514372,-8.156794,25.09741,70.14137,1008.027
1.342950821,0.426371,0.1208625,0.04156693,0.1271026,-0.3173476,-0.9524161,-7.417931,24.36604,70.57529,1008.027
1.375231743,0.5503183,0.06215972,0.1025076,0.1246918,-0.3187915,-0.9480682,-7.417931,24.36604,70.57529,1008.027
1.407512188,0.3643973,0.1795653,0.1025076,0.1251724,-0.3168478,-0.9461244,-7.782692,25.46357,70.56696,1008.025
1.442276001,-0.131392,0.1208625,-0.1412552,0.1329149,-0.3187565,-0.9447016,-8.144808,25.10305,70.57709,1008.025
1.474556446,-0.1933656,0.003456943,-0.1412552,0.12421,-0.3173198,-0.9417741,-8.144808,25.10305,70.57709,1008.025
1.509315491,-0.2553393,0.3556736,0.04156693,0.1256664,-0.3197353,-0.9417909,-7.782031,25.09906,70.57157,1008.025
1.541595936,-0.317313,-0.1726514,0.04156693,0.1314546,-0.3163574,-0.9495193,-8.157454,25.46193,70.13675,1008.025
1.576359749,0.05452901,-0.2313542,0.04156693,0.1309872,-0.3216673,-0.9451975,-8.531555,25.09576,69.71115,1008.023
1.608640194,0.24045,-0.4074625,0.224389,0.1256568,-0.3158655,-0.9422523,-8.531555,25.09576,69.71115,1008.023
1.640921116,0.1165027,-0.1139486,0.04156693,0.1256508,-0.3124698,-0.9398158,-8.532217,25.46028,69.70654,1008.027
1.675684929,0.3643973,0.1208625,-0.08031447,0.1246903,-0.3183092,-0.9485489,-7.794016,25.09342,70.13585,1008.026
1.707961082,0.1784763,0.1795653,0.224389,0.1295176,-0.3163744,-0.9528992,-7.794016,25.09342,70.13585,1008.026
1.742724895,0.4883446,-0.05524584,0.1025076,0.124213,-0.3192621,-0.9437189,-7.794016,25.09342,70.13585,1008.027
1.775005817,0.8601866,0.06215972,0.1025076,0.1295189,-0.314903,-0.9470896,-8.144808,25.10305,70.57709,1008.029
1.809769630,0.24045,0.003456943,0.1025076,0.1324347,-0.3206985,-0.9461619,-8.144808,25.10305,70.57709,1008.029
1.842050075,-0.131392,0.003456943,0.1025076,0.1300187,-0.3197213,-0.9413168,-7.431239,25.08944,70.13033,1008.029
1.874330521,-0.3792866,-0.1726514,0.2853298,0.1198656,-0.3221879,-0.9466268,-8.157454,25.46193,70.13675,1008.029
1.909090042,-0.1933656,0.238268,-0.01937377,0.1285633,-0.319745,-0.947115,-8.157454,25.46193,70.13675,1008.029
1.941370964,-0.6891549,-0.1726514,0.1025076,0.1285594,-0.3187837,-0.9490433,-8.157844,24.73209,70.08373,1008.027
1.976134777,-0.06941832,-0.1726514,0.1025076,0.1232248,-0.3125111,-0.9499631,-7.782031,25.09906,70.57157,1008.026
2.008415222,0.1165027,0.1208625,-0.01937377,0.1232478,-0.3202343,-0.9442058,-7.782031,25.09906,70.57157,1008.024
