Time (s),Humidity (%)
0.098992348,10.89063
1.100410461,11.02734
2.100213051,10.86523
3.100015163,10.51855
4.099816799,11.03906
5.099619388,11.48535
6.099421024,12.46484
7.099223137,11.26172
8.101499557,11.44824
9.101301193,10.34473
10.101102829,11.86914
11.100904465,11.64551
12.100705623,10.1084
13.100507259,10.51758
14.100308418,10.38086
15.100110054,10.45508
16.099911213,11.37305
17.099711418,11.62109
18.099512577,11.68262
19.099313259,10.55469
20.099113464,10.90137
21.098914623,10.45508
22.101189613,11.29785
23.100989818,10.93848
24.100790500,11.09961
25.100590706,11.47168
26.100390911,10.59082
27.100191593,11.39746
28.099990845,10.59082
29.099791527,10.80176
30.099591732,10.00781
31.099391460,10.75195
32.099191665,10.77637
33.098991394,11
