Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,2.407248,0.4234416,0.2140056,0.07754748,-0.8995845,0.4540715,12.07818,21.46977,-33.20815,1007.767
0.032172680,2.530109,1.252032,-0.09242954,0.08213686,-0.8742811,0.4653232,12.07818,21.46977,-33.20815,1007.767
0.064345360,0.6257663,1.074477,0.3978666,0.07280122,-0.8839644,0.4624385,12.45008,21.07759,-33.65451,1007.767
0.098992348,-1.094285,0.7193667,0.6430147,0.0816329,-0.8791289,0.46577,12.07818,21.46977,-33.20815,1007.768
0.131160736,-0.4185508,-0.05003847,0.09143153,0.07180291,-0.8825292,0.4590857,12.07818,21.46977,-33.20815,1007.768
0.165808201,0.6871967,-0.2867785,-0.5214387,0.07764263,-0.8932115,0.4623171,12.45586,21.08327,-33.20823,1007.768
0.197980881,1.11721,0.06833155,0.0301445,0.08497394,-0.889369,0.4617984,12.83431,21.84017,-33.21388,1007.768
0.232627868,-1.462868,-0.5827035,-0.2762906,0.07091593,-0.8737391,0.4654324,12.45637,21.84554,-33.21195,1007.768
0.264800548,-2.875767,-0.2867785,-0.3988647,0.08644333,-0.8782492,0.4570564,12.45637,21.84554,-33.21195,1007.768
0.299447536,-1.647159,0.1275166,-0.1537166,0.07287239,-0.8853505,0.4715844,12.45085,22.22099,-33.66009,1007.77
0.331616402,-0.9099941,-0.3459635,-0.4601517,0.06302168,-0.8810325,0.4586979,12.45586,21.08327,-33.20823,1007.77
0.366263866,-2.200033,-0.7602586,-0.1537166,0.07762212,-0.8893616,0.4580111,12.45586,21.08327,-33.20823,1007.768
0.398436546,0.01146213,0.009146541,0.09143153,0.07509895,-0.8870074,0.446968,12.46189,21.47009,-32.76381,1007.768
0.433084011,1.854375,-0.2275935,-0.2150036,0.07769065,-0.8786608,0.4609906,12.45611,21.46441,-33.21009,1007.768
0.465256214,0.8100575,0.3642566,0.1527185,0.08601015,-0.8767462,0.4628568,12.45611,21.46441,-33.21009,1007.768
