Time (s),Power (dBm),Percentage (%)
0.051601410,-55,90
0.551889897,-57,86
1.051769257,-55,90
1.551748753,-55,90
2.051663876,-57,86
2.551887512,-57,86
3.051596165,-55,90
3.551677704,-57,86
4.051670551,-57,86
4.551848889,-57,86
5.051680565,-55,90
5.551889420,-53,94
6.051724911,-57,86
6.551778793,-53,94
7.051635742,-55,90
7.551919460,-59,82
8.051584244,-57,86
8.551757336,-59,82
9.051693916,-57,86
9.551682472,-55,90
10.051603794,-53,94
10.551837921,-53,94
11.051523685,-59,82
11.551681042,-57,86
12.051658154,-60,80
12.551761627,-59,82
13.051560402,-57,86
13.551803112,-57,86
14.051507473,-57,86
14.552335739,-57,86
15.052157879,-57,86
15.552184105,-57,86
16.052160263,-59,82
16.552411080,-55,90
17.052040100,-55,90
17.552336693,-60,80
18.052194595,-51,98
18.552178860,-59,82
19.052191734,-51,98
19.552221298,-55,90
20.052051067,-57,86
20.552297592,-57,86
21.051960468,-55,90
21.552220345,-51,98
22.052116871,-51,98
22.552101612,-53,94
23.052011967,-57,86
23.552234650,-62,76
24.051947594,-59,82
24.552162647,-55,90
25.052018166,-53,94
25.551994801,-53,94
26.052017689,-62,76
26.552031517,-62,76
27.051862717,-67,66
27.552122593,-59,82
28.051812649,-65,70
28.552063942,-61,78
29.051907063,-59,82
29.551948547,-60,80
30.051778793,-60,80
30.552063465,-60,80
31.051728725,-61,78
31.551984787,-62,76
32.051847458,-63,74
32.551888466,-59,82
33.051863194,-53,94
33.551907063,-57,86
34.051851749,-57,86
34.552078724,-57,86
35.051801682,-51,98
35.552074433,-62,76
36.051887989,-62,76
36.551924706,-49,100
37.051775932,-59,82
37.551993370,-57,86
38.051710129,-59,82
38.552004814,-59,82
39.051803112,-65,70
39.551884651,-63,74
40.051822186,-51,98
40.551818371,-53,94
41.051660538,-61,78
41.551930428,-57,86
42.051626682,-59,82
42.551918030,-51,98
43.051748276,-55,90
43.551789761,-53,94
44.051559925,-51,98
44.551877499,-57,86
45.051562309,-57,86
45.551829338,-59,82
46.051660061,-60,80
46.551668167,-60,80
47.051684380,-61,78
47.551687241,-62,76
48.051466942,-60,80
48.551790714,-62,76
49.051435471,-59,82
49.551706791,-53,94
50.051609039,-51,98
50.551791191,-62,76
51.051593304,-61,78
51.551932335,-49,100
52.051598549,-57,86
52.551728726,-51,98
53.051656246,-53,94
53.551919460,-51,98
54.051534653,-57,86
54.551681042,-57,86
55.051703930,-47,100
55.551632881,-43,100
56.051484108,-59,82
57.051438808,-53,94
57.551649571,-51,98
58.051602364,-55,90
58.551587105,-53,94
59.051417351,-57,86
59.551708222,-57,86
60.051448822,-57,86
60.552154064,-60,80
61.051967144,-59,82
61.551999092,-57,86
62.051971436,-57,86
62.552108765,-57,86
63.051806450,-57,86
63.551869869,-57,86
64.051896095,-57,86
64.551890373,-57,86
65.051866055,-65,70
65.551986694,-57,86
66.051692009,-59,82
66.551971436,-53,94
67.051669598,-53,94
67.551939964,-57,86
68.051845074,-55,90
68.551830292,-53,94
69.051719666,-51,98
69.551943779,-53,94
70.051655293,-55,90
70.551876545,-53,94
71.051731110,-51,98
71.551725865,-51,98
72.051726818,-53,94
72.551707745,-57,86
