Time (s),W,X,Y,Z
0.005471230,0.7374575,0.3980157,-0.2136216,0.4987318
0.037645817,0.7372748,0.398564,-0.2138416,0.4984695
0.072295666,0.7373411,0.3985176,-0.2137753,0.4984372
0.104466438,0.7373581,0.3984207,-0.2137248,0.4985111
0.139116287,0.7373917,0.3985763,-0.2136416,0.4983727
0.171291351,0.7374172,0.3985512,-0.2136212,0.4983638
0.205940723,0.7373831,0.3987886,-0.2136052,0.4982312
0.238115788,0.7373621,0.3988286,-0.2136148,0.498226
0.272765637,0.7373816,0.3990745,-0.2136014,0.4980061
0.304936409,0.7375948,0.3990861,-0.2134207,0.4977584
0.339586258,0.7375328,0.3989481,-0.2134666,0.4979413
0.371760845,0.7375895,0.3989078,-0.2134012,0.4979177
0.406410694,0.7376386,0.3989493,-0.2134048,0.49781
0.438585281,0.7375588,0.3989728,-0.2135509,0.4978468
0.473235130,0.7374833,0.3988821,-0.2136206,0.4980015
0.505405426,0.7375004,0.3985794,-0.2135545,0.4982467
0.537580013,0.7375324,0.3984275,-0.2134647,0.4983594
0.572229862,0.7376773,0.3982707,-0.2133349,0.4983258
0.604404449,0.7378163,0.3981977,-0.2132452,0.4982165
0.639054298,0.7379196,0.3984068,-0.2132087,0.497912
0.671229362,0.7381107,0.398338,-0.2130793,0.4977392
0.705874920,0.7382263,0.3983978,-0.212955,0.497573
0.738049984,0.7383384,0.3981687,-0.2128404,0.4976393
0.772699356,0.7381837,0.3981516,-0.2130085,0.4978105
0.804874420,0.7381307,0.3981414,-0.2129953,0.4979028
0.839524269,0.7382218,0.3979432,-0.212883,0.4979741
0.871698856,0.7383468,0.3976619,-0.2127596,0.4980664
0.906344891,0.7384502,0.3975019,-0.2126395,0.4980921
0.938519478,0.7385328,0.3972968,-0.2126011,0.4981495
0.973169327,0.7387436,0.3971997,-0.2124243,0.4979898
1.005343914,0.7388391,0.3972112,-0.2122913,0.4978958
1.037518024,0.7389182,0.3971897,-0.2121845,0.4978411
1.072168350,0.7390546,0.3970613,-0.2120884,0.4977818
1.104338646,0.7391208,0.3970269,-0.2120591,0.4977236
1.139123917,0.7391508,0.397111,-0.2120121,0.4976319
1.171298504,0.739385,0.3971116,-0.2117734,0.4973851
1.205948353,0.7394843,0.397073,-0.2116738,0.4973109
1.238122940,0.7395331,0.3969645,-0.2116729,0.4973251
1.272772789,0.739656,0.3968692,-0.2116065,0.4972465
1.304943085,0.739677,0.3968759,-0.2115063,0.4972529
1.339592934,0.7397863,0.3966067,-0.2113298,0.4973799
1.371767521,0.7398801,0.3962093,-0.2112179,0.4976045
1.406417370,0.739896,0.3962004,-0.21117,0.4976085
1.438591957,0.7399384,0.3961916,-0.2111977,0.4975407
1.473241806,0.7398977,0.3962438,-0.2113602,0.4974906
1.505412579,0.7398034,0.3962713,-0.2114581,0.4975671
1.540062428,0.7396123,0.3964672,-0.2116723,0.4976041
1.572237015,0.7395071,0.3967023,-0.2118294,0.4975061
1.604412079,0.739409,0.3968885,-0.211933,0.4974596
1.639061451,0.7393669,0.3969497,-0.2119893,0.4974492
1.671236515,0.7394085,0.3969572,-0.212033,0.4973628
1.705881596,0.7394405,0.3969651,-0.2119938,0.4973257
1.738057136,0.7395383,0.396803,-0.2119165,0.4973425
1.772706032,0.7394332,0.3967858,-0.2121001,0.4974344
1.804881573,0.7392192,0.3971066,-0.2123533,0.497388
1.839531422,0.7392591,0.3970978,-0.2122738,0.4973701
1.871706009,0.7393205,0.397098,-0.2121598,0.4973271
1.906351566,0.7394079,0.3971207,-0.2120592,0.4972221
1.938526154,0.7394413,0.397133,-0.2120176,0.4971803
1.973176002,0.7392594,0.3972553,-0.2122763,0.4972427
2.005350590,0.7391719,0.3973939,-0.2124573,0.4971847
2.040000439,0.7389675,0.3975821,-0.2127176,0.4972267
2.072175026,0.7388006,0.3975897,-0.212843,0.4974149
2.104345799,0.7389159,0.3975957,-0.2127071,0.4972972
2.138995647,0.739025,0.3975881,-0.2125786,0.497196
2.171170235,0.7390745,0.3976378,-0.2125629,0.4970894
2.205820084,0.7389485,0.3976822,-0.2126814,0.4971902
2.237994671,0.73892,0.3975902,-0.2127326,0.4972845
2.272644520,0.7387205,0.397677,-0.2129486,0.4974189
2.304814816,0.7386361,0.3980371,-0.2130277,0.4972225
2.339464665,0.7387154,0.3979375,-0.2129751,0.497207
2.371639252,0.7387243,0.3978726,-0.2129039,0.4972759
2.406289101,0.7386298,0.3978608,-0.2129025,0.4974265
2.438464642,0.7386067,0.3978614,-0.2128735,0.4974727
2.473113537,0.73852,0.3979911,-0.2130278,0.4974316
2.505284786,0.738474,0.3983318,-0.2131393,0.4971793
2.539934158,0.7383336,0.3984441,-0.213302,0.4972281
2.572109222,0.7382166,0.3983448,-0.2133823,0.497447
2.604283810,0.7380765,0.3983607,-0.2135272,0.4975798
2.638933659,0.7380564,0.3984609,-0.2135773,0.4975079
2.671108246,0.7381304,0.3985299,-0.2135084,0.4973724
2.705754280,0.7382619,0.3984073,-0.2133815,0.49733
2.737928867,0.7381279,0.3984287,-0.2134937,0.4974634
2.772578716,0.7381092,0.398104,-0.2134936,0.4977511
2.804753303,0.7378942,0.3983727,-0.2137313,0.497753
2.839403152,0.7380314,0.3984106,-0.2135898,0.4975798
2.871577740,0.7381871,0.3983244,-0.213377,0.4975094
2.906223297,0.7382814,0.3983642,-0.2132051,0.4974111
2.938397884,0.7383415,0.3983883,-0.213165,0.4973199
2.973047733,0.7384183,0.398361,-0.2131541,0.4972325
3.005222321,0.7384102,0.3985675,-0.2132022,0.4970582
3.039872170,0.738234,0.3988185,-0.2133946,0.497036
3.072046757,0.7380174,0.3991213,-0.2138732,0.4969088
3.106692791,0.7363427,0.4010725,-0.2163174,0.4967642
3.138867378,0.7306458,0.4102196,-0.2232394,0.4946397
3.171041966,0.7206458,0.4268416,-0.2350669,0.489742
3.205691814,0.7055812,0.4515613,-0.2502968,0.4818992
3.237866402,0.6845338,0.4871104,-0.2630046,0.4707368
3.272516251,0.63826,0.5524021,-0.2819779,0.4523185
3.304686546,0.57892,0.6144202,-0.3057415,0.4364507
3.339336395,0.5306442,0.6533781,-0.3146472,0.4349005
3.371510983,0.4843056,0.6835843,-0.3218406,0.4372721
3.406160832,0.4344046,0.7106747,-0.3265989,0.4429389
3.438335419,0.3963706,0.7252574,-0.3253372,0.455714
3.472985268,0.3602727,0.7331038,-0.323699,0.473929
3.505156040,0.3257622,0.738301,-0.321924,0.4917147
3.539805889,0.2815205,0.7423054,-0.3252209,0.5104781
3.571980476,0.2342883,0.741808,-0.3381439,0.5264183
3.606630325,0.1793126,0.7304517,-0.3654412,0.5453141
3.638804912,0.1350157,0.7000242,-0.404626,0.569774
3.670979977,0.09010532,0.6505777,-0.44963,0.6025696
3.705625057,0.02121554,0.6072198,-0.5224732,0.5953851
3.737800121,0.06616129,0.6536289,-0.4669109,0.5890786
3.772450447,0.07133245,0.6138896,-0.4516499,0.640852
3.804624557,0.06110738,0.6124989,-0.4590517,0.6379735
3.839273930,0.06972469,0.6025801,-0.458029,0.6472038
3.871448994,0.09832367,0.6011413,-0.4316139,0.6627962
3.906095028,0.09443846,0.6051945,-0.4320048,0.659409
3.938269615,0.08424623,0.6074472,-0.4413782,0.6524749
3.972919464,0.07675414,0.6071019,-0.453923,0.6450718
4.005094051,0.07805133,0.602399,-0.4612196,0.6441486
4.039743900,0.08177102,0.5974151,-0.4683712,0.6431677
4.071918488,0.08253831,0.5954269,-0.4774396,0.6382267
4.106564522,0.08476044,0.5949814,-0.4841949,0.6332422
4.138738632,0.1074248,0.5935387,-0.4701765,0.6416645
4.173388958,0.1595979,0.5910293,-0.4289103,0.6617222
4.205563068,0.2197878,0.5791347,-0.3766871,0.6863168
4.237737656,0.2901263,0.5584971,-0.311479,0.7095888
4.272387505,0.3641089,0.5353704,-0.2372468,0.7219036
4.304558277,0.4236392,0.5137745,-0.1766875,0.7224782
4.339208126,0.4764445,0.492871,-0.126515,0.714633
4.371382713,0.5169743,0.4775691,-0.09753336,0.7012705
4.406032562,0.5441971,0.4772341,-0.09886484,0.6804046
4.438207150,0.5633357,0.4807671,-0.1147772,0.6595224
4.472856999,0.5913734,0.4726696,-0.1280785,0.6380317
4.505027294,0.6210341,0.4569584,-0.1400663,0.6184778
4.539677620,0.6467634,0.4443051,-0.1601914,0.5960338
4.571851730,0.6599405,0.4416051,-0.188691,0.5748799
4.606502056,0.6762027,0.4289919,-0.2079816,0.5586476
4.638676166,0.6894948,0.4157255,-0.2203185,0.5475917
4.673326015,0.6934859,0.4170712,-0.2409866,0.532618
4.705496788,0.689108,0.4292713,-0.2630613,0.51796
4.737671375,0.6728401,0.4624658,-0.2805351,0.5013376
4.772321224,0.6746361,0.4701598,-0.2763967,0.4940127
4.804495811,0.6803162,0.461399,-0.2699011,0.4980581
4.839145660,0.6808586,0.4565255,-0.2694654,0.502028
4.871320248,0.6836849,0.4487577,-0.2665668,0.5067161
4.905966282,0.6837542,0.444521,-0.2657064,0.5107925
4.938140392,0.6810516,0.4480329,-0.2667892,0.5107706
4.972790241,0.6779928,0.4532907,-0.2692001,0.5089325
5.004964828,0.6750551,0.4571722,-0.2722854,0.5077231
5.039614677,0.6738399,0.4575171,-0.2743478,0.5079162
5.071789265,0.6714349,0.4592191,-0.2777438,0.5077195
5.106435299,0.6697769,0.4596462,-0.2814898,0.5074599
5.138609886,0.6708058,0.4549939,-0.283289,0.5092891
5.173259735,0.6737764,0.4461544,-0.283965,0.5127994
5.205434322,0.6767889,0.4351419,-0.2863751,0.5169383
5.237608910,0.6782138,0.4237147,-0.2928883,0.5208994
5.272258759,0.6805826,0.4100488,-0.3001913,0.5245762
5.304429054,0.6818337,0.3961589,-0.3109906,0.5273267
5.339078903,0.6791617,0.3825152,-0.3309697,0.5286855
5.371253491,0.6769316,0.3682246,-0.3498619,0.5295268
5.405903339,0.6752075,0.348664,-0.3716927,0.5300947
5.438077927,0.6724541,0.3301032,-0.3936965,0.5295923
5.472727776,0.6697093,0.3071866,-0.4178166,0.5283775
5.504898548,0.6650987,0.2881857,-0.4454859,0.5222669
5.539548397,0.6588732,0.2724324,-0.4757176,0.5118467
5.571722984,0.6534973,0.254301,-0.5021767,0.5027111
5.606372833,0.6498993,0.231406,-0.5267345,0.4932145
5.638547420,0.6493886,0.2082204,-0.5457696,0.4834273
5.673197269,0.6494033,0.1852221,-0.566766,0.4683716
5.705367565,0.6481377,0.165852,-0.5855807,0.4540192
5.737542152,0.6477267,0.1412154,-0.6025699,0.440506
5.772192001,0.647819,0.1158077,-0.6211219,0.4216091
5.804366589,0.6458761,0.09220019,-0.6391186,0.4031104
5.839016437,0.6428276,0.05960572,-0.6574218,0.3842446
5.871191025,0.6398963,0.03336879,-0.6749651,0.3612046
5.905837059,0.6355064,0.0009115222,-0.690686,0.3401636
5.938011646,0.6291609,-0.03616624,-0.7032665,0.3238707
5.972661495,0.6199732,-0.07127791,-0.717804,0.3032125
6.004836082,0.6107913,-0.1100065,-0.7256399,0.2913882
6.039485931,0.6057627,-0.137307,-0.7333595,0.2702033
6.071660519,0.6004735,-0.1604591,-0.7386006,0.2545215
6.106306553,0.5928053,-0.1883777,-0.7422839,0.2423593
6.138480663,0.5869083,-0.2074374,-0.7460836,0.2291186
6.173130512,0.5814137,-0.2311238,-0.7458901,0.2209423
6.205305100,0.5770924,-0.2487863,-0.7466935,0.2101102
6.239954948,0.5718434,-0.26865,-0.7453539,0.2046893
6.272129536,0.5662725,-0.2886238,-0.74321,0.2007447
6.304300308,0.5610408,-0.3066352,-0.7409917,0.1968935
6.338950157,0.5545507,-0.3295522,-0.7361975,0.196239
6.371124745,0.5519608,-0.3455819,-0.7324087,0.1900463
6.405774593,0.5535442,-0.3589253,-0.7272067,0.1804424
6.437949181,0.5562398,-0.3697799,-0.7225126,0.1687109
6.472599030,0.5603358,-0.3790607,-0.7178668,0.1537262
6.504769325,0.5586777,-0.397106,-0.7114567,0.1436772
6.539419174,0.556833,-0.4175107,-0.7034837,0.131758
6.571593761,0.5535027,-0.4368258,-0.6958481,0.1234546
6.606243610,0.5496321,-0.4537774,-0.6891083,0.1172514
6.638418198,0.553561,-0.4552499,-0.6853853,0.114858
6.673068046,0.5682465,-0.4318956,-0.6877686,0.1190121
6.705238819,0.5816496,-0.3982824,-0.6953629,0.1270947
6.739888668,0.5984605,-0.369732,-0.6951873,0.1359618
6.772063255,0.6261261,-0.3237761,-0.6952018,0.1282866
6.804237843,0.6511186,-0.2757414,-0.6951801,0.1156013
6.838887691,0.6755107,-0.2142793,-0.6968722,0.09362854
6.871062279,0.6923816,-0.1493952,-0.6998072,0.07201545
6.905707836,0.7045037,-0.09633525,-0.6980689,0.06100427
6.937882423,0.713438,-0.0487215,-0.6949633,0.04781418
6.972532272,0.7176638,0.01668561,-0.6933771,0.02315307
7.004706860,0.7163492,0.06983117,-0.6917112,0.01143722
7.039356709,0.7142072,0.09357636,-0.6907427,0.02556966
7.071531296,0.713711,0.09143037,-0.6902561,0.04930878
7.106177330,0.7135181,0.08913759,-0.6889805,0.06985627
7.138351917,0.7122999,0.09209844,-0.6883893,0.08303321
7.173001766,0.710522,0.09664556,-0.6882339,0.09370111
7.205176354,0.7102435,0.09716244,-0.6872415,0.1021784
7.239825726,0.7103657,0.1020678,-0.6858929,0.1055528
7.272000790,0.7093101,0.1123629,-0.685546,0.104441
7.304171085,0.7080165,0.1214163,-0.6854562,0.1036739
7.338820934,0.7071159,0.1287747,-0.6851668,0.102851
7.370995522,0.7082903,0.1340578,-0.6831628,0.101339
7.405645371,0.7085329,0.1443948,-0.6819049,0.09361966
7.437819958,0.7077456,0.1548652,-0.6813931,0.08627921
7.472469807,0.7079764,0.1605706,-0.6804748,0.0810446
7.504640579,0.7098398,0.1652463,-0.6781821,0.07428286
7.539289951,0.7094744,0.1788121,-0.6764306,0.06116907
7.571465015,0.7084014,0.1893751,-0.6752881,0.05401899
7.606114387,0.7085621,0.1919803,-0.6743137,0.05488126
7.638289452,0.7082796,0.1904622,-0.6747589,0.0582449
7.672938347,0.7081386,0.1855572,-0.6757557,0.06395353
7.705109119,0.7083484,0.1800709,-0.6766058,0.06818502
7.739758968,0.7085012,0.1768794,-0.6770865,0.07015225
7.771933556,0.7078447,0.177249,-0.6776178,0.07071365
7.806583404,0.7067305,0.1749616,-0.6789767,0.07442212
7.838757992,0.7055863,0.1688634,-0.6809462,0.08107469
7.870933056,0.7041747,0.1618772,-0.6831911,0.08838232
7.905578613,0.7028167,0.1534148,-0.6852874,0.09757789
7.937752724,0.7024103,0.1432117,-0.6863956,0.107697
7.972403049,0.7019628,0.1316297,-0.6875163,0.117775
8.004577160,0.7012586,0.1251437,-0.6884466,0.1234691
8.039227009,0.7002882,0.1214669,-0.6893044,0.1277864
8.071401596,0.6996476,0.1178307,-0.6898346,0.1317764
8.106047630,0.6989164,0.1139176,-0.6905167,0.1354735
8.138222218,0.6983275,0.110989,-0.6910686,0.1381015
8.172872067,0.697889,0.1087782,-0.691604,0.1393905
8.205046654,0.6976309,0.1074737,-0.6919609,0.1399219
8.239696503,0.6975797,0.1056489,-0.6921241,0.140758
8.271871090,0.6977358,0.1044138,-0.6920485,0.1412761
8.306517124,0.6976238,0.1030439,-0.6921435,0.142366
