Time (s),Power (dBm),Percentage (%)
0.074611187,-62,76
0.574897289,-60,80
1.074728966,-62,76
1.574863434,-65,70
2.074813843,-64,72
2.574915886,-62,76
3.074674130,-62,76
3.574783802,-58,84
4.074593067,-53,94
4.574748516,-43,100
5.074550152,-53,94
5.574718952,-57,86
6.074527740,-53,94
6.574715137,-57,86
7.074518681,-55,90
7.574690342,-49,100
8.074506283,-60,80
8.574656486,-59,82
9.074449539,-65,70
9.574653625,-59,82
10.074439049,-51,98
10.574625492,-60,80
11.074428082,-53,94
11.574796200,-51,98
12.074383259,-53,94
12.574723720,-49,100
13.074574947,-49,100
13.574653625,-49,100
14.074542999,-49,100
14.574955940,-49,100
15.074685574,-53,94
15.574748039,-60,80
16.075029850,-53,94
16.575195312,-51,98
17.075004578,-47,100
17.575137615,-57,86
18.075016499,-47,100
18.575112820,-43,100
19.074958801,-55,90
19.575088501,-47,100
20.074969292,-49,100
20.575066566,-49,100
21.074945450,-51,98
21.575077057,-51,98
22.074887753,-57,86
22.575064659,-57,86
23.074899197,-47,100
23.575056076,-57,86
24.074849129,-53,94
24.575006485,-57,86
25.074847221,-53,94
25.574904919,-57,86
26.074675083,-51,98
26.574813366,-62,76
27.074573994,-57,86
27.574774742,-47,100
28.074562550,-47,100
28.574692726,-53,94
29.074576855,-53,94
29.574688911,-59,82
30.074524879,-51,98
30.574659824,-53,94
31.074503422,-59,82
31.574631691,-59,82
32.074440002,-53,94
32.574596405,-55,90
33.074480057,-57,86
33.574591637,-49,100
34.074470520,-57,86
34.574696541,-47,100
35.074370861,-53,94
35.574673653,-59,82
36.074572563,-55,90
36.574627399,-51,98
37.074417591,-53,94
37.574486732,-60,80
38.074507236,-49,100
38.574568748,-47,100
39.074483395,-55,90
39.574617386,-59,82
40.074378490,-62,76
40.574627399,-45,100
41.074436188,-51,98
41.574476242,-47,100
42.074448586,-51,98
42.574545860,-59,82
43.074286938,-49,100
43.574562073,-53,94
44.074400902,-49,100
44.574383736,-49,100
45.074347496,-49,100
45.574504375,-47,100
46.074200630,-49,100
46.574441910,-49,100
47.074206829,-49,100
47.574300766,-59,82
48.074058533,-51,98
48.574242592,-57,86
49.074040890,-57,86
49.574216366,-55,90
50.074083805,-55,90
50.574180603,-53,94
51.074044704,-55,90
51.574151516,-57,86
52.073993683,-57,86
52.574146747,-59,82
53.073953629,-59,82
53.574169159,-59,82
54.073936939,-67,66
54.574081421,-65,70
55.073900700,-69,62
55.574213505,-62,76
56.074068546,-51,98
56.574150562,-45,100
57.073999405,-47,100
57.574068069,-49,100
58.073847771,-65,70
58.574165344,-57,86
59.074012280,-53,94
59.573921680,-53,94
60.073986530,-53,94
60.574747085,-59,82
61.074626923,-55,90
61.574757576,-63,74
62.074655056,-60,80
62.574820518,-60,80
63.074630737,-45,100
63.574763775,-51,98
64.074643135,-49,100
64.574793816,-47,100
65.074590683,-49,100
65.574787140,-49,100
66.074397564,-49,100
66.574666023,-55,90
67.074461937,-47,100
67.574511528,-53,94
68.074358940,-49,100
68.574482441,-47,100
69.074312687,-55,90
69.574439049,-57,86
70.074255943,-55,90
70.574448585,-53,94
71.074265480,-53,94
71.574444294,-57,86
72.074243546,-53,94
72.574389934,-51,98
