Time (s),Power (dBm),Percentage (%)
0.338490486,-47,100
0.838802338,-47,100
1.338663578,-47,100
1.838657379,-47,100
2.338645935,-47,100
2.838788509,-47,100
3.338542938,-47,100
3.838795185,-60,80
4.338631630,-51,98
4.838655949,-55,90
5.338485241,-49,100
5.838767052,-49,100
6.338444710,-57,86
6.838691711,-67,66
7.338646412,-51,98
7.838571072,-67,66
8.338491440,-57,86
8.838723659,-61,78
9.338437080,-60,80
9.838664055,-55,90
10.338632584,-55,90
10.838763237,-53,94
11.338532448,-51,98
11.838598728,-49,100
12.338392735,-45,100
12.838737965,-45,100
13.338405609,-45,100
13.838540554,-45,100
14.338592053,-45,100
14.838571548,-45,100
15.338555813,-59,82
15.838726044,-62,76
16.338445664,-51,98
16.838548183,-53,94
17.338569641,-59,82
17.838717461,-62,76
18.338374138,-53,94
18.838704109,-64,72
19.338521481,-73,54
19.838595867,-65,70
20.338534832,-65,70
20.838691711,-65,70
21.338386059,-57,86
21.838669300,-51,98
22.338534832,-71,58
22.838596344,-63,74
23.338332176,-51,98
23.838669777,-51,98
24.338488579,-60,80
24.838506699,-49,100
25.338353634,-43,100
25.838652134,-49,100
26.338296414,-62,76
26.838637352,-55,90
27.338497639,-51,98
27.838502407,-65,70
28.338283062,-53,94
28.838630676,-62,76
29.338464737,-59,82
29.838485718,-53,94
30.338438034,-59,82
30.838628769,-49,100
31.338269234,-55,90
31.838583469,-55,90
32.338459015,-57,86
32.838474274,-53,94
33.838557243,-57,86
34.338351727,-60,80
34.838416576,-62,76
35.338437557,-57,86
35.838512421,-57,86
36.338256836,-51,98
36.838448524,-60,80
37.338365555,-53,94
37.838412285,-53,94
38.338399410,-53,94
38.838453770,-59,82
39.338284016,-60,80
39.838383675,-51,98
40.338321686,-61,78
40.838580131,-51,98
41.338205338,-49,100
41.838409901,-51,98
42.338348866,-57,86
42.838417530,-51,98
43.338355064,-62,76
43.838519096,-65,70
44.338160038,-51,98
44.838497639,-51,98
45.338362217,-51,98
45.838408470,-45,100
46.338175297,-45,100
46.838496208,-49,100
47.338319302,-60,80
47.838310718,-53,94
48.338153839,-49,100
48.838448048,-49,100
49.338212967,-53,94
49.838486195,-65,70
50.338289738,-60,80
50.838316441,-57,86
51.338135719,-57,86
51.838426113,-57,86
52.338114739,-55,90
52.838296413,-55,90
53.338305950,-55,90
53.838235855,-57,86
54.338112831,-62,76
54.838321686,-62,76
55.338065147,-59,82
55.838269711,-57,86
56.338075161,-53,94
57.338088989,-57,86
57.838277340,-59,82
58.338057041,-51,98
58.838408470,-57,86
59.338100910,-57,86
59.838175774,-47,100
60.338251591,-47,100
60.838295937,-57,86
61.338168621,-51,98
61.838349819,-51,98
62.338029385,-62,76
62.838395119,-60,80
63.338193417,-51,98
63.838312149,-49,100
64.338024616,-49,100
64.838327408,-51,98
65.338227749,-61,78
65.838195324,-65,70
66.338050366,-61,78
66.838356495,-62,76
67.338016510,-67,66
67.838297367,-73,54
68.338193417,-73,54
68.838213921,-59,82
69.337973595,-57,86
69.838327885,-71,58
70.338141918,-53,94
70.838214397,-57,86
71.338170528,-55,90
71.838297367,-57,86
72.337973118,-59,82
72.838181019,-63,74
